Source	Target
FGFR3	1031
FGFR3	10381440
FGFR3	10394
FGFR3	10430
FGFR3	10466307
FGFR3	104745
FGFR3	104775
FGFR3	10559720
FGFR3	10661294
FGFR3	107
FGFR3	107735
FGFR3	10802382
FGFR3	11005
FGFR3	11213350
FGFR3	1135
FGFR3	1145
FGFR3	1146
FGFR3	114781
FGFR3	1150
FGFR3	115089
FGFR3	11679800
FGFR3	1188
FGFR3	119
FGFR3	119307
FGFR3	122356
FGFR3	12310288
FGFR3	124343
FGFR3	124886
FGFR3	12544
FGFR3	12587
FGFR3	12647
FGFR3	127
FGFR3	129858541
FGFR3	129887767
FGFR3	131751737
FGFR3	135
FGFR3	135191
FGFR3	135398592
FGFR3	135398593
FGFR3	135398638
FGFR3	135398658
FGFR3	13580
FGFR3	138478
FGFR3	138805674
FGFR3	139597845
FGFR3	145742
FGFR3	147608
FGFR3	14925
FGFR3	14969
FGFR3	150923
FGFR3	1530
FGFR3	1530236
FGFR3	153520426
FGFR3	154035
FGFR3	159660
FGFR3	160419
FGFR3	160471
FGFR3	160636
FGFR3	162859
FGFR3	175
FGFR3	176907
FGFR3	179
FGFR3	181511
FGFR3	1826
FGFR3	185914
FGFR3	18950
FGFR3	18986
FGFR3	192215
FGFR3	199
FGFR3	20601635
FGFR3	21722175
FGFR3	222528
FGFR3	22253297
FGFR3	23676771
FGFR3	242
FGFR3	24970825
FGFR3	25201019
FGFR3	262
FGFR3	2733768
FGFR3	2752054
FGFR3	283
FGFR3	2969
FGFR3	3081033
FGFR3	311
FGFR3	31401
FGFR3	321710
FGFR3	323
FGFR3	3292996
FGFR3	33032
FGFR3	332427
FGFR3	348154
FGFR3	3587356
FGFR3	359
FGFR3	36159
FGFR3	3744
FGFR3	3845
FGFR3	384870
FGFR3	402
FGFR3	4183249
FGFR3	424
FGFR3	439183
FGFR3	439232
FGFR3	439435
FGFR3	439520
FGFR3	439586
FGFR3	439709
FGFR3	439763
FGFR3	4398339
FGFR3	440993
FGFR3	442424
FGFR3	444795
FGFR3	444873
FGFR3	444899
FGFR3	445027
FGFR3	445580
FGFR3	445638
FGFR3	445639
FGFR3	45093073
FGFR3	45093080
FGFR3	4615423
FGFR3	4671
FGFR3	4788
FGFR3	480764
FGFR3	4829
FGFR3	49831816
FGFR3	500189
FGFR3	51576
FGFR3	522502
FGFR3	5280343
FGFR3	5280442
FGFR3	5280443
FGFR3	5280445
FGFR3	5280450
FGFR3	5280459
FGFR3	5280804
FGFR3	5280863
FGFR3	5280960
FGFR3	5280961
FGFR3	5281605
FGFR3	5281607
FGFR3	5281612
FGFR3	5281656
FGFR3	5281672
FGFR3	5281708
FGFR3	5282155
FGFR3	5282160
FGFR3	5282768
FGFR3	5284649
FGFR3	52920332
FGFR3	5315606
FGFR3	5317750
FGFR3	5318980
FGFR3	5327011
FGFR3	5375048
FGFR3	54580480
FGFR3	5459879
FGFR3	5460161
FGFR3	54670067
FGFR3	547
FGFR3	5481990
FGFR3	5488186
FGFR3	5488822
FGFR3	5610
FGFR3	58177709
FGFR3	586
FGFR3	5862
FGFR3	5950
FGFR3	5951
FGFR3	5960
FGFR3	602
FGFR3	6047
FGFR3	6057
FGFR3	6106
