protein,ligand,replicate,affinity
PDE4B_monomer_md,roflumilast,2,-7.9
PDE4B_monomer_md,roflumilast,3,-7.7
PDE4B_monomer_md,Rrolipram,2,-7.2
PDE4B_monomer_md,Rrolipram,3,-7.2
PDE4B_monomer_md,Rrolipram,1,-7.2
PDE4B_monomer_md,no7,1,-7.0
PDE4B_monomer_md,no7,2,-7.0
PDE4B_monomer_md,no7,3,-6.9
PDE4D_catalytic,no17,2,-7.5
PDE4D_catalytic,no17,3,-7.5
PDE4D_catalytic,no17,1,-7.5
PDE4D_catalytic,107,3,-6.8
PDE4D_catalytic,107,2,-6.8
PDE4D_catalytic,107,1,-6.7
PDE4D_catalytic,104775,2,-4.4
PDE4D_catalytic,104775,3,-4.4
PDE4D_catalytic,104775,1,-4.4
PDE4D_catalytic,49831816,2,-7.0
PDE4D_catalytic,49831816,3,-6.9
PDE4D_catalytic,49831816,1,-6.9
PDE4D_catalytic,no12,3,-7.2
PDE4D_catalytic,no12,2,-7.2
PDE4D_catalytic,no12,1,-7.2
PDE4D_catalytic,no13,3,-7.1
PDE4D_catalytic,no13,1,-7.1
PDE4D_catalytic,no13,2,-7.1
PDE4D_catalytic,348154,3,-6.8
PDE4D_catalytic,348154,1,-6.8
PDE4D_catalytic,348154,2,-6.8
PDE4D_catalytic,6047,3,-6.8
PDE4D_catalytic,6047,2,-6.8
PDE4D_catalytic,6047,1,-6.7
PDE4D_catalytic,10559720,3,-7.0
PDE4D_catalytic,10559720,2,-6.9
PDE4D_catalytic,10559720,1,-7.0
PDE4D_catalytic,Srolipram,3,-9.3
PDE4D_catalytic,Srolipram,1,-9.2
PDE4D_catalytic,Srolipram,2,-9.2
PDE4D_catalytic,roflumilast,1,-8.8
PDE4D_catalytic,roflumilast,2,-8.8
PDE4D_catalytic,roflumilast,3,-8.8
PDE4D_catalytic,Rrolipram,2,-9.1
PDE4D_catalytic,Rrolipram,3,-9.1
PDE4D_catalytic,Rrolipram,1,-9.1
PDE4D_catalytic,no7,1,-7.7
PDE4D_catalytic,no7,2,-7.7
PDE4D_catalytic,no7,3,-7.8
