"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMOD1",5.80912496247076e-08,0.14359501414795,0.162,0.153,1.01751113749427e-07
"VWA2",5.81400405655029e-08,0.390227049229107,0.013,0.01,1.01820138827675e-07
"AACS",5.87555188005433e-08,0.180571403607843,0.229,0.22,1.02881415927819e-07
"STK32C",5.94665990438033e-08,-0.129478164790017,0.157,0.167,1.04109723495371e-07
"RUVBL1",5.95095142626802e-08,-0.128180249697723,0.084,0.092,1.0416804956676e-07
"NPSR1-AS1",5.97004420473407e-08,0.280374778814254,0.033,0.028,1.04485402686402e-07
"AL355377.3",6.01655083398481e-08,0.256307249364689,0.024,0.019,1.05282362682743e-07
"FAM43A",6.02002281688516e-08,-0.125062471123798,0.019,0.023,1.05326132837828e-07
"PHKA1",6.04808202926146e-08,-0.520789078494723,0.042,0.048,1.05799996936186e-07
"SOGA3",6.24942848094356e-08,0.217570805458282,0.157,0.148,1.09304559069501e-07
"ADORA1",6.28732884654106e-08,-0.276664220261418,0.131,0.139,1.09949726533146e-07
"ITSN2",6.37876090888605e-08,0.107076822939188,0.339,0.33,1.11530671321822e-07
"ULK4",6.39366739647685e-08,0.124740692457125,0.273,0.264,1.11773296148172e-07
"AL021918.5",6.41000483274339e-08,0.315001803452336,0.021,0.017,1.12040854446035e-07
"AC005899.5",6.41330226975207e-08,0.121744478404517,0.027,0.023,1.12080436348977e-07
"E2F1",6.4243650821314e-08,-0.103175182169219,0.017,0.02,1.12255693246711e-07
"RPL39L",6.42961801869946e-08,-0.120624298925164,0.015,0.019,1.12329391597018e-07
"C17orf100",6.47814466229508e-08,0.243882294300903,0.039,0.034,1.1315896286311e-07
"MLF1",6.50516875811602e-08,-0.122005407880777,0.099,0.107,1.13612725244354e-07
"SULF2",6.57464083921524e-08,-0.20582697206984,0.095,0.103,1.14807576032064e-07
"PCID2",6.60134243432986e-08,0.137346421169421,0.172,0.163,1.15255296468083e-07
"TSC22D1-AS1",6.67005262791207e-08,0.198210922053226,0.053,0.047,1.16423143099483e-07
"TMEM63C",6.67037766703055e-08,0.136323313454177,0.178,0.169,1.16423143099483e-07
"IBA57",6.67374791406902e-08,0.162928136298135,0.029,0.025,1.16463233540629e-07
"ZNF519",6.72262840234785e-08,0.171786786913527,0.208,0.199,1.17297380276373e-07
"CPXM2",6.76267226198924e-08,0.272831024187488,0.024,0.02,1.17977100827726e-07
"ANKRD27",6.77144608812098e-08,0.124336644390897,0.176,0.166,1.18111174252051e-07
"VASH1",6.79972555399667e-08,0.158305714059515,0.13,0.122,1.18585377670231e-07
"WDR19",6.80692748744348e-08,0.161687338043405,0.204,0.195,1.18691901279526e-07
"NEURL1B",6.81351372017643e-08,0.200043118359031,0.066,0.059,1.18787656455068e-07
"AC099066.1",6.82581798288882e-08,0.370177234088153,0.019,0.016,1.18983053706549e-07
"TRIM25",6.84838839845008e-08,-0.200866849992312,0.058,0.064,1.19357312096983e-07
"AC068308.1",6.88211868460266e-08,-0.458587255348693,0.024,0.028,1.19925919137022e-07
"AC025442.2",6.89883545969983e-08,0.162481809882379,0.013,0.01,1.20197918389857e-07
"SNHG16",6.90644024832503e-08,-0.144782185998661,0.044,0.05,1.20305765507888e-07
"NRDE2",6.90724282659796e-08,0.126823621052487,0.112,0.103,1.20305765507888e-07
"AC243829.2",6.91469742345488e-08,0.379904313936253,0.012,0.01,1.20416276266906e-07
"ATAD5",7.01189615792294e-08,0.18310942885551,0.072,0.065,1.22089353673976e-07
"MTF2",7.03868105156453e-08,0.112985757429175,0.292,0.282,1.22536063036301e-07
"FYB2",7.04284017009771e-08,0.376520973784398,0.02,0.016,1.22588801228313e-07
"SEC23IP",7.06776659151365e-08,0.154513340277873,0.162,0.153,1.23002943519671e-07
"MBIP",7.07492956956922e-08,-0.106258804142449,0.106,0.115,1.23107858818787e-07
"MLH1",7.08083732633457e-08,0.162665307838499,0.118,0.109,1.23190902401886e-07
"ABCC9",7.13894175701543e-08,-0.331110368102369,0.055,0.061,1.24181880419004e-07
"AC012213.1",7.20965342318395e-08,0.214772439744391,0.041,0.035,1.25391808454831e-07
"CFAP73",7.21310664545857e-08,0.632027432774597,0.011,0.009,1.25431763156845e-07
"AC015871.7",7.24128822458214e-08,0.544741812598606,0.014,0.011,1.25901648013044e-07
"AL161785.1",7.26870050060618e-08,0.466361227859375,0.021,0.017,1.26358008862668e-07
"KXD1",7.30374664293642e-08,-0.193208279227084,0.081,0.088,1.26946908253249e-07
"LINC01266",7.41027343005451e-08,-0.25927438267772,0.069,0.076,1.28777829899938e-07
"ABL2",7.43410083019017e-08,0.113393609464697,0.304,0.296,1.29171221950991e-07
"AL352984.1",7.4720841231812e-08,0.384346627373165,0.013,0.01,1.29810414378225e-07
"FAM178B",7.48997838329508e-08,0.199441735692956,0.051,0.045,1.30100456918737e-07
"C16orf46",7.52233559710002e-08,0.230087116231235,0.079,0.072,1.30641587010455e-07
"AC010422.2",7.52994838125832e-08,0.294487751799114,0.016,0.013,1.30752872275618e-07
"LPCAT2",7.5511176181007e-08,0.1785675307963,0.048,0.042,1.31099483638417e-07
"AC008883.1",7.59694586200969e-08,-0.416122148170253,0.01,0.013,1.31874035432198e-07
"MRM2",7.60484078577484e-08,-0.143665982802007,0.028,0.033,1.3198996699687e-07
"RNF165",7.63125687373581e-08,0.139821239445257,0.227,0.217,1.32427264252211e-07
"AC127502.2",7.67966839662567e-08,0.212487006296822,0.057,0.051,1.33246053360705e-07
"ZNF589",7.72012653473984e-08,0.160993085842129,0.141,0.132,1.33926607559492e-07
"LMNB2",7.73659080297536e-08,-0.178235022362755,0.039,0.044,1.34190771744063e-07
"AC007405.3",7.7436697520266e-08,-0.11339522442301,0.017,0.021,1.34292089626403e-07
"IL17RE",7.79857715135114e-08,-0.421234083870742,0.017,0.021,1.35222692025106e-07
"CRY1",7.84952596552195e-08,-0.119039760929652,0.107,0.115,1.36084368512348e-07
