"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Tyrosine-protein kinase FYN","FYN","P06241","CHEMBL1841","Kinase","0.0","0 /  1     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.0","0 /  1     "
"High-affinity choline transporter   (by homology)","SLC5A7","Q9GZV3","CHEMBL4507","Electrochemical transporter","0.0","0 /  1     "
