"Query","HGNC_ID","Source"
"CAMKK2","CAMKK2","biomart"
"CAPN1","CAPN1","biomart"
"CAPN2","CAPN2","biomart"
"CASP1","CASP1","biomart"
"CASP2","CASP2","biomart"
"CASP3","CASP3","biomart"
"CASP6","CASP6","biomart"
"CASP7","CASP7","biomart"
"CASP8","CASP8","biomart"
"CASR","CASR","biomart"
"CBR1","CBR1","biomart"
"CBX7","CBX7","biomart"
"CCKAR","CCKAR","biomart"
"CCKBR","CCKBR","biomart"
"CCNT1","CCNT1","biomart"
"CCR1","CCR1","biomart"
"CCR2","CCR2","biomart"
"CCR4","CCR4","biomart"
"CCR5","CCR5","biomart"
"CCR8","CCR8","biomart"
"CD38","CD38","biomart"
"CD81","CD81","biomart"
"CDA","CDA","biomart"
"CDC25A","CDC25A","biomart"
"CDC25B","CDC25B","biomart"
"CDC25C","CDC25C","biomart"
"CDC45","CDC45","biomart"
"CDC7","CDC7","biomart"
"CDK1","CDK1","biomart"
"CDK19","CDK19","biomart"
"CDK2","CDK2","biomart"
"CDK4","CDK4","biomart"
"CDK5","CDK5","biomart"
"CDK6","CDK6","biomart"
"CDK8","CDK8","biomart"
"CDK9","CDK9","biomart"
"CES1","CES1","biomart"
"CES2","CES2","biomart"
"CFB","CFB","biomart"
"CFD","CFD","biomart"
"CFTR","CFTR","biomart"
"CHEK1","CHEK1","biomart"
"CHEK2","CHEK2","biomart"
"CHIA","CHIA","biomart"
"CHRM1","CHRM1","biomart"
"CHRM2","CHRM2","biomart"
"CHRM3","CHRM3","biomart"
"CHRNA4","CHRNA4","biomart"
"CHRNA7","CHRNA7","biomart"
"CISD1","CISD1","biomart"
"CIT","CIT","biomart"
"CLK1","CLK1","biomart"
"CLK2","CLK2","biomart"
"CLK3","CLK3","biomart"
"CLK4","CLK4","biomart"
"CMA1","CMA1","biomart"
"CNOT7","CNOT7","biomart"
"CNR1","CNR1","biomart"
"CNR2","CNR2","biomart"
"COMT","COMT","biomart"
"COQ8B","COQ8B","biomart"
"CPA1","CPA1","biomart"
"CPA3","CPA3","biomart"
"CPB1","CPB1","biomart"
"CPB2","CPB2","biomart"
"CPN1","CPN1","biomart"
"CPT1A","CPT1A","biomart"
"CPT1B","CPT1B","biomart"
"CPT2","CPT2","biomart"
"CREBBP","CREBBP","biomart"
"CRHR1","CRHR1","biomart"
"CSF1R","CSF1R","biomart"
"CSK","CSK","biomart"
"CSNK1A1","CSNK1A1","biomart"
"CSNK1D","CSNK1D","biomart"
"CSNK1G1","CSNK1G1","biomart"
"CSNK1G2","CSNK1G2","biomart"
"CSNK2A1","CSNK2A1","biomart"
"CSNK2A2","CSNK2A2","biomart"
"CTBP2","CTBP2","biomart"
"CTNNB1","CTNNB1","biomart"
"CTRC","CTRC","biomart"
"CTSA","CTSA","biomart"
"CTSB","CTSB","biomart"
"CTSD","CTSD","biomart"
"CTSE","CTSE","biomart"
"CTSG","CTSG","biomart"
"CTSK","CTSK","biomart"
"CTSL","CTSL","biomart"
"CTSS","CTSS","biomart"
"CTSV","CTSV","biomart"
"CXCL8","CXCL8","biomart"
