"","x"
"320","ERN1"
"321","ESR1"
"322","ESR2"
"323","ESRRA"
"324","ESRRB"
"325","ESRRG"
"326","EZR"
"327","F10"
"328","F12"
"329","F13A1"
"330","F2"
"331","F2R"
"332","F2RL1"
"333","F3"
"334","F7"
"335","F9"
"336","FAAH"
"337","FABP1"
"338","FABP2"
"339","FABP3"
"340","FABP4"
"341","FABP5"
"342","FADS1"
"343","FAP"
"344","FARS2"
"345","FASN"
"346","FBP1"
"347","FCER2"
"348","FDFT1"
"349","FEN1"
"350","FFAR1"
"351","FFAR2"
"352","FFAR4"
"353","FGF1"
"354","FGF2"
"355","FGFR1"
"356","FGFR3"
"357","FGR"
"358","FKBP1A"
"359","FKBP4"
"360","FKBP5"
"361","FLT1"
"362","FLT3"
"363","FLT4"
"364","FNTA FNTB"
"365","FOLH1"
"366","FOLR1"
"367","FOLR2"
"368","FOS JUN"
"369","FPGS"
"370","FPR1"
"371","FPR2"
"372","FRK"
"373","FTO"
"374","FUCA1"
"375","FURIN"
"376","FUT4"
"377","FUT7"
"378","FYN"
"379","G6PD"
"380","GAA"
"381","GABBR1"
"382","GABBR2 GABBR1"
"383","GABRA1 GABRB2 GABRG2"
"384","GABRA2 GABRB2 GABRG2"
"385","GABRA2 GABRB3 GABRG2"
"386","GABRA3 GABRB2 GABRG2"
"387","GABRA5"
"388","GABRB3 GABRA3 GABRG2"
"389","GABRB3 GABRG2 GABRA1"
"390","GABRB3 GABRG2 GABRA5"
"391","GABRG2 GABRB3 GABRA6"
"392","GABRR1"
"393","GAK"
"394","GAPDH"
"395","GART"
"396","GBA"
"397","GBA2"
"398","GCG"
"399","GCGR"
"400","GCK"
"401","GCLC"
"402","GDA"
"403","GFPT1"
"404","GHRL"
"405","GHSR"
"406","GIPR"
"407","GLI1"
"408","GLI2"
"409","GLO1"
"410","GLRA1"
"411","GLRA2"
"412","GLUL"
"413","GNPAT"
"414","GNRHR"
"415","GPBAR1"
"416","GPER1"
"417","GPR119"
