"Source"	"Target"
"PDE4B"	"R-HSA-111885"
"PDE4B"	"R-HSA-418594"
"PDE4B"	"R-HSA-388396"
"PDE4B"	"R-HSA-372790"
"PDE4B"	"R-HSA-162582"
"PDE4B"	"HSA00230  "
"PDE4B"	"HSA01100  "
"PDE4B"	"HSA04024  "
"PDE4B"	"HSA04928  "
"PDE4B"	"HSA05032  "
"TDM"	"HSA00230"
"TDM"	"HSA00232"
"TDM"	"HSA00250"
"TDM"	"HSA00380"
"TDM"	"HSA00410"
"TDM"	"HSA00430"
"TDM"	"HSA00630"
"TDM"	"HSA00650"
"TDM"	"HSA00983"
"TDM"	"HSA01100"
"TDM"	"HSA01200"
"TDM"	"HSA04010"
"TDM"	"HSA04020"
"TDM"	"HSA04022"
"TDM"	"HSA04024"
"TDM"	"HSA04060"
"TDM"	"HSA04066"
"TDM"	"HSA04068"
"TDM"	"HSA04080"
"TDM"	"HSA04145"
"TDM"	"HSA04146"
"TDM"	"HSA04151"
"TDM"	"HSA04211"
"TDM"	"HSA04213"
"TDM"	"HSA04260"
"TDM"	"HSA04261"
"TDM"	"HSA04270"
"TDM"	"HSA04510"
"TDM"	"HSA04512"
"TDM"	"HSA04540"
"TDM"	"HSA04622"
"TDM"	"HSA04630"
"TDM"	"HSA04658"
"TDM"	"HSA04659"
"TDM"	"HSA04660"
"TDM"	"HSA04668"
"TDM"	"HSA04672"
"TDM"	"HSA04713"
"TDM"	"HSA04720"
"TDM"	"HSA04723"
"TDM"	"HSA04724"
"TDM"	"HSA04725"
"TDM"	"HSA04726"
"TDM"	"HSA04727"
"TDM"	"HSA04728"
"TDM"	"HSA04730"
"TDM"	"HSA04742"
"TDM"	"HSA04750"
"TDM"	"HSA04911"
"TDM"	"HSA04912"
"TDM"	"HSA04915"
"TDM"	"HSA04916"
"TDM"	"HSA04921"
"TDM"	"HSA04924"
"TDM"	"HSA04925"
"TDM"	"HSA04930"
"TDM"	"HSA04933"
"TDM"	"HSA04940"
"TDM"	"HSA05010"
"TDM"	"HSA05014"
"TDM"	"HSA05016"
"TDM"	"HSA05031"
"TDM"	"HSA05142"
"TDM"	"HSA05162"
"TDM"	"HSA05166"
"TDM"	"HSA05202"
"TDM"	"HSA05320"
"TDM"	"HSA05321"
"TDM"	"HSA05330"
"TDM"	"HSA05332"
"TDM"	"HSA05410"
"TDM"	"HSA05412"
"TDM"	"HSA05414"
"TDM"	"HSA05418"
"TDM"	"HSA_M00027"
"TDM"	"HSA_M00037"
"TDM"	"R-HSA-109582"
"TDM"	"R-HSA-110313"
"TDM"	"R-HSA-112310"
"TDM"	"R-HSA-112311"
"TDM"	"R-HSA-112315"
"TDM"	"R-HSA-112316"
"TDM"	"R-HSA-112399"
"TDM"	"R-HSA-112412"
"TDM"	"R-HSA-114604"
"TDM"	"R-HSA-1168372"
"TDM"	"R-HSA-1169408"
"TDM"	"R-HSA-1169410"
"TDM"	"R-HSA-1257604"
"TDM"	"R-HSA-1266738"
"TDM"	"R-HSA-1280215"
"TDM"	"R-HSA-1280218"
"TDM"	"R-HSA-1430728"
"TDM"	"R-HSA-1433557"
"TDM"	"R-HSA-15869"
"TDM"	"R-HSA-162582"
"TDM"	"R-HSA-163685"
"TDM"	"R-HSA-1643685"
"TDM"	"R-HSA-166520"
"TDM"	"R-HSA-167044"
"TDM"	"R-HSA-168249"
"TDM"	"R-HSA-168253"
"TDM"	"R-HSA-168254"
"TDM"	"R-HSA-168256"
"TDM"	"R-HSA-168276"
"TDM"	"R-HSA-168928"
"TDM"	"R-HSA-169893"
"TDM"	"R-HSA-170968"
"TDM"	"R-HSA-170984"
"TDM"	"R-HSA-174824"
"TDM"	"R-HSA-177929"
"TDM"	"R-HSA-179812"
"TDM"	"R-HSA-180292"
"TDM"	"R-HSA-180336"
"TDM"	"R-HSA-186763"
"TDM"	"R-HSA-186797"
"TDM"	"R-HSA-187037"
"TDM"	"R-HSA-187687"
"TDM"	"R-HSA-187706"
"TDM"	"R-HSA-194138"
"TDM"	"R-HSA-198203"
"TDM"	"R-HSA-198693"
"TDM"	"R-HSA-209776"
"TDM"	"R-HSA-209931"
"TDM"	"R-HSA-212436"
"TDM"	"R-HSA-2172127"
"TDM"	"R-HSA-2219528"
"TDM"	"R-HSA-2262752"
"TDM"	"R-HSA-2404192"
"TDM"	"R-HSA-2424491"
"TDM"	"R-HSA-2428924"
"TDM"	"R-HSA-2428928"
"TDM"	"R-HSA-2454202"
"TDM"	"R-HSA-2586552"
"TDM"	"R-HSA-2730905"
"TDM"	"R-HSA-2871796"
"TDM"	"R-HSA-3299685"
"TDM"	"R-HSA-372790"
"TDM"	"R-HSA-373076"
"TDM"	"R-HSA-373080"
"TDM"	"R-HSA-375165"
"TDM"	"R-HSA-375276"
"TDM"	"R-HSA-375280"
"TDM"	"R-HSA-380095"
"TDM"	"R-HSA-380615"
"TDM"	"R-HSA-383280"
"TDM"	"R-HSA-388396"
"TDM"	"R-HSA-390666"
"TDM"	"R-HSA-392451"
"TDM"	"R-HSA-397014"
"TDM"	"R-HSA-397795"
"TDM"	"R-HSA-400042"
"TDM"	"R-HSA-416476"
"TDM"	"R-HSA-418555"
"TDM"	"R-HSA-418594"
"TDM"	"R-HSA-419037"
"TDM"	"R-HSA-422356"
"TDM"	"R-HSA-422475"
"TDM"	"R-HSA-4420097"
"TDM"	"R-HSA-449147"
"TDM"	"R-HSA-451927"
"TDM"	"R-HSA-500792"
"TDM"	"R-HSA-512988"
"TDM"	"R-HSA-5218921"
"TDM"	"R-HSA-556833"
"TDM"	"R-HSA-5576891"
"TDM"	"R-HSA-5576892"
"TDM"	"R-HSA-5576893"
"TDM"	"R-HSA-5656169"
"TDM"	"R-HSA-5663202"
"TDM"	"R-HSA-5663205"
"TDM"	"R-HSA-5673001"
"TDM"	"R-HSA-5674400"
"TDM"	"R-HSA-5683057"
"TDM"	"R-HSA-5684996"
"TDM"	"R-HSA-6798695"
"TDM"	"R-HSA-71291"
"TDM"	"R-HSA-73847"
"TDM"	"R-HSA-73893"
"TDM"	"R-HSA-73894"
"TDM"	"R-HSA-73923"
"TDM"	"R-HSA-74160"
"TDM"	"R-HSA-74259"
"TDM"	"R-HSA-74751"
"TDM"	"R-HSA-74752"
"TDM"	"R-HSA-76002"
"TDM"	"R-HSA-881907"
"TDM"	"R-HSA-8851680"
"TDM"	"R-HSA-8853659"
"TDM"	"R-HSA-8855121"
"TDM"	"R-HSA-8862803"
"TDM"	"R-HSA-8863678"
"TDM"	"R-HSA-8866376"
"TDM"	"R-HSA-888568"
"TDM"	"R-HSA-888590"
"TDM"	"R-HSA-909733"
"TDM"	"R-HSA-912526"
"TDM"	"R-HSA-913531"
"TDM"	"R-HSA-936440"
"TDM"	"R-HSA-983705"
"Oscillibacter"	"TDM"
"Bacteroidales"	"TDM"
"Lachnospiraceae"	"TDM"
"Alistipes"	"TDM"
"Megamonas"	"TDM"
"Faecalibacterium"	"TDM"
"Parabacteroides"	"TDM"
"Roseburia"	"TDM"
"Prevotella"	"TDM"
"Blautia"	"TDM"
"Phascolarctobacterium"	"TDM"
"Bacteroides"	"TDM"
"Ruminococcus"	"TDM"
"Parasutterella"	"TDM"
"Dialister"	"TDM"
"Bifidobacterium"	"TDM"
"Lactobacillus"	"TDM"
"Coprococcus"	"TDM"
"Clostridium"	"TDM"
"Anaerovorax"	"TDM"
"Sutterella"	"TDM"
"Anaerostipes"	"TDM"
"Veillonella"	"TDM"
"Streptococcus"	"TDM"
"Eggerthella"	"TDM"
"Eubacterium"	"TDM"
"Actinomyces"	"TDM"
"Enterobacteriaceae"	"TDM"
"Bacteroidetes"	"TDM"
"Bacteroidaceae"	"TDM"
"Bifidobacteriaceae"	"TDM"
"Acidaminobacter"	"33032"
"Acidaminobacter"	"6288"
"Acidipropionibacterium"	"104745"
"Acidipropionibacterium"	"160419"
"Acinetobacter"	"6723"
"Acinetobacter"	"1146"
"Actinomycetota"	"107"
"Actinomycetota"	"1146"
"Adlercreutzia"	"nocid1"
"Adlercreutzia"	"nocid2"
"Adlercreutzia"	"nocid3"
"Adlercreutzia"	"10176710"
"Adlercreutzia"	"185914"
"Adlercreutzia"	"91469"
"Adlercreutzia"	"181511"
"Agathobacter"	"49831816"
"Agathobacter"	"10559720"
"Agathobacter"	"444899"
"Agathobacter"	"175"
"Agathobacter"	"104775"
"Akkermansia"	"10559720"
"Akkermansia"	"92146"
"Akkermansia"	"586"
"Akkermansia"	"10140"
"Akkermansia"	"175"
"Akkermansia"	"104745"
"Alistipes"	"49831816"
"Alistipes"	"10559720"
"Alistipes"	"94228"
"Alistipes"	"613145"
"Alistipes"	"10430"
"Alistipes"	"160419"
"Alistipes"	"1145"
"Allisonella"	"nocid4"
"Allisonella"	"nocid5"
"Amedibacillus"	"3744"
"Anaerobutyricum"	"129849310"
"Anaerobutyricum"	"104775"
"Anaerobutyricum"	"9903"
"Anaerobutyricum"	"1145"
"Anaerostipes"	"175"
"Anaerostipes"	"104775"
"Anaerotignum"	"49831816"
"Anaerotignum"	"10559720"
"Bacillota"	"107"
"Bacillota"	"242"
"Bacillota"	"9548632"
"Bacillota"	"9877619"
"Bacillus"	"10381440"
"Bacillus"	"5280804"
"Bacillus"	"162859"
"Bacillus"	"5280343"
"Bacillus"	"5282160"
"Bacillus"	"5280459"
"Bacillus"	"71629"
"bacterium"	"5281708"
"bacterium"	"5488822"
"bacterium"	"5318980"
"Bacteroides"	"135398592"
"Bacteroides"	"135398593"
"Bacteroides"	"22253297"
"Bacteroides"	"160471"
"Bacteroides"	"10559720"
"Bacteroides"	"18986"
"Bacteroides"	"175"
"Bacteroides"	"444899"
"Bacteroides"	"323"
"Bacteroides"	"424"
"Bacteroides"	"4398339"
"Bacteroides"	"92904"
"Bacteroides"	"94228"
"Bacteroides"	"6590"
"Bacteroides"	"3587356"
"Bacteroides"	"6306"
"Bacteroides"	"92817"
"Bacteroides"	"6137"
"Bacteroides"	"970"
"Bacteroides"	"4671"
"Bacteroides"	"6613"
"Bacteroides"	"104745"
"Bacteroides"	"160419"
"Bacteroides"	"1135"
"Bacteroides"	"1188"
"Bacteroides"	"9548632"
"Bacteroides"	"6723"
"Bacteroides"	"875"
"Bacteroides"	"9877619"
"Bacteroides"	"91469"
"Bacteroides"	"442424"
"Bacteroides"	"65373"
"Bacteroides"	"5280343"
"Bacteroides"	"5280804"
"Bacteroides"	"71629"
"Bacteroides"	"72"
"Bacteroides"	"129887767"
"Bacteroides"	"139597845"
"Bacteroides"	"5281656"
