COLOC
CCDC71
ACVRL1
RP11-3B7.1
CELF4
FCF1
FADS1
AREL1
FADS2
YLPM1
SPPL3
TIAF1
TRAF3
CCDC36
SORCS3
KLHDC8B
TMEM258
LAMB2
