 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL261	 Carbonic anhydrase I 
 3 	 CHEMBL3242	 Carbonic anhydrase XII 
 4 	 CHEMBL3594	 Carbonic anhydrase IX 
 5 	 CHEMBL3510	 Carbonic anhydrase XIV 
 6 	 CHEMBL2326	 Carbonic anhydrase VII 
 7 	 CHEMBL4681	 Aldo-keto-reductase family 1 member C3 
 8 	 CHEMBL3025	 Carbonic anhydrase VI 
 9 	 CHEMBL3729	 Carbonic anhydrase IV 
 10 	 CHEMBL5485	 D-amino-acid oxidase 
 11 	 CHEMBL230	 Cyclooxygenase-2 
 12 	 CHEMBL2885	 Carbonic anhydrase III 
 13 	 CHEMBL4789	 Carbonic anhydrase VA 
 14 	 CHEMBL3969	 Carbonic anhydrase VB 
 15 	 CHEMBL3105	 Poly [ADP-ribose] polymerase-1 
 16 	 CHEMBL5857	 Trace amine-associated receptor 1 
 17 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 18 	 CHEMBL220	 Acetylcholinesterase 
 19 	 CHEMBL4421	 HM74 nicotinic acid GPCR 
 20 	 CHEMBL338	 Dopamine transporter 
