"","x"
"249","CHEMBL249"
"250","CHEMBL298"
"251","CHEMBL3508"
"252","CHEMBL3105"
"253","CHEMBL1900"
"254","CHEMBL5756"
"255","CHEMBL5027"
"256","CHEMBL330"
"257","CHEMBL4736"
"258","CHEMBL4685"
"259","CHEMBL3459"
"260","CHEMBL324"
"261","CHEMBL2123"
"262","CHEMBL4398"
"263","CHEMBL4518"
"264","CHEMBL2804"
"265","CHEMBL4714"
"266","CHEMBL1952"
"267","CHEMBL2360"
"268","CHEMBL226"
"269","CHEMBL267"
"270","CHEMBL3975"
"271","CHEMBL4315"
"272","CHEMBL2002"
"273","CHEMBL4595"
"274","CHEMBL2518"
"275","CHEMBL1075162"
"276","CHEMBL5955"
"277","CHEMBL2074"
"278","CHEMBL3114"
"279","CHEMBL3513"
"280","CHEMBL1782"
"281","CHEMBL3106"
"282","CHEMBL4769"
"283","CHEMBL2755"
"284","CHEMBL3439"
"285","CHEMBL3772"
"286","CHEMBL1743125"
"287","CHEMBL2748"
"288","CHEMBL3351218"
"289","CHEMBL3329079"
"290","CHEMBL2998"
"291","CHEMBL4848"
"292","CHEMBL3884"
"293","CHEMBL4867"
"294","CHEMBL2094"
"295","CHEMBL2135"
"296","CHEMBL2188"
"297","CHEMBL3892"
"298","CHEMBL1822"
"299","CHEMBL4333"
"300","CHEMBL2274"
"301","CHEMBL3629"
"302","CHEMBL1973"
"303","CHEMBL4481"
"304","CHEMBL3572"
"305","CHEMBL4426"
"306","CHEMBL1829"
"307","CHEMBL6007"
"308","CHEMBL3561"
"309","CHEMBL1903"
"310","CHEMBL341"
"311","CHEMBL4054"
"312","CHEMBL2308"
"313","CHEMBL4176"
"314","CHEMBL2179"
"315","CHEMBL211"
"316","CHEMBL245"
"317","CHEMBL276"
"318","CHEMBL309"
"319","CHEMBL317"
"320","CHEMBL320"
"321","CHEMBL1907"
"322","CHEMBL260"
"323","CHEMBL5522"
"324","CHEMBL2434"
"325","CHEMBL210"
"326","CHEMBL4296"
"327","CHEMBL213"
"328","CHEMBL308"
"329","CHEMBL4550"
"330","CHEMBL246"
"331","CHEMBL301"
"332","CHEMBL3922"
"333","CHEMBL3437"
"334","CHEMBL1882"
"335","CHEMBL3358"
"336","CHEMBL4370"
"337","CHEMBL5921"
"338","CHEMBL2219"
"339","CHEMBL3344"
"340","CHEMBL2083"
"341","CHEMBL2916"
"342","CHEMBL3674"
"343","CHEMBL3979"
"344","CHEMBL1781"
"345","CHEMBL4422"
"346","CHEMBL5339"
"347","CHEMBL1628461"
"348","CHEMBL4163"
"349","CHEMBL1641347"
"350","CHEMBL1641348"
"351","CHEMBL3762"
"352","CHEMBL1835"
"353","CHEMBL5511"
"354","CHEMBL3911"
"355","CHEMBL1995"
"356","CHEMBL1836"
"357","CHEMBL1881"
"358","CHEMBL4958"
"359","CHEMBL1770032"
"360","CHEMBL2073670"
"361","CHEMBL1741221"
"362","CHEMBL1970"
"363","CHEMBL3568"
"364","CHEMBL4803"
"365","CHEMBL2492"
"366","CHEMBL3511"
"367","CHEMBL1075319"
"368","CHEMBL2131"
"369","CHEMBL268"
"370","CHEMBL3837"
"371","CHEMBL4072"
"372","CHEMBL3230"
"373","CHEMBL4124"
"374","CHEMBL3623"
"375","CHEMBL6154"
"376","CHEMBL6164"
"377","CHEMBL5508"
"378","CHEMBL2508"
"379","CHEMBL4903"
"380","CHEMBL5113"
"381","CHEMBL5866"
"382","CHEMBL3243"
"383","CHEMBL1293258"
"384","CHEMBL1795093"
"385","CHEMBL240"
"386","CHEMBL2954"
"387","CHEMBL2976"
"388","CHEMBL4018"
"389","CHEMBL4777"
"390","CHEMBL251"
"391","CHEMBL5804"
"392","CHEMBL3861"
"393","CHEMBL1293222"
"394","CHEMBL1293266"
"395","CHEMBL6120"
"396","CHEMBL3507"
"397","CHEMBL4303"
"398","CHEMBL4204"
"399","CHEMBL236"
"400","CHEMBL4026"
"401","CHEMBL5469"
"402","CHEMBL1936"
"403","CHEMBL279"
"404","CHEMBL3553"
"405","CHEMBL4247"
"406","CHEMBL5147"
"407","CHEMBL3788"
"408","CHEMBL4036"
"409","CHEMBL4895"
"410","CHEMBL1955"
"411","CHEMBL3521"
"412","CHEMBL5026"
"413","CHEMBL2208"
"414","CHEMBL2535"
"415","CHEMBL233"
"416","CHEMBL237"
"417","CHEMBL264"
"418","CHEMBL3816"
"419","CHEMBL3335"
"420","CHEMBL3047"
"421","CHEMBL2609"
"422","CHEMBL4393"
"423","CHEMBL4068"
"424","CHEMBL2885"
"425","CHEMBL4421"
"426","CHEMBL3148"
"427","CHEMBL4430"
"428","CHEMBL1293267"
"429","CHEMBL1947"
"430","CHEMBL1808"
"431","CHEMBL1860"
"432","CHEMBL4801"
"433","CHEMBL3369"
"434","CHEMBL3238"
"435","CHEMBL4037"
"436","CHEMBL5098"
"437","CHEMBL2163175"
"438","CHEMBL286"
"439","CHEMBL1944"
"440","CHEMBL4328"
"441","CHEMBL1938210"
"442","CHEMBL2163176"
"443","CHEMBL1293243"
"444","CHEMBL2334"
"445","CHEMBL283"
"446","CHEMBL6115"
"447","CHEMBL2625"
"448","CHEMBL209"
"449","CHEMBL1741195"
"450","CHEMBL3776"
"451","CHEMBL1918"
"452","CHEMBL3683"
"453","CHEMBL3419"
"454","CHEMBL3457"
"455","CHEMBL1942"
"456","CHEMBL327"
"457","CHEMBL2883"
"458","CHEMBL2145"
"459","CHEMBL2185"
"460","CHEMBL3717"
"461","CHEMBL229"
"462","CHEMBL322"
"463","CHEMBL3602"
"464","CHEMBL3138"
"465","CHEMBL1945"
"466","CHEMBL4203"
"467","CHEMBL3227"
"468","CHEMBL2564"
"469","CHEMBL4980"
"470","CHEMBL2745"
"471","CHEMBL3190"
"472","CHEMBL5071"
"473","CHEMBL4136"
"474","CHEMBL3976"
"475","CHEMBL1985"
"476","CHEMBL2372"
"477","CHEMBL2888"
"478","CHEMBL5137"
"479","CHEMBL4086"
"480","CHEMBL1946"
"481","CHEMBL4427"
"482","CHEMBL326"
"483","CHEMBL2992"
"484","CHEMBL280"
"485","CHEMBL3012"
"486","CHEMBL4716"
"487","CHEMBL4506"
"488","CHEMBL5619"
"489","CHEMBL2710"
"490","CHEMBL3161"
"491","CHEMBL3890"
"492","CHEMBL5378"
"493","CHEMBL1293224"
"494","CHEMBL1250375"
"495","CHEMBL5284"
"496","CHEMBL5979"
"497","CHEMBL3880"
"498","CHEMBL2146302"
"499","CHEMBL1991"
"500","CHEMBL4979"
"501","CHEMBL4338"
"502","CHEMBL3753"
"503","CHEMBL2088"
"504","CHEMBL4681"
"505","CHEMBL1795180"
"506","CHEMBL2635"
"507","CHEMBL3864"
"508","CHEMBL1938209"
"509","CHEMBL3028"
"510","CHEMBL3965"
"511","CHEMBL4940"
"512","CHEMBL5500"
"513","CHEMBL2008"
"514","CHEMBL2003"
"515","CHEMBL2055"
"516","CHEMBL2061"
"517","CHEMBL2851"
"518","CHEMBL2919"
"519","CHEMBL4573"
"520","CHEMBL4860"
"521","CHEMBL3194"
"522","CHEMBL2787"
"523","CHEMBL1824"
"524","CHEMBL2366498"
"525","CHEMBL2955"
"526","CHEMBL4035"
"527","CHEMBL1993"
"528","CHEMBL4588"
"529","CHEMBL4729"
"530","CHEMBL4073"
"531","CHEMBL1864"
"532","CHEMBL2706"
"533","CHEMBL3338"
"534","CHEMBL5658"
"535","CHEMBL3253"
"536","CHEMBL1806"
"537","CHEMBL3807"
"538","CHEMBL1825"
"539","CHEMBL4029"
"540","CHEMBL3150"
"541","CHEMBL4093"
"542","CHEMBL1795166"
"543","CHEMBL287"
"544","CHEMBL4931"
"545","CHEMBL3397"
"546","CHEMBL4580"
"547","CHEMBL2331070"
"548","CHEMBL401"
"549","CHEMBL5627"
"550","CHEMBL4461"
"551","CHEMBL1075246"
"552","CHEMBL5083"
"553","CHEMBL5582"
"554","CHEMBL255"
"555","CHEMBL4523"
"556","CHEMBL5407"
"557","CHEMBL2386"
"558","CHEMBL4071"
"559","CHEMBL2009"
"560","CHEMBL2395"
"561","CHEMBL2731"
"562","CHEMBL3818"
"563","CHEMBL3650"
"564","CHEMBL2742"
"565","CHEMBL4142"
"566","CHEMBL307"
"567","CHEMBL3155"
"568","CHEMBL4305"
"569","CHEMBL1293286"
"570","CHEMBL3797"
"571","CHEMBL5024"
"572","CHEMBL2452"
"573","CHEMBL4909"
"574","CHEMBL1805"
"575","CHEMBL1875"
"576","CHEMBL1899"
"577","CHEMBL2182"
"578","CHEMBL259"
"579","CHEMBL1804"
"580","CHEMBL4608"
"581","CHEMBL1792"
"582","CHEMBL3223"
