 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL1947	 Thyroid hormone receptor beta-1 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL1860	 Thyroid hormone receptor alpha 
 5 	 CHEMBL2622	 Aldose reductase 
 6 	 CHEMBL1900	 Aldose reductase 
 7 	 CHEMBL206	 Estrogen receptor alpha 
 8 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 9 	 CHEMBL242	 Estrogen receptor beta 
 10 	 CHEMBL3242	 Carbonic anhydrase XII 
 11 	 CHEMBL3594	 Carbonic anhydrase IX 
 12 	 CHEMBL5071	 G protein-coupled receptor 44 
 13 	 CHEMBL230	 Cyclooxygenase-2 
 14 	 CHEMBL3717	 Hepatocyte growth factor receptor 
 15 	 CHEMBL333	 Matrix metalloproteinase-2 
 16 	 CHEMBL288	 Phosphodiesterase 4D 
 17 	 CHEMBL2808	 LXR-alpha 
 18 	 CHEMBL325	 Histone deacetylase 1 
 19 	 CHEMBL6120	 Solute carrier family 22 member 12 
 20 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
