 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2492	 Neuronal acetylcholine receptor protein alpha-7 subunit 
 2 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 3 	 CHEMBL2622	 Aldose reductase 
 4 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 5 	 CHEMBL4822	 Beta-secretase 1 
 6 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 7 	 CHEMBL2916	 Telomerase reverse transcriptase 
 8 	 CHEMBL6152	 Alpha-synuclein 
 9 	 CHEMBL1163101	 Serine/threonine-protein kinase/endoribonuclease IRE1 
 10 	 CHEMBL206	 Estrogen receptor alpha 
 11 	 CHEMBL283	 Matrix metalloproteinase 3 
 12 	 CHEMBL1250375	 NADPH oxidase 4 
 13 	 CHEMBL5284	 CaM-kinase kinase beta 
 14 	 CHEMBL1293224	 Microtubule-associated protein tau 
 15 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 16 	 CHEMBL3402	 Alkaline phosphatase placental-like 
 17 	 CHEMBL5573	 Intestinal alkaline phosphatase 
 18 	 CHEMBL5979	 Alkaline phosphatase, tissue-nonspecific isozyme 
 19 	 CHEMBL1951	 Monoamine oxidase A 
 20 	 CHEMBL2039	 Monoamine oxidase B 
