 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 2 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 3 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 4 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 5 	 CHEMBL1835	 Thromboxane-A synthase 
 6 	 CHEMBL261	 Carbonic anhydrase I 
 7 	 CHEMBL2409	 Epoxide hydratase 
 8 	 CHEMBL205	 Carbonic anhydrase II 
 9 	 CHEMBL2243	 Anandamide amidohydrolase 
 10 	 CHEMBL3180	 Carboxylesterase 2 
 11 	 CHEMBL220	 Acetylcholinesterase 
 12 	 CHEMBL284	 Dipeptidyl peptidase IV 
 13 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 14 	 CHEMBL3242	 Carbonic anhydrase XII 
 15 	 CHEMBL4235	 11-beta-hydroxysteroid dehydrogenase 1 
 16 	 CHEMBL3594	 Carbonic anhydrase IX 
 17 	 CHEMBL3979	 Peroxisome proliferator-activated receptor delta 
 18 	 CHEMBL3976	 Dipeptidyl peptidase II 
 19 	 CHEMBL402	 HMG-CoA reductase 
 20 	 CHEMBL3561	 GABA receptor rho-1 subunit 
