 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL261	 Carbonic anhydrase I 
 2 	 CHEMBL205	 Carbonic anhydrase II 
 3 	 CHEMBL3242	 Carbonic anhydrase XII 
 4 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 5 	 CHEMBL3594	 Carbonic anhydrase IX 
 6 	 CHEMBL220	 Acetylcholinesterase 
 7 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 8 	 CHEMBL3180	 Carboxylesterase 2 
 9 	 CHEMBL2326	 Carbonic anhydrase VII 
 10 	 CHEMBL3510	 Carbonic anhydrase XIV 
 11 	 CHEMBL3568	 Nitric-oxide synthase, brain 
 12 	 CHEMBL268	 Cathepsin K 
 13 	 CHEMBL333	 Matrix metalloproteinase-2 
 14 	 CHEMBL262	 Glycogen synthase kinase-3 beta 
 15 	 CHEMBL1882	 Neuronal acetylcholine receptor protein alpha-4 subunit 
 16 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 17 	 CHEMBL284	 Dipeptidyl peptidase IV 
 18 	 CHEMBL4481	 Nitric oxide synthase, inducible 
 19 	 CHEMBL2039	 Monoamine oxidase B 
 20 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
