 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1942	 Alpha-2b adrenergic receptor 
 2 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 3 	 CHEMBL262	 Glycogen synthase kinase-3 beta 
 4 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 5 	 CHEMBL3807	 T-cell protein-tyrosine phosphatase 
 6 	 CHEMBL4903	 Low molecular weight phosphotyrosine protein phosphatase 
 7 	 CHEMBL4096	 Cellular tumor antigen p53 
 8 	 CHEMBL206	 Estrogen receptor alpha 
 9 	 CHEMBL3884	 Sodium/glucose cotransporter 2 
 10 	 CHEMBL299	 Protein kinase C alpha 
 11 	 CHEMBL4303	 Heat shock protein HSP 90-beta 
 12 	 CHEMBL3046	 Sialidase 3 
 13 	 CHEMBL1900	 Aldose reductase 
 14 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 15 	 CHEMBL4518	 Purinergic receptor P2Y14 
 16 	 CHEMBL2622	 Aldose reductase 
 17 	 CHEMBL1697668	 Solute carrier organic anion transporter family member 1B1 
 18 	 CHEMBL1743121	 Solute carrier organic anion transporter family member 1B3 
 19 	 CHEMBL261	 Carbonic anhydrase I 
 20 	 CHEMBL3510	 Carbonic anhydrase XIV 
