 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 2 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 3 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 4 	 CHEMBL205	 Carbonic anhydrase II 
 5 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 6 	 CHEMBL2326	 Carbonic anhydrase VII 
 7 	 CHEMBL261	 Carbonic anhydrase I 
 8 	 CHEMBL3025	 Carbonic anhydrase VI 
 9 	 CHEMBL321	 Matrix metalloproteinase 9 
 10 	 CHEMBL3242	 Carbonic anhydrase XII 
 11 	 CHEMBL332	 Matrix metalloproteinase-1 
 12 	 CHEMBL333	 Matrix metalloproteinase-2 
 13 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 14 	 CHEMBL3510	 Carbonic anhydrase XIV 
 15 	 CHEMBL3594	 Carbonic anhydrase IX 
 16 	 CHEMBL3969	 Carbonic anhydrase VB 
 17 	 CHEMBL4789	 Carbonic anhydrase VA 
 18 	 CHEMBL1293226	 Lysine-specific demethylase 4D-like 
 19 	 CHEMBL3402	 Alkaline phosphatase placental-like 
 20 	 CHEMBL2622	 Aldose reductase 
