 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2758	 Mannose-6-phosphate isomerase 
 2 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 3 	 CHEMBL1957	 Insulin-like growth factor I receptor 
 4 	 CHEMBL2147	 Serine/threonine-protein kinase PIM1 
 5 	 CHEMBL2185	 Serine/threonine-protein kinase Aurora-B 
 6 	 CHEMBL279	 Vascular endothelial growth factor receptor 2 
 7 	 CHEMBL3024	 Serine/threonine-protein kinase PLK1 
 8 	 CHEMBL3717	 Hepatocyte growth factor receptor 
 9 	 CHEMBL4247	 ALK tyrosine kinase receptor 
 10 	 CHEMBL4895	 Tyrosine-protein kinase receptor UFO 
 11 	 CHEMBL4860	 Apoptosis regulator Bcl-2 
 12 	 CHEMBL206	 Estrogen receptor alpha 
 13 	 CHEMBL242	 Estrogen receptor beta 
 14 	 CHEMBL1951	 Monoamine oxidase A 
 15 	 CHEMBL267	 Tyrosine-protein kinase SRC 
 16 	 CHEMBL3629	 Casein kinase II alpha 
 17 	 CHEMBL4162	 Protein-tyrosine phosphatase 4A3 
 18 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 19 	 CHEMBL248	 Leukocyte elastase 
 20 	 CHEMBL230	 Cyclooxygenase-2 
