Sergey2025
AACS
ABCA10
ABCB8
ABCF3
ACAP2
ACBD4
ACE
ACO1
ACP6
ACSF3
ACSM1
ACTR5
ACY3
ADAM12
ADAMTS8
ADCY3
ADO
AGAP4
AIRIM
AKAP8
ALDH1L1
ALDH8A1
ALG10
ALG10B
ALG3
ALKBH5
ALS2CL
AMH
AMPD3
AMT
AMZ1
ANKDD1A
ANKK1
ANKRD18B
ANKRD36
ANKRD36B
ANKRD7
ANKS1A
AP1S3
AREL1
ARFGAP3
ARHGEF7
ARID3C
ARL14EP
ARL17B
ARL6IP6
ARMC1
ARPC5L
ARSA
ASAP1
ASB13
ASPG
ASPHD1
ATF6B
ATP23
ATP2C1
ATRIP
B3GAT2
B3GAT3
B3GLCT
BAG6
BARD1
BBS1
BCAP29
BCHE
BEND4
BHMT
BICC1
BIN1
BNIP1
BORCS7
BSND
BTN3A1
BTN3A2
BTN3A3
C14orf132
C15orf40
C1GALT1
C1orf174
C1QTNF4
C22orf31
C2CD3
C2orf74
C3orf52
C4A
C4B
CADM2
CALHM2
CANX
CAPN15
CAPRIN2
CAPS2
CASC3
CBL
CBY1
CCDC163
CCDC171
CCDC188
CCDC66
CCDC7
CCDC71
CCDC93
CCHCR1
CCNG1
CCS
CD276
CD40
CD8A
CDC25B
CENPK
CEP19
CEP89
CFAP276
CFAP97D2
CGGBP1
CHCHD5
CHFR
CHKB
CHMP3
CHRNB1
CHST10
CIAO1
CKS2
CLEC18A
CLEC4G
CLN8
CNGA1
CNPPD1
COA8
COL28A1
COL5A3
COPS9
COQ3
COQ8A
COX8A
CRB1
CRCP
CRIPT
CTSF
CUL9
CWC25
CWF19L1
CYB561
CYBRD1
CYP4A11
CZIB
DALRD3
DCAF4L1
DDAH2
DDB2
DDHD2
DDX11
DECR2
DENND5B
DIAPH3
DIPK1A
DLD
DMGDH
DNAH7
DNAJB13
DNM1
DNMBP
DOC2B
DPYSL4
DRD2
DTD1
DUSP15
DYNC1I2
DYNC2I1
DYNC2LI1
DYNLT5
EAF2
ECE2
EMILIN3
EML3
EPHB2
ERCC3
ERI1
ESPNL
ESYT2
FADS1
FAHD2B
FAM167A
FAM177A1
FAM178B
FAM180B
FAM200B
FAM227A
FASTKD5
FBXL18
FLG
FLT4
FN3KRP
FNIP2
FOLH1
FOXRED1
FOXS1
FRAT2
FREM1
GAPVD1
GDF9
GDI2
GEMIN7
GGH
GINM1
GLIPR1L2
GLRX2
GLTP
GLYCTK
GMCL1
GMPPB
GNL3
GNPDA2
GOSR2
GPNMB
GPR108
GPR27
GPX1
GRAMD1A
GRK7
GSDMD
GSDME
GSTO2
GSTP1
GTF2H5
GTF2I
GTF2IRD2
GUF1
H1-2
H2AZ2
HACE1
HARS1
HARS2
HAUS4
HBS1L
HDLBP
HFM1
HIBADH
HLA-B
HLA-C
HLA-DOB
HLA-DPA1
HLA-DQB2
HLA-DRB1
HPCAL4
HSD17B8
HTR1D
HYKK
IBSP
IFI27L1
IFT122
IFT27
IFT46
IFT70A
IL11RA
IL21R
IL33
ILRUN
IMPA1
INA
INO80D
INO80E
INPP5B
ITGAV
ITGB6
ITIH4
ITPA
IVD
JMJD7
KANSL1
KBTBD2
KDELR2
KIAA1143
KIF6
KIFC2
KLC1
KLHL1
KMT5A
KNSTRN
KRR1
KTN1
L3MBTL2
LACTB
LARP6
LATS1
LBHD1
LCNL1
LDHAL6A
LGALS8
LINGO4
LRGUK
LRP4
LRP8
LRRC37A
LRRC37A2
LRRC53
LRRIQ3
LUZP1
LY75
LYRM4
LYRM9
MAEL
MAP1B
MAP2K5
MAPK3
MARCHF10
MARCHF8
MARK3
MCM6
MCOLN2
MCOLN3
MED20
MED24
METAP1D
METTL15
METTL21A
MFAP3L
MFF
MFN1
MFSD13A
MFSD4A
MGMT
MGST1
MICA
MICB
MIDEAS
MIER1
MMAB
MORN1
MPP4
MPPED2
MRM2
MRPL34
MRPL48
MRPS21
MSANTD1
MSL1
MST1R
MTCH2
MTFR1L
MTLN
MTPAP
MTRF1L
MUC4
MVK
MYO15A
MYO15B
NAB1
NAIP
NAXE
NBAS
NBEAL2
NBN
NBPF10
NBPF9
NCAN
NCKIPSD
NDUFAF4
NDUFS1
NDUFV1
NDUFV3
NEGR1
NEIL2
NEK4
NICN1
NIPAL1
NME7
NOC3L
NOS1
NOS2
NPY2R
NR1H3
NRDC
NSF
NT5C2
NTM
NUP42
NUP50
NWD1
OBSCN
OCIAD1
ODAPH
OLFML2A
OTUD7A
OXGR1
P2RX2
P4HTM
PACC1
PALS2
PAPPA2
PARVB
PASK
PCDHA10
PCDHA13
PCDHA7
PCDHA8
PCDHB10
PCDHB2
PCDHB3
PCDHB8
PCM1
PCMTD2
PDCD5
PDE7A
PDLIM4
PDXDC1
PDZK1IP1
PEBP1
PEX13
PEX5
PGBD1
PGPEP1
PHACTR4
PIBF1
PIF1
PIGX
PIGZ
PLA2G4B
PLEKHB1
PLIN1
PM20D1
PNMA8A
POGZ
POLE
POLI
POLR2J2
PPA2
PPIL6
PPM1M
PPME1
PPP2R3C
PPP3CC
PPP6C
PPWD1
PRDM15
PRH1
PRKCD
PRMT6
PROM1
PROS1
PRPH2
PRR4
PRSS16
PSEN2
PSMC3
PSMC5
PSORS1C1
PTGES2
PTX3
PWWP3A
PXMP2
QRICH1
QRICH2
RAB7B
RAD54L
RAD9A
RAET1G
RANBP17
RAPGEFL1
RAPSN
RASA3
RBBP8NL
RBM20
RBM23
RBM26
RBM6
RBM8A
RCVRN
REEP1
RERE
RETREG2
REV3L
RHOA
RHOD
RITA1
RMI2
RNF123
RNF149
RNF4
RPA3
RPAP1
RPAP2
RPL12
RPL36AL
RPS6KL1
RSRC1
RTL10
RWDD2A
RYR1
SAMD10
SAMD5
SAXO2
SCAI
SCAP
SCFD1
SCN9A
SCP2
SELENBP1
SELENON
SENP5
SENP7
SETDB2
SF3B1
SFMBT1
SGTB
SH3D21
SH3GL2
SHLD3
SHMT1
SIDT1
SIL1
SKIC2
SLC12A5
SLC1A6
SLC1A7
SLC22A5
SLC25A1
SLC25A12
SLC25A26
SLC25A32
SLC25A39
SLC27A5
SLC30A9
SLC39A13
SLC41A1
SLC4A11
SLC4A5
SLC5A9
SLC66A2
SLC7A8
SLC9A8
SLU7
SMPD2
SMYD5
SNRNP27
SNX16
SNX18
SNX19
SNX31
SOHLH2
SORBS3
SOX15
SPATA6
SPATA7
SPCS1
SPPL3
SRA1
SRGAP2C
ST7L
STAU1
STK31
STK32C
STOML1
STRC
STX17
SUSD1
SYCE1L
SYNM
SYT15
TAL1
TAS2R14
TAS2R20
TAS2R46
TBC1D4
TBX6
TCF19
TCP10L
TDRD12
TDRKH
THAP5
THSD7A
THUMPD3
TIMP4
TIPIN
TKT
TMA7
TMCO6
TMEM120A
TMEM161B
TMEM163
TMEM244
TMEM33
TMPRSS5
TOP3A
TPRA1
TPSD1
TRAF1
TRAF3
TREX1
TRIB3
TRIM13
TRIM45
TRIM47
TRMT61A
TRPT1
TSNARE1
TTC12
TWSG1
TXNRD2
TYMP
TYW1B
U2AF1L4
UBA6
UBOX5
ULBP2
UNC119B
URB1
UROS
UST
VAMP2
VARS2
VCL
VIPR2
VKORC1L1
VPREB3
VPS29
VSTM5
VWA5B2
WDFY2
WDR55
WDR5B
WDR6
WDR73
WHRN
WNT3
XPNPEP3
XPO4
XRCC3
YIPF4
YIPF7
YPEL3
ZAP70
ZBTB46
ZC3H8
ZDHHC24
ZDHHC6
ZDHHC8
ZFAND1
ZFAND4
ZFP1
ZFP41
ZFP69
ZFTRAF1
ZGPAT
ZKSCAN3
ZKSCAN7
ZMAT2
ZMIZ2
ZNF132
ZNF135
ZNF184
ZNF197
ZNF266
ZNF268
ZNF304
ZNF322
ZNF324
ZNF324B
ZNF391
ZNF445
ZNF462
ZNF501
ZNF502
ZNF519
ZNF584
ZNF595
ZNF627
ZNF660
ZNF670
ZNF681
ZNF718
ZNF749
ZNF83
ZNF93
ZNF98
ZP3
ZSCAN16
ZSCAN21
ZSCAN23
ZSCAN26
ZSCAN31
ZSCAN9
ZWILCH
ZYG11B
