"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000255933",24.7610694856301,-0.688749059023451,0.165667137401343,-4.1574271749194,3.21851826381943e-05,0.646160045388687
"ENSG00000177453",496.469506152224,0.269828043113021,0.0661067480326466,4.08170196149669,4.47071044136606e-05,0.646160045388687
"ENSG00000137513",246.834872449535,0.288590269945164,0.0726868335993913,3.97032386271922,7.17750012192528e-05,0.646160045388687
"ENSG00000107984",33.5801610996365,0.514354109166778,0.130045290372543,3.95519213108986,7.64731694643099e-05,0.646160045388687
"ENSG00000155463",1188.38512471584,0.191606214102113,0.0496346541604144,3.86033140238795,0.000113233347348837,0.715809222718989
"ENSG00000096996",66.5353452959428,-0.392476261752519,0.103019671715889,-3.80972153391153,0.000139123398954366,0.715809222718989
"ENSG00000121060",713.19263035282,0.268072727467092,0.0718268830035069,3.73220605234955,0.000189810133430911,0.715809222718989
"ENSG00000233766",36.6437338316005,-0.708816372353947,0.192569661884967,-3.68083095444892,0.000232475099006335,0.715809222718989
"ENSG00000166845",93.7776795893772,-0.430436913240516,0.117554485656293,-3.66159496881329,0.000250649912565393,0.715809222718989
"ENSG00000123360",4233.57110969291,0.281132372495734,0.0769456192016231,3.6536501416549,0.000258538492593275,0.715809222718989
"ENSG00000231359",21.6474973414813,0.530100473486201,0.145121769409696,3.6527977548955,0.000259398535310108,0.715809222718989
"ENSG00000173988",29.1297640321222,-0.983122002277877,0.269496735786182,-3.64799224528598,0.000264297613448873,0.715809222718989
"ENSG00000183688",286.982423583911,0.497829959468586,0.138082219824887,3.60531544249451,0.000311773995446422,0.715809222718989
"ENSG00000171574",371.804826005333,0.195151858722615,0.0542861742850118,3.59487219891448,0.000324550855677079,0.715809222718989
"ENSG00000179148",69.7492708369771,0.369333749741659,0.10314115969483,3.58085705875742,0.000342468984467249,0.715809222718989
"ENSG00000214013",260.757852272534,-0.27726356008831,0.0777332875281572,-3.56685750603147,0.000361287805777943,0.715809222718989
"ENSG00000144648",22.8575922756041,-0.527212271150855,0.148078063517394,-3.56036713762754,0.000370336652944914,0.715809222718989
"ENSG00000252854",2.86665595308709,-1.54742787101533,0.435557445683259,-3.55275265375818,0.000381222735337647,0.715809222718989
"ENSG00000147896",3.21296006228829,-1.31692150922358,0.37390235503477,-3.52210006567387,0.000428142503243055,0.721848491473393
"ENSG00000213891",15.3515414440068,-0.821863421055459,0.23350979529731,-3.51961004466234,0.000432181708118378,0.721848491473393
"ENSG00000151360",6.07743757581534,1.22998740527411,0.351979364766914,3.49448725804885,0.000474973281406537,0.721848491473393
"ENSG00000269591",4.49582541238662,-1.17882224051119,0.337953381249137,-3.48812086493719,0.000486428138911174,0.721848491473393
"ENSG00000183722",1050.30443002359,0.209908421446997,0.0602234209566847,3.48549481435092,0.000491227744360259,0.721848491473393
"ENSG00000205898",2.94921744734061,-1.28511190196994,0.370924908520787,-3.46461473049852,0.000530991588504088,0.747768904510882
"ENSG00000244302",18.8390029917215,-0.70135784628119,0.205379276280951,-3.41493971047867,0.000637961306322995,0.750398166739593
"ENSG00000173826",69.3499263388322,0.465872240107638,0.136566388699567,3.41132429834189,0.000646481512529087,0.750398166739593
"ENSG00000064218",9.3253364552372,1.48065034431319,0.434556869588584,3.40726484364403,0.000656174233015343,0.750398166739593
"ENSG00000222012",13.0096232396512,-0.697867985854136,0.205057617901737,-3.4032775421616,0.000665826083709596,0.750398166739593
