"gene","log2FoldChange","baseMean","t","pvalue","padj","B"
"ENSG00000256481",0.730243717016317,-0.935298391678467,2.94385101639618,0.00456079071864863,0.767519057441701,-3.47321770412918
"ENSG00000183018",0.220710618015667,4.87817882711238,2.93972565398704,0.00461429182409255,0.767519057441701,-2.14101982759132
"ENSG00000163516",0.20539407799057,4.63725269660835,2.93329248738218,0.00469888525339555,0.767519057441701,-2.16146517785761
"ENSG00000172197",0.323168856458034,3.44310636835269,2.93303895688791,0.00470224834226167,0.767519057441701,-2.25835129941626
"ENSG00000234945",0.596977204326217,-0.521978297283687,2.92310497332633,0.0048357932014695,0.767519057441701,-3.34599800628821
"ENSG00000103175",-0.318182990374798,2.95328961233483,-2.92240963953564,0.00484527113167387,0.767519057441701,-2.35127592870478
"ENSG00000137285",-0.290787932542413,8.38655866037934,-2.92212387820524,0.00484917126540819,0.767519057441701,-2.25114798606324
"ENSG00000141200",-0.85019113475768,-1.03317866781107,-2.92045008061344,0.00487207410885475,0.767519057441701,-3.51816633329758
"ENSG00000205221",-0.446303587795188,0.676193564003189,-2.91966826368535,0.00488280614292393,0.767519057441701,-2.91538016048451
"ENSG00000164576",0.185231384241667,3.7137888888306,2.91444883811939,0.00495501651750203,0.767519057441701,-2.26143818596569
"ENSG00000135916",-0.216175741865773,8.48449290514498,-2.91370928219668,0.0049653278640934,0.767519057441701,-2.27168806587231
"ENSG00000105088",-0.303051099272856,5.48197813327699,-2.91191198559428,0.00499046978628653,0.767519057441701,-2.19263626623897
"ENSG00000100395",0.145161683152072,4.91179469889692,2.90643838009769,0.00506776680064782,0.767519057441701,-2.20861764712137
"ENSG00000255823",1.60266254705829,-0.501342342042768,2.90319918773279,0.00511403054946282,0.767519057441701,-3.40154383051438
"ENSG00000062096",-0.669409012313857,0.94716227459837,-2.90099624669676,0.00514571708219643,0.767519057441701,-2.86007633506223
"ENSG00000197262",-1.23908298579536,-0.721188345540789,-2.90038568490677,0.0051545313538285,0.767519057441701,-3.44345296117848
"ENSG00000173166",-0.228483528616543,6.72080332943216,-2.89464501065533,0.00523809168336686,0.767519057441701,-2.24813787995157
"ENSG00000172602",-0.368644781158934,4.93139526524399,-2.89455213606998,0.00523945379662758,0.767519057441701,-2.2329825785365
"ENSG00000188064",-0.536682137328316,1.50800568327853,-2.8924845501967,0.00526986232933023,0.767519057441701,-2.71581611773315
"ENSG00000126264",-0.69534283370696,-1.096191135332,-2.88631052114848,0.00536163987172441,0.767519057441701,-3.56157113206986
"ENSG00000258725",0.489617770219312,-0.573274957473424,2.88382391326406,0.00539901940221334,0.767519057441701,-3.39663389562609
