"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000173110",89.5528652282902,-2.33287202350756,0.31942645852322,-7.30331492980557,2.80762971979545e-13,7.24789612165196e-09
"ENSG00000230916",24.650226443148,-2.29028404111887,0.333859603402124,-6.86002145147311,6.88502084040192e-12,8.88684064974878e-08
"ENSG00000250535",4.09360574483989,1.62028217024654,0.304233128886114,5.32579136328402,1.00514452885533e-07,0.000864926867080014
"ENSG00000183688",312.605701324386,0.32881003253493,0.0671137705866016,4.8992930908366,9.6182077930939e-07,0.00426357581707875
"ENSG00000197020",142.18218510282,-0.334860326308192,0.0684921635128386,-4.88903122830137,1.01333421437289e-06,0.00426357581707875
"ENSG00000135245",261.344456696829,0.754356396021324,0.154476475664069,4.88330920794555,1.04320087004573e-06,0.00426357581707875
"ENSG00000196136",9.32470161278051,2.3298700448622,0.48020660319251,4.85180759567395,1.22341281440777e-06,0.00426357581707875
"ENSG00000180644",28.0025716427347,-0.653467126413671,0.135110808990927,-4.83652737552296,1.3212708323312e-06,0.00426357581707875
"ENSG00000144820",4.17111304326106,2.64701155048184,0.551201167378172,4.80226042167606,1.5688447093496e-06,0.00436927491992751
"ENSG00000251372",37.4629199275751,-0.833848972927665,0.174454802395276,-4.77974215372041,1.75520152651265e-06,0.00436927491992751
"ENSG00000021826",200.211518238933,-0.645909859166332,0.135619661004414,-4.76265649377568,1.91060921817491e-06,0.00436927491992751
"ENSG00000150893",127.138655328758,-0.776736351238971,0.16351273526388,-4.75031103837544,2.03104005574782e-06,0.00436927491992751
"ENSG00000143429",765.942386435945,0.266456464284684,0.0564432376809568,4.72078631971502,2.34934645358862e-06,0.0046652598999531
"ENSG00000260528",21.3754189845276,1.1014827958565,0.234605158047759,4.69504935450853,2.66542361406428e-06,0.00491485075693353
"ENSG00000262902",161.294597131426,-1.18868825714361,0.25571750206917,-4.64844309648415,3.34449857386053e-06,0.00575588204561397
"ENSG00000129277",9.83618794119451,-1.28903645712069,0.279129872787984,-4.61805268008626,3.87357927487015e-06,0.0062497780612983
"ENSG00000259668",12.3448259945938,-0.588713823060376,0.13029160822089,-4.51843239253215,6.22991591255864e-06,0.00946031054604125
"ENSG00000240240",37.6062024730559,0.484593271700464,0.108666254121872,4.45946421560623,8.21647894793091e-06,0.0112859605143077
"ENSG00000173391",181.133887457163,-0.733129291921698,0.164484718559761,-4.45712707138406,8.30653688831477e-06,0.0112859605143077
"ENSG00000237846",14.1866637025253,0.897353727309142,0.202132733370056,4.43942805476392,9.01982601532331e-06,0.0113378417225629
"ENSG00000248458",8.16730896090516,-0.716646343064375,0.161602335088102,-4.43462863747406,9.22311354537366e-06,0.0113378417225629
"ENSG00000091262",93.6235094765421,0.385492893140109,0.0873049206126082,4.41547727705553,1.00787367187271e-05,0.0118264812906337
"ENSG00000261172",18.4725944917087,1.71408247672423,0.398379395879786,4.30263837550843,1.68776196389367e-05,0.0189432935208327
"ENSG00000118515",1253.44042962054,-0.470976128845638,0.110502202494202,-4.26214245702796,2.02476294726062e-05,0.0209789716487535
"ENSG00000261613",17.2750933293943,0.737225975866219,0.173001611040784,4.26138214223,2.03166488947836e-05,0.0209789716487535
"ENSG00000203875",474.452021576672,0.247489291700829,0.0583789687326612,4.2393570334237,2.24160899233881e-05,0.0214356623866355
"ENSG00000132205",143.300987467771,-0.438614111489288,0.103580118810858,-4.23453956729107,2.29020459982211e-05,0.0214356623866355
"ENSG00000187908",42.6776668205411,-0.719012725083534,0.169933182578397,-4.23114964466593,2.32499921296066e-05,0.0214356623866355
"ENSG00000149131",1171.99634360537,0.316880400579096,0.0750455965975896,4.22250491628811,2.41602127333253e-05,0.0215067548865791
"ENSG00000114796",1389.90307896363,-0.217426040318581,0.0518239421900729,-4.19547473870541,2.72300635710587e-05,0.023431469702896
"ENSG00000253570",41.0009732961625,0.775840541331778,0.18619065054875,4.16691460631984,3.0875008841571e-05,0.0256649029109397
"ENSG00000172014",70.2652622448921,0.579749703536311,0.139360308182523,4.16007765121331,3.1813941241529e-05,0.0256649029109397
"ENSG00000148346",3.53457422182822,-1.34798122671316,0.326123878187704,-4.13334109174708,3.57527519610956e-05,0.0279684027841116
"ENSG00000211899",9.33636186556635,-0.996643710944903,0.24247740854021,-4.11025388692914,3.95224325987305e-05,0.0292799769377118
"ENSG00000232527",117.756502910573,0.2633745465902,0.0641066891051692,4.10837855248031,3.98446635900561e-05,0.0292799769377118
"ENSG00000242445",5.96796304383001,0.693025959499754,0.168918638577273,4.10272048920595,4.08320422141245e-05,0.0292799769377118
"ENSG00000225972",60.5976522340262,0.604775122229036,0.148095045843413,4.08369583725635,4.43250408423605e-05,0.0309257007931226
"ENSG00000157014",1145.93411245493,0.161343345726962,0.0396597506312786,4.06818860831956,4.73800242380422e-05,0.0321872454132911
"ENSG00000182141",382.836450057467,-0.279209678875753,0.0695267673969027,-4.01585877395749,5.92297180715441e-05,0.0392055172312029
"ENSG00000263335",22.0431445031447,-0.608760166173129,0.151996686069007,-4.00508841289309,6.19942895011099e-05,0.0400095645867788
"ENSG00000260247",8.08088227752758,0.586773469586321,0.147079371327711,3.98950215988425,6.62121163809329e-05,0.0416894093749703
"ENSG00000105697",18.7646618447289,0.752525089609231,0.188959883156544,3.98245954135038,6.82057383609717e-05,0.0419221698997258
"ENSG00000215781",259.478211717422,-0.701061755887102,0.17646384555975,-3.97283507940851,7.10222244624423e-05,0.0426381098720453
