"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000232754.1",0.380884680416934,15.8267368617255,3.02051552275987,5.23974690494702,1.60796975945007e-07,0.00480348806240519
"ENSG00000245928.2",0.351526417051829,15.6834731574084,3.08822083400236,5.07848175387202,3.80462962530875e-07,0.00568278503984241
"ENSG00000271105.1",57.3842333263883,-0.684158999065144,0.160082922403966,-4.27377879408451,1.92187711043521e-05,0.159756156158036
"ENSG00000161992.5",3.83031324579256,-4.17015848478022,0.981248407802453,-4.24984993771298,2.13913776531364e-05,0.159756156158036
"ENSG00000230916.2",55.578561184886,-3.61972043439634,0.883801876163492,-4.09562429320611,4.21032262822144e-05,0.224718648128145
"ENSG00000188269.4",88.0444919063688,2.27928928055066,0.558719306711014,4.07948902637363,4.51348002801483e-05,0.224718648128145
"ENSG00000265939.1",3.41076068522311,-1.84360405766633,0.468790287130296,-3.93268399170975,8.40026376376972e-05,0.333583643896177
"ENSG00000106366.7",148.800867092796,1.58159499158141,0.403687171055159,3.91787281088826,8.93338182027052e-05,0.333583643896177
"ENSG00000239595.2",10.3915981600798,-1.4121193890466,0.36648795507537,-3.85311268621689,0.000116625683141561,0.387106559165318
"ENSG00000225138.3",689.721901459891,-0.939645477323335,0.248477209892525,-3.78161634111139,0.000155813372397138,0.443325405131571
"ENSG00000181240.9",25.0013416335025,-0.881839815969103,0.233909401851281,-3.77000586119994,0.000163243713602493,0.443325405131571
"ENSG00000102854.10",48.5928120051487,1.37802296570719,0.370758529348681,3.71676672719571,0.000201788595013131,0.502335891568939
"ENSG00000228232.1",55.1863962061789,1.28954105075523,0.350773512425251,3.67627829661177,0.000236661342893192,0.511132540408303
"ENSG00000228150.1",6.86775642325435,-1.17932936909528,0.321064205822879,-3.6731885638659,0.000239542582456273,0.511132540408303
"ENSG00000261613.2",7.87463101106753,-1.97196182201276,0.546175650824869,-3.61049017662097,0.000305618877304964,0.574484211848486
"ENSG00000249320.1",1.39217921334719,-3.1226105901934,0.865292383054921,-3.60873463275962,0.0003076941515608,0.574484211848486
"ENSG00000272305.1",19.6950268016678,-0.764678917523145,0.212971165449626,-3.59052792855197,0.000330008865569657,0.579903225950728
"ENSG00000086570.8",96.074884251904,-3.20348982060297,0.90080309762759,-3.55625977423909,0.000376172130523645,0.624299447507381
"ENSG00000144119.3",213.460517622693,-0.575301623183618,0.16287029091844,-3.53226865341397,0.00041201055288987,0.647789012972584
"ENSG00000090659.13",19.4386248353394,-1.40851868319218,0.401317047745809,-3.50974046854925,0.00044854426863232,0.669968146842664
"ENSG00000233052.1",1.68285200672357,-2.5874803531701,0.74262134042732,-3.48425262285246,0.000493513437639309,0.702034615361861
"ENSG00000256596.1",23.0418196384366,-0.868703949324687,0.251230106584512,-3.45780193757336,0.00054460160123472,0.739494710622035
"ENSG00000233680.4",5.56479157193355,1.58253010632118,0.463424844838971,3.41485814570661,0.000638152367569427,0.828848942452239
"ENSG00000141449.9",1083.74368248697,-0.585125528893076,0.172020779320378,-3.4014816768346,0.000670216213651209,0.834223706266773
"ENSG00000138119.12",767.769856225625,0.484432585670591,0.144084478450878,3.36214275735292,0.000773401282468215,0.87234649683584
"ENSG00000237054.4",3.42066410294449,-1.58479968031124,0.473438455598729,-3.34742491145346,0.000815660815150352,0.87234649683584
"ENSG00000100336.13",48.4987049655323,1.47317733441325,0.44077760481316,3.34222364822212,0.000831100670930279,0.87234649683584
"ENSG00000218676.1",3.36756803477935,2.07445949221222,0.623399804847899,3.32765502343775,0.000875802457933822,0.87234649683584
"ENSG00000229867.1",16.7634319132051,-0.857735028776964,0.258100299187553,-3.32326243509573,0.000889711689843848,0.87234649683584
"ENSG00000173338.8",38.8093107368968,-0.576404209780492,0.173602924708769,-3.32024481008859,0.000899385422796361,0.87234649683584
"ENSG00000236206.1",1.3365500956977,-2.73216112390547,0.823329969590203,-3.31842787802969,0.000905256967894454,0.87234649683584
"ENSG00000249816.2",6.43300162915821,-1.73514165529475,0.524972477871893,-3.30520499346666,0.000949069570199101,0.885986102204929
"ENSG00000224046.1",46.265367995272,0.59535430073815,0.182162746003288,3.26825497419437,0.00108212830509495,0.935167355965553
"ENSG00000225725.4",16.3595477421316,-1.05506020838584,0.323141107046771,-3.26501390686,0.00109458702254771,0.935167355965553
"ENSG00000228121.1",6.1116779628456,-1.63421527120609,0.500666140305067,-3.26408186942764,0.00109819427185537,0.935167355965553
"ENSG00000224201.3",4.17885920385992,-4.07976944427126,1.25271336754593,-3.25674615595708,0.00112697167391156,0.935167355965553
"ENSG00000205821.3",84.4859887846892,-0.665807862232593,0.205388353333203,-3.2417021288079,0.00118818141427365,0.939339879480385
"ENSG00000239475.1",63.579732847403,-0.826200113374693,0.25670990680079,-3.21841927984429,0.00128899245683638,0.939339879480385
"ENSG00000149150.4",71.2180789124754,-0.385083801319679,0.119668150580823,-3.21793058094933,0.00129119063814865,0.939339879480385
"ENSG00000245614.2",21.6340101426597,-0.749079207894255,0.233207997965674,-3.21206482808755,0.00131784633864238,0.939339879480385
"ENSG00000268333.1",7.55357482316705,-1.28487059706454,0.400353300337809,-3.20934183877189,0.00133039217874217,0.939339879480385
"ENSG00000238259.1",17.4620332714537,-0.855665316621684,0.266818594238748,-3.20691786516212,0.00134165295780406,0.939339879480385
"ENSG00000152778.7",2053.08996760603,0.243703202318348,0.0760648676847125,3.20388649499127,0.00135585918819516,0.939339879480385
"ENSG00000090104.7",1134.50728634707,1.10219008140993,0.344643354777027,3.198059867201,0.00138355554169775,0.939339879480385
