"gene","log2FoldChange","baseMean","t","pvalue","padj","B"
"ENSG00000138640",-0.0465486852586673,5.98262867784039,-0.664456943448641,0.509178281926439,0.999008181313891,-5.0188446488762
"ENSG00000114742",-0.029513788554955,6.32223472644369,-0.664435857541932,0.509191670429249,0.999008181313891,-5.0252401562177
"ENSG00000135372",-0.0285613030392445,5.21789780575326,-0.664419542946105,0.50920202951679,0.999008181313891,-4.99761870326184
"ENSG00000122484",0.0341399806285204,5.08117750612983,0.664374611006592,0.509230560009712,0.999008181313891,-4.99266286806166
"ENSG00000238065",-0.138319903730638,-1.02206801238245,-0.664368176713474,0.509234645671722,0.999008181313891,-4.64942128248724
"ENSG00000186174",0.081262436232637,3.37257250196161,0.664305311165157,0.509288979927699,0.999008181313891,-4.88339991370346
"ENSG00000268885",0.128759499335328,0.266719072900555,0.66423967533778,0.509316245460373,0.999008181313891,-4.68950303165948
"ENSG00000213111",-0.151123600631202,-0.630909678186284,-0.664222268931995,0.509327299260804,0.999008181313891,-4.65846324210116
"ENSG00000225051",0.152776196829634,-0.989493481370623,0.664182457905918,0.509352581423553,0.999008181313891,-4.64892847314891
"ENSG00000232422",-0.134049758647424,0.604300238081484,-0.664166793913169,0.509362529094401,0.999008181313891,-4.70362609089986
"ENSG00000176853",0.0342571665846017,5.97620624032005,0.664159348913879,0.509367257197745,0.999008181313891,-5.01847859129879
"ENSG00000156521",0.0456999654126368,3.46718659383101,0.664055440176133,0.509433249091276,0.999008181313891,-4.89053717320308
"ENSG00000258422",-0.137215985592601,-0.908805308808889,-0.663997943577677,0.509469766855712,0.999008181313891,-4.65234332013414
"ENSG00000250404",0.113078222063231,0.401046254524718,0.663795920812841,0.509598088564849,0.999008181313891,-4.69504205235737
"ENSG00000222586",-0.202329623965968,-1.81599875455209,-0.66365045063689,0.509690499716928,0.999008181313891,-4.6355647552711
"ENSG00000236028",-0.232839969120566,-2.64243608466687,-0.663593026718627,0.509726981224673,0.999008181313891,-4.62501532549917
"ENSG00000260760",-0.314646815870783,0.039768363255563,-0.663912155845364,0.509758574100232,0.999008181313891,-4.68000439163907
"ENSG00000123552",0.0315623625437763,5.54174263732317,0.663478260916034,0.50979989633154,0.999008181313891,-5.00828572668371
"ENSG00000256699",-0.118654219923541,-0.204497255796086,-0.663413977296981,0.509840740625649,0.999008181313891,-4.67226637018028
"ENSG00000228043",-0.167807615043022,-1.3337644982773,-0.663407772041875,0.509844683391388,0.999008181313891,-4.64284056438464
"ENSG00000134146",0.04980476496645,3.21360519114733,0.66338296519039,0.509860445615304,0.999008181313891,-4.86940449430183
"ENSG00000197905",-0.17553550484942,-0.668508985354658,-0.663357470749718,0.509876645005026,0.999008181313891,-4.66000078752718
"ENSG00000213385",-0.0936407361906181,-0.66031429971681,-0.663302919528488,0.509911308255846,0.999008181313891,-4.65787988351836
"ENSG00000205129",-0.0960281499171111,0.896640522681072,-0.663296879645297,0.509915146231076,0.999008181313891,-4.71612779997564
"ENSG00000125378",0.145057409427043,0.0848827688525018,0.663237824971132,0.509952672671894,0.999008181313891,-4.68590029091169
"ENSG00000188807",0.0699306981229351,3.57697083967584,0.663208450816752,0.509971339104895,0.999008181313891,-4.90014837988107
"ENSG00000227051",0.0540398490124186,7.92722063897981,0.663206202730923,0.509972767714122,0.999008181313891,-5.04502199331025
"ENSG00000161381",-0.0589708936854379,4.11428215191458,-0.663101856094424,0.510039080080069,0.999008181313891,-4.94042921705599
"ENSG00000258485",-0.0812463950863969,1.12214688748517,-0.663078800461552,0.510053732577292,0.999008181313891,-4.72743665543738
"ENSG00000110330",0.0344953169568885,5.79163853134298,0.663071344636723,0.510058471010175,0.999008181313891,-5.01450225356635
"ENSG00000076706",0.0938846769260538,4.85579678110533,0.663190992887851,0.510163887223838,0.999008181313891,-4.98103448984772
"ENSG00000150672",0.0520544547825769,8.42310370106367,0.662893616373195,0.510171430433506,0.999008181313891,-5.0478155017255
"ENSG00000183401",0.0789745232745696,2.48374986624371,0.662881108323547,0.510179380728224,0.999008181313891,-4.81291412574017
"ENSG00000229255",0.20130634372095,-1.62621648607051,0.662788461103715,0.510238270695427,0.999008181313891,-4.637945923255
"ENSG00000167522",0.049516076874992,7.07139581908748,0.662720684568966,0.51028135425765,0.999008181313891,-5.03716189010686
"ENSG00000234038",-0.186829730412142,-1.93489924354407,-0.662667247640091,0.510315323929731,0.999008181313891,-4.63302875373321
"ENSG00000239215",-0.215205796162111,-2.32057327735706,-0.662568704723466,0.510377970509696,0.999008181313891,-4.62786780687685
"ENSG00000150756",0.0495722915532648,4.05790080391264,0.662523725167575,0.510406566686706,0.999008181313891,-4.93531495533748
"ENSG00000229673",0.145170085701679,-0.783004857284756,0.662520751310419,0.510408457374789,0.999008181313891,-4.65722291912677
"ENSG00000197818",0.0331690624997324,4.38897107537338,0.662441318717521,0.510458959597987,0.999008181313891,-4.95868241133393
"ENSG00000114988",-0.043878919362595,3.35879203884746,-0.662368112798673,0.510505505358747,0.999008181313891,-4.8816473488007
"ENSG00000260689",0.232267636101022,-2.54988463814804,0.662127837249965,0.51065829329221,0.999008181313891,-4.62571432619646
"ENSG00000213533",0.0987653072148151,-0.102717595175579,0.6620438525079,0.51071170383235,0.999008181313891,-4.67583558624622
"ENSG00000269193",0.205482885087316,-1.79955677894479,0.661965777681308,0.510761358621249,0.999008181313891,-4.6348448204792
"ENSG00000178878",-0.216301328410601,5.32701939128388,-0.66239226655168,0.510812754652197,0.999008181313891,-4.99826018384162
"ENSG00000260903",0.112803778714222,2.51265710881039,0.661989773393573,0.510840704985626,0.999008181313891,-4.82021793051
"ENSG00000245080",-0.118336388394624,-0.435478346804653,-0.661831966870525,0.510846466953314,0.999008181313891,-4.66540928580231
"ENSG00000140854",0.0577057757622376,5.21172495710259,0.661750927010679,0.51089801482632,0.999008181313891,-4.99844490794289
"ENSG00000148450",-0.0395710595571866,3.96665314384458,-0.661709768475396,0.510924196036544,0.999008181313891,-4.92969494537978
"ENSG00000164484",-0.105952978863218,2.80153385130525,-0.661845526405296,0.510931950603681,0.999008181313891,-4.84096032487113
"ENSG00000102996",0.0659356530555323,2.74518478293362,0.661583773416315,0.511004346785037,0.999008181313891,-4.8337516799011
"ENSG00000185608",0.0331359527512062,3.44083157387459,0.661530474145673,0.511038254720982,0.999008181313891,-4.88867921600192
