 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2231	 Cytochrome P450 1A1 
 2 	 CHEMBL2622	 Aldose reductase 
 3 	 CHEMBL4878	 Cytochrome P450 1B1 
 4 	 CHEMBL4302	 P-glycoprotein 1 
 5 	 CHEMBL3356	 Cytochrome P450 1A2 
 6 	 CHEMBL4822	 Beta-secretase 1 
 7 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
 8 	 CHEMBL338	 Dopamine transporter 
 9 	 CHEMBL3242	 Carbonic anhydrase XII 
 10 	 CHEMBL1929	 Xanthine dehydrogenase 
 11 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 12 	 CHEMBL3199	 Acetylcholinesterase 
 13 	 CHEMBL220	 Acetylcholinesterase 
 14 	 CHEMBL205	 Carbonic anhydrase II 
 15 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 16 	 CHEMBL318	 Adenosine A1 receptor 
 17 	 CHEMBL242	 Estrogen receptor beta 
 18 	 CHEMBL1978	 Cytochrome P450 19A1 
 19 	 CHEMBL206	 Estrogen receptor alpha 
 20 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
