 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL261	 Carbonic anhydrase I 
 2 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 3 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 4 	 CHEMBL3594	 Carbonic anhydrase IX 
 5 	 CHEMBL6007	 Transient receptor potential cation channel subfamily A member 1 
 6 	 CHEMBL1829	 Histone deacetylase 3 
 7 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 8 	 CHEMBL205	 Carbonic anhydrase II 
 9 	 CHEMBL3729	 Carbonic anhydrase IV 
 10 	 CHEMBL3242	 Carbonic anhydrase XII 
 11 	 CHEMBL2326	 Carbonic anhydrase VII 
 12 	 CHEMBL3025	 Carbonic anhydrase VI 
 13 	 CHEMBL5160	 Transient receptor potential cation channel subfamily A member 1 
 14 	 CHEMBL1900	 Aldose reductase 
 15 	 CHEMBL1951	 Monoamine oxidase A 
 16 	 CHEMBL2039	 Monoamine oxidase B 
 17 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 18 	 CHEMBL1970	 Alcohol dehydrogenase alpha chain 
 19 	 CHEMBL1903	 GABA transporter 1 
 20 	 CHEMBL296	 GABA receptor gamma-1 subunit 
