protein,ligand,replicate,affinity
PDE4D_catalytic,348154,3,-6.8
PDE4D_catalytic,348154,1,-6.8
PDE4D_catalytic,348154,2,-6.7
PDE4D_catalytic,6047,3,-6.7
PDE4D_catalytic,6047,2,-6.7
PDE4D_catalytic,6047,1,-6.7
PDE4D_catalytic,10559720,3,-7.0
PDE4D_catalytic,10559720,2,-7.1
PDE4D_catalytic,10559720,1,-6.8
PDE4D_catalytic,roflumilast,1,-9.2
PDE4D_catalytic,roflumilast,2,-9.2
PDE4D_catalytic,roflumilast,3,-9.1
PDE4D_catalytic,no7,1,-7.5
PDE4D_catalytic,no7,2,-7.6
PDE4D_catalytic,no7,3,-7.4
