"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KLHL3",2.32392811224898e-32,0.244441816644206,0.291,0.268,3.91819941072273e-27
"ZNF532",2.35529942572607e-32,0.152996623981168,0.39,0.369,3.96925459161868e-27
"LINC01771",2.48354393042674e-32,0.39803573701605,0.058,0.045,4.18344201117137e-27
"CBARP",2.51776887305556e-32,-0.332287687734475,0.101,0.119,4.23913197232404e-27
"HSF4",2.59147564381226e-32,0.181768352342091,0.17,0.148,4.36121474309524e-27
"AF106564.1",2.64535981344213e-32,-0.183657326490485,0.021,0.031,4.44984053257939e-27
"PHACTR4",2.85576348358066e-32,0.182897440153338,0.312,0.289,4.80154916631543e-27
"MGST3",2.9018298589577e-32,-0.161951886311243,0.288,0.313,4.87675154658283e-27
"TOX",2.90726890268051e-32,-0.209409076165064,0.291,0.314,4.88363864368793e-27
"BCO2",2.93980605024791e-32,0.317790270299009,0.166,0.145,4.93601787650769e-27
"LDB1",3.22320177713949e-32,0.26459840753287,0.081,0.066,5.40935341419034e-27
"MYO9B",3.26258528447145e-32,0.158792065172251,0.266,0.241,5.47292688291773e-27
"FSTL1",3.46497391395633e-32,-0.694675027802157,0.048,0.061,5.80975401833194e-27
"XKR9",3.48293454051282e-32,0.448258262699028,0.088,0.072,5.83718129971169e-27
"VCP",3.56813837675201e-32,-0.230564231811848,0.155,0.176,5.97722694128878e-27
"CXCL14",3.66080487759639e-32,-0.327302320758326,0.067,0.083,6.12963926555773e-27
"DBNDD1",3.71020895144688e-32,-0.20693175775759,0.066,0.082,6.20950633373906e-27
"MRPL50",3.86359245516991e-32,-0.26601236603793,0.057,0.071,6.46324288551885e-27
"MRPS15",3.91905909064929e-32,-0.340530949035112,0.063,0.078,6.55302059451437e-27
"PSMA4",3.99510528451895e-32,-0.20574340197545,0.112,0.132,6.67711098824681e-27
"AP004608.1",4.16537626179176e-32,0.353842736869917,0.114,0.096,6.95849533818424e-27
"IRGQ",4.34904983057236e-32,-0.203517394662283,0.096,0.115,7.26200117285066e-27
"EPHB6",4.41622257977807e-32,-0.126257950091359,0.278,0.303,7.37078603288943e-27
"DNAL4",4.6736364902302e-32,-0.240939471541495,0.039,0.051,7.79684303775211e-27
"SPTSSA",4.86052056776046e-32,-0.292231697812886,0.045,0.058,8.10490162245403e-27
"LMO3",5.02578129049777e-32,-0.156268092561553,0.366,0.389,8.37663786228588e-27
"KIAA1841",5.25816332812924e-32,0.257949457464647,0.261,0.239,8.75994765160213e-27
"RXRB",5.61425855146214e-32,-0.253048569393381,0.109,0.128,9.34891524675708e-27
"NPIPA8",5.66458452654376e-32,0.913835012251078,0.014,0.008,9.42840741125402e-27
"SLC24A4",5.75672647737624e-32,0.421485266436664,0.119,0.101,9.57739567619777e-27
"MRPL47",6.08631563356988e-32,-0.285654085937693,0.043,0.055,1.0121105517643e-26
"ZNF830",6.40241632490002e-32,-0.410955594890777,0.029,0.039,1.06418989367937e-26
"NDUFAF4",6.51061589863848e-32,-0.194234598119045,0.085,0.102,1.08168080034828e-26
"NDUFAB1",6.65808725498595e-32,-0.248683173010376,0.096,0.114,1.10567743685677e-26
"PCSK5",6.66745980347626e-32,-0.319862153142669,0.134,0.154,1.10672922769565e-26
"DCK",7.09756818683449e-32,-0.212723606462666,0.055,0.069,1.17758603162298e-26
"MT1M",7.49639101576107e-32,-0.961541004778477,0.012,0.02,1.24318995472009e-26
"CCT3",7.82433199627118e-32,-0.228469223446214,0.144,0.164,1.29698457019072e-26
"PIK3R1",8.05780314803454e-32,-0.120653023671995,0.499,0.518,1.33507776132793e-26
"GNA11",8.49678250776065e-32,-0.154144620507056,0.118,0.137,1.40717097617817e-26
"C9orf153",8.55705190440177e-32,0.394697547685539,0.037,0.026,1.41650816433843e-26
"LRRTM1",8.90515312859496e-32,-0.331130057826123,0.043,0.056,1.4734620193889e-26
"COPS6",9.16806627410174e-32,-0.24443675521223,0.134,0.154,1.5162751797466e-26
"PARD3B",9.67017956924096e-32,-0.473238917456374,0.131,0.149,1.59859201057321e-26
"TBC1D10B",9.75605404323321e-32,-0.246662929051467,0.089,0.106,1.61205629473905e-26
"GSTO1",9.76337916877098e-32,-0.307312789180989,0.08,0.097,1.61253503268369e-26
"PHTF1",1.00031671251205e-31,0.236022943672097,0.29,0.268,1.65138985839678e-26
"SOX4",1.08510857518394e-31,-0.316265540531858,0.047,0.061,1.79055827058228e-26
"PSMC1",1.12413312531325e-31,-0.218724856669873,0.127,0.147,1.85411331627076e-26
"CFL2",1.29369152258583e-31,-0.251600481395985,0.07,0.085,2.13281218349484e-26
"AC134312.4",1.32140045803782e-31,0.678758836208345,0.047,0.035,2.17750808332847e-26
"DNAH14",1.33270315577947e-31,0.31100594402362,0.191,0.17,2.19514028558638e-26
"EAF1",1.34947845585228e-31,-0.166421457881229,0.108,0.127,2.22176657818306e-26
"MTX1",1.37110690064993e-31,-0.439304142610865,0.024,0.033,2.25635536111885e-26
"LINC00106",1.44927010808295e-31,0.255166932650235,0.057,0.044,2.38390703225169e-26
"KLF10",1.54389010905462e-31,-0.220293334445876,0.043,0.056,2.53741532329839e-26
"GPR137",1.54398727862864e-31,-0.341424589303636,0.08,0.096,2.53741532329839e-26
