Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8963899,"Plasma lipoprotein remodeling",1,56,0.003468780971258672,0.006925529501090821,0.013851059002181643,1,31,0.0019536173430804134,9606,Homo sapiens,"furin","","R-HSA-6784628"
R-HSA-5339562,"Uptake and actions of bacterial toxins",1,60,0.0037165510406342913,0.007419289329630985,0.014709674991479016,3,66,0.004159314343332493,9606,Homo sapiens,"furin","","R-HSA-5210935;R-HSA-9683546;R-HSA-5210912"
R-HSA-9772572,"Early SARS-CoV-2 Infection Events",1,66,0.00408820614469772,0.008159698859913966,0.014709674991479016,2,74,0.004663473657675826,9606,Homo sapiens,"furin","","R-HSA-9699007;R-HSA-9698988"
R-HSA-1442490,"Collagen degradation",1,69,0.004274033696729435,0.008529800029418055,0.014709674991479016,2,34,0.002142677085959163,9606,Homo sapiens,"furin","","R-HSA-2172405;R-HSA-2471842"
R-HSA-186797,"Signaling by PDGF",1,70,0.00433597621407334,0.00865315173841763,0.014709674991479016,3,31,0.0019536173430804134,9606,Homo sapiens,"furin","","R-HSA-186785;R-HSA-8865276;R-HSA-8865275"
R-HSA-212436,"Generic Transcription Pathway",2,1574,0.09749752229930625,0.009505766854503661,0.014709674991479016,2,879,0.055394504663473655,9606,Homo sapiens,"furin","","R-HSA-9733203;R-HSA-9736953"
R-HSA-977225,"Amyloid fiber formation",1,89,0.0055128840436075325,0.01099537619673674,0.014709674991479016,1,33,0.0020796571716662467,9606,Homo sapiens,"furin","","R-HSA-5693081"
R-HSA-73857,"RNA Polymerase II Transcription",2,1715,0.10623141724479683,0.011285114009838115,0.014709674991479016,2,940,0.05923871943534157,9606,Homo sapiens,"furin","","R-HSA-9733203;R-HSA-9736953"
R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",1,95,0.005884539147670962,0.011734450494361393,0.014709674991479016,9,50,0.003150995714645828,9606,Homo sapiens,"furin","","R-HSA-163843;R-HSA-159728;R-HSA-163798;R-HSA-159796;R-HSA-159733;R-HSA-159771;R-HSA-159868;R-HSA-6807224;R-HSA-159773"
R-HSA-9772573,"Late SARS-CoV-2 Infection Events",1,102,0.006318136769078295,0.012596354685923905,0.014709674991479016,1,69,0.0043483740862112425,9606,Homo sapiens,"furin","","R-HSA-9769949"
R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",1,102,0.006318136769078295,0.012596354685923905,0.014709674991479016,1,86,0.005419712629190825,9606,Homo sapiens,"furin","","R-HSA-6784628"
R-HSA-74160,"Gene expression (Transcription)",2,1958,0.12128344895936571,0.014709674991479016,0.014709674991479016,2,1139,0.07177968237963196,9606,Homo sapiens,"furin","","R-HSA-9733203;R-HSA-9736953"
R-HSA-1912422,"Pre-NOTCH Expression and Processing",1,125,0.007742814667988107,0.015425678156993361,0.015425678156993361,2,47,0.0029619359717670784,9606,Homo sapiens,"furin","","R-HSA-1912372;R-HSA-1912369"
R-HSA-6809371,"Formation of the cornified envelope",1,138,0.00854806739345887,0.017023065330754705,0.017023065330754705,1,27,0.0017015376859087473,9606,Homo sapiens,"furin","","R-HSA-8849797"
R-HSA-1474228,"Degradation of the extracellular matrix",1,148,0.009167492566897919,0.018250942213831833,0.018250942213831833,4,105,0.006617091000756239,9606,Homo sapiens,"furin","","R-HSA-2172405;R-HSA-2471842;R-HSA-1602466;R-HSA-1602484"
R-HSA-9820952,"Respiratory Syncytial Virus Infection Pathway",1,154,0.009539147670961349,0.018987300003634244,0.018987300003634244,2,101,0.0063650113435845725,9606,Homo sapiens,"furin","","R-HSA-9829200;R-HSA-9837707"
R-HSA-162599,"Late Phase of HIV Life Cycle",1,161,0.009972745292368681,0.019846034936070955,0.019846034936070955,1,78,0.004915553314847491,9606,Homo sapiens,"furin","","R-HSA-171288"
R-HSA-166520,"Signaling by NTRKs",1,166,0.010282457879088207,0.020459186818141184,0.020459186818141184,1,164,0.010335265944038316,9606,Homo sapiens,"furin","","R-HSA-187020"
R-HSA-9679191,"Potential therapeutics for SARS",1,168,0.010406342913776016,0.02070439385471301,0.02070439385471301,1,36,0.002268716914544996,9606,Homo sapiens,"furin","","R-HSA-9683546"
R-HSA-162587,"HIV Life Cycle",1,176,0.010901883052527254,0.021684915050963594,0.021684915050963594,1,117,0.007373329972271238,9606,Homo sapiens,"furin","","R-HSA-171288"
R-HSA-9664433,"Leishmania parasite growth and survival",1,192,0.011892963330029732,0.023644484083290118,0.023644484083290118,1,40,0.0025207965717166624,9606,Homo sapiens,"furin","","R-HSA-9662786"
R-HSA-9662851,"Anti-inflammatory response favouring Leishmania parasite infection",1,192,0.011892963330029732,0.023644484083290118,0.023644484083290118,1,40,0.0025207965717166624,9606,Homo sapiens,"furin","","R-HSA-9662786"
R-HSA-1169410,"Antimicrobial mechanism of IFN-stimulated genes",1,192,0.011892963330029732,0.023644484083290118,0.023644484083290118,1,86,0.005419712629190825,9606,Homo sapiens,"furin","","R-HSA-9954252"
R-HSA-9764274,"Regulation of Expression and Function of Type I Classical Cadherins",1,192,0.011892963330029732,0.023644484083290118,0.023644484083290118,1,92,0.005797832114948324,9606,Homo sapiens,"furin","","R-HSA-9816275"
R-HSA-9764265,"Regulation of CDH1 Expression and Function",1,192,0.011892963330029732,0.023644484083290118,0.023644484083290118,1,92,0.005797832114948324,9606,Homo sapiens,"furin","","R-HSA-9816275"
