Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-390651,"Dopamine receptors",1,5,4.12847824291966E-4,4.12847824291962E-4,0.002477086945751772,2,4,2.583812415218655E-4,9606,Homo sapiens,"DRD2","P14416","R-HSA-9654054;R-HSA-9656244"
R-HSA-375280,"Amine ligand-binding receptors",1,43,0.0035504912889109076,0.0035504912889109397,0.010651473866732819,2,36,0.00232543117369679,9606,Homo sapiens,"DRD2","P14416","R-HSA-9654054;R-HSA-9656244"
R-HSA-373076,"Class A/1 (Rhodopsin-like receptors)",1,335,0.02766080422756172,0.027660804227561675,0.03897283461316159,2,187,0.012079323041147214,9606,Homo sapiens,"DRD2","P14416","R-HSA-9654054;R-HSA-9656244"
R-HSA-500792,"GPCR ligand binding",1,472,0.03897283461316159,0.03897283461316159,0.03897283461316159,2,219,0.014146372973322137,9606,Homo sapiens,"DRD2","P14416","R-HSA-9654054;R-HSA-9656244"
R-HSA-372790,"Signaling by GPCR",1,715,0.05903723887375113,0.05903723887375112,0.05903723887375112,2,394,0.02545055228990375,9606,Homo sapiens,"DRD2","P14416","R-HSA-9654054;R-HSA-9656244"
R-HSA-162582,"Signal Transduction",1,2614,0.2158368425398398,0.2158368425398398,0.2158368425398398,2,2576,0.1663975195400814,9606,Homo sapiens,"DRD2","P14416","R-HSA-9654054;R-HSA-9656244"
