hsa04015  	Rap1 signaling pathway
hsa04024  	cAMP signaling pathway
hsa04080  	Neuroactive ligand-receptor interaction
hsa04081  	Hormone signaling
hsa04082  	Neuroactive ligand signaling
hsa04540  	Gap junction
hsa04728  	Dopaminergic synapse
hsa05012  	Parkinson disease
hsa05030  	Cocaine addiction
hsa05034  	Alcoholism
