Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-162587,"HIV Life Cycle",1,176,0.010901883052527254,0.021684915050963594,0.021684915050963594,30,117,0.007373329972271238,9606,Homo sapiens,"PPIA","","R-HSA-8951690;R-HSA-9697051;R-HSA-173642;R-HSA-173771;R-HSA-182795;R-HSA-182859;R-HSA-173769;R-HSA-3159227;R-HSA-164503;R-HSA-164500;R-HSA-164507;R-HSA-164504;R-HSA-164505;R-HSA-164510;R-HSA-182876;R-HSA-164508;R-HSA-164509;R-HSA-164515;R-HSA-164512;R-HSA-164513;R-HSA-164519;R-HSA-164520;R-HSA-164521;R-HSA-164527;R-HSA-164524;R-HSA-164528;R-HSA-173111;R-HSA-173115;R-HSA-3139027;R-HSA-3149454"
R-HSA-983705,"Signaling by the B Cell Receptor (BCR)",1,176,0.010901883052527254,0.021684915050963594,0.021684915050963594,1,45,0.002835896143181245,9606,Homo sapiens,"PPIA","","R-HSA-2025882"
R-HSA-9678108,"SARS-CoV-1 Infection",1,194,0.012016848364717543,0.023889292084814384,0.023889292084814384,1,159,0.010020166372573733,9606,Homo sapiens,"PPIA","","R-HSA-9728804"
R-HSA-168256,"Immune System",2,2800,0.1734390485629336,0.03008110356641558,0.03008110356641558,4,1822,0.11482228384169398,9606,Homo sapiens,"PPIA","","R-HSA-8950328;R-HSA-2025882;R-HSA-6800434;R-HSA-6798748"
R-HSA-162906,"HIV Infection",1,248,0.015361744301288404,0.03048750541459877,0.03048750541459877,32,160,0.01008318628686665,9606,Homo sapiens,"PPIA","","R-HSA-8951690;R-HSA-9697051;R-HSA-173642;R-HSA-173771;R-HSA-182795;R-HSA-182859;R-HSA-173769;R-HSA-3159227;R-HSA-164503;R-HSA-164500;R-HSA-180634;R-HSA-164507;R-HSA-164504;R-HSA-180632;R-HSA-164505;R-HSA-164510;R-HSA-182876;R-HSA-164508;R-HSA-164509;R-HSA-164515;R-HSA-164512;R-HSA-164513;R-HSA-164519;R-HSA-164520;R-HSA-164521;R-HSA-164527;R-HSA-164524;R-HSA-164528;R-HSA-173111;R-HSA-173115;R-HSA-3139027;R-HSA-3149454"
R-HSA-202733,"Cell surface interactions at the vascular wall",1,257,0.01591922695738355,0.03158503212784647,0.03158503212784647,1,65,0.004096294429039577,9606,Homo sapiens,"PPIA","","R-HSA-204485"
R-HSA-76002,"Platelet activation, signaling and aggregation",1,294,0.018211100099108028,0.036090556031396215,0.036090556031396215,1,119,0.00749936980085707,9606,Homo sapiens,"PPIA","","R-HSA-482775"
R-HSA-6798695,"Neutrophil degranulation",1,478,0.02960852329038652,0.05834038192933577,0.05834038192933577,2,10,6.301991429291656E-4,9606,Homo sapiens,"PPIA","","R-HSA-6800434;R-HSA-6798748"
R-HSA-9679506,"SARS-CoV Infections",1,576,0.035678889990089196,0.0700847967892535,0.0700847967892535,1,402,0.025334005545752457,9606,Homo sapiens,"PPIA","","R-HSA-9728804"
R-HSA-109582,"Hemostasis",1,805,0.04986372646184341,0.0972410617070254,0.0972410617070254,2,342,0.021552810688177465,9606,Homo sapiens,"PPIA","","R-HSA-482775;R-HSA-204485"
R-HSA-1280218,"Adaptive Immune System",1,1067,0.06609266600594649,0.12781709151211929,0.12781709151211929,1,325,0.020481472145197882,9606,Homo sapiens,"PPIA","","R-HSA-2025882"
R-HSA-168249,"Innate Immune System",1,1351,0.08368434093161546,0.1603656129460721,0.1603656129460721,2,762,0.04802117469120242,9606,Homo sapiens,"PPIA","","R-HSA-6800434;R-HSA-6798748"
R-HSA-9824446,"Viral Infection Pathways",1,1404,0.08696729435084243,0.16637127841497867,0.16637127841497867,33,897,0.056528863120746155,9606,Homo sapiens,"PPIA","","R-HSA-8951690;R-HSA-9697051;R-HSA-173642;R-HSA-173771;R-HSA-182795;R-HSA-182859;R-HSA-173769;R-HSA-3159227;R-HSA-164503;R-HSA-164500;R-HSA-180634;R-HSA-164507;R-HSA-164504;R-HSA-180632;R-HSA-164505;R-HSA-164510;R-HSA-182876;R-HSA-164508;R-HSA-164509;R-HSA-164515;R-HSA-164512;R-HSA-164513;R-HSA-164519;R-HSA-164520;R-HSA-164521;R-HSA-164527;R-HSA-164524;R-HSA-9728804;R-HSA-164528;R-HSA-173111;R-HSA-173115;R-HSA-3139027;R-HSA-3149454"
R-HSA-5663205,"Infectious disease",1,1962,0.12153121902874132,0.2282926008588707,0.2282926008588707,33,1225,0.0771993950088228,9606,Homo sapiens,"PPIA","","R-HSA-8951690;R-HSA-9697051;R-HSA-173642;R-HSA-173771;R-HSA-182795;R-HSA-182859;R-HSA-173769;R-HSA-3159227;R-HSA-164503;R-HSA-164500;R-HSA-180634;R-HSA-164507;R-HSA-164504;R-HSA-180632;R-HSA-164505;R-HSA-164510;R-HSA-182876;R-HSA-164508;R-HSA-164509;R-HSA-164515;R-HSA-164512;R-HSA-164513;R-HSA-164519;R-HSA-164520;R-HSA-164521;R-HSA-164527;R-HSA-164524;R-HSA-9728804;R-HSA-164528;R-HSA-173111;R-HSA-173115;R-HSA-3139027;R-HSA-3149454"
R-HSA-1643685,"Disease",1,3093,0.1915882061446977,0.3464703715556523,0.3464703715556523,33,2167,0.13656415427275018,9606,Homo sapiens,"PPIA","","R-HSA-8951690;R-HSA-9697051;R-HSA-173642;R-HSA-173771;R-HSA-182795;R-HSA-182859;R-HSA-173769;R-HSA-3159227;R-HSA-164503;R-HSA-164500;R-HSA-180634;R-HSA-164507;R-HSA-164504;R-HSA-180632;R-HSA-164505;R-HSA-164510;R-HSA-182876;R-HSA-164508;R-HSA-164509;R-HSA-164515;R-HSA-164512;R-HSA-164513;R-HSA-164519;R-HSA-164520;R-HSA-164521;R-HSA-164527;R-HSA-164524;R-HSA-9728804;R-HSA-164528;R-HSA-173111;R-HSA-173115;R-HSA-3139027;R-HSA-3149454"
