hsa04020  	Calcium signaling pathway
hsa04024  	cAMP signaling pathway
hsa04080  	Neuroactive ligand-receptor interaction
hsa04082  	Neuroactive ligand signaling
hsa04151  	PI3K-Akt signaling pathway
hsa04725  	Cholinergic synapse
hsa04810  	Regulation of actin cytoskeleton
hsa05010  	Alzheimer disease
hsa05022  	Pathways of neurodegeneration - multiple diseases
