Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-451308,"Activation of Ca-permeable Kainate Receptor",1,10,8.239947264337508E-4,8.239947264337966E-4,0.0024719841793012787,2,2,1.2802458071949814E-4,9606,Homo sapiens,"grik3","Q13003","R-HSA-451283;R-HSA-451311"
R-HSA-451306,"Ionotropic activity of kainate receptors",1,10,8.239947264337508E-4,8.239947264337966E-4,0.0024719841793012787,2,4,2.560491614389963E-4,9606,Homo sapiens,"grik3","Q13003","R-HSA-451283;R-HSA-451311"
R-HSA-500657,"Presynaptic function of Kainate receptors",1,21,0.0017303889255108767,0.0017303889255109173,0.0024719841793012787,2,2,1.2802458071949814E-4,9606,Homo sapiens,"grik3","Q13003","R-HSA-500708;R-HSA-500717"
R-HSA-451326,"Activation of kainate receptors upon glutamate binding",1,30,0.0024719841793012527,0.0024719841793012787,0.0024719841793012787,4,6,3.8407374215849446E-4,9606,Homo sapiens,"grik3","Q13003","R-HSA-500708;R-HSA-451283;R-HSA-451311;R-HSA-500717"
R-HSA-112314,"Neurotransmitter receptors and postsynaptic signal transmission",1,208,0.017139090309822018,0.01713909030982197,0.01713909030982197,4,110,0.007041351939572398,9606,Homo sapiens,"grik3","Q13003","R-HSA-500708;R-HSA-451283;R-HSA-451311;R-HSA-500717"
R-HSA-112315,"Transmission across Chemical Synapses",1,273,0.022495056031641397,0.02249505603164137,0.02249505603164137,4,162,0.01036999103827935,9606,Homo sapiens,"grik3","Q13003","R-HSA-500708;R-HSA-451283;R-HSA-451311;R-HSA-500717"
R-HSA-112316,"Neuronal System",1,419,0.03452537903757416,0.03452537903757413,0.03452537903757413,4,216,0.0138266547177058,9606,Homo sapiens,"grik3","Q13003","R-HSA-500708;R-HSA-451283;R-HSA-451311;R-HSA-500717"
