Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1963642,"PI3K events in ERBB2 signaling",2,22,0.0013627353815659068,1.1122051349787831E-5,1.1122051349787831E-5,2,7,4.411394000504159E-4,9606,Homo sapiens,"ERBB4","","R-HSA-1306979;R-HSA-1250346"
R-HSA-112314,"Neurotransmitter receptors and postsynaptic signal transmission",3,232,0.014370664023785926,1.1743140758690984E-5,1.1743140758690984E-5,1,110,0.0069321905722208215,9606,Homo sapiens,"ERBB4","","R-HSA-9612085"
R-HSA-5673001,"RAF/MAP kinase cascade",3,309,0.0191402378592666,2.7645371314610756E-5,2.7645371314610756E-5,1,75,0.004726493571968742,9606,Homo sapiens,"ERBB4","","R-HSA-5672965"
R-HSA-5684996,"MAPK1/MAPK3 signaling",3,316,0.019573835480673936,2.955731123499561E-5,2.955731123499561E-5,1,82,0.005167632972019158,9606,Homo sapiens,"ERBB4","","R-HSA-5672965"
R-HSA-112315,"Transmission across Chemical Synapses",3,343,0.021246283448959367,3.775137872963352E-5,3.775137872963352E-5,1,167,0.010524325686917066,9606,Homo sapiens,"ERBB4","","R-HSA-9612085"
R-HSA-5683057,"MAPK family signaling cascades",3,367,0.022732903865213084,4.6190887497910005E-5,4.6190887497910005E-5,1,122,0.00768842954373582,9606,Homo sapiens,"ERBB4","","R-HSA-5672965"
R-HSA-112316,"Neuronal System",3,489,0.030289890981169475,1.0863587841869471E-4,1.0863587841869471E-4,1,221,0.01392740105873456,9606,Homo sapiens,"ERBB4","","R-HSA-9612085"
R-HSA-5663202,"Diseases of signal transduction by growth factor receptors and second messengers",3,536,0.033201189296333006,1.427478819039374E-4,1.427478819039374E-4,13,516,0.03251827577514495,9606,Homo sapiens,"ERBB4","","R-HSA-9664976;R-HSA-9664567;R-HSA-9664983;R-HSA-9664950;R-HSA-9664991;R-HSA-2400009;R-HSA-9665699;R-HSA-9665697;R-HSA-9665701;R-HSA-9665700;R-HSA-9665705;R-HSA-9665709;R-HSA-9664588"
R-HSA-2219530,"Constitutive Signaling by Aberrant PI3K in Cancer",2,104,0.006442021803766105,2.4686430324338815E-4,2.4686430324338815E-4,1,2,1.2603982858583313E-4,9606,Homo sapiens,"ERBB4","","R-HSA-2400009"
R-HSA-2219528,"PI3K/AKT Signaling in Cancer",2,132,0.00817641228939544,3.967627273291363E-4,3.967627273291363E-4,1,21,0.0013234182001512478,9606,Homo sapiens,"ERBB4","","R-HSA-2400009"
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",2,137,0.008486124876114965,4.2721247087529335E-4,4.2721247087529335E-4,1,7,4.411394000504159E-4,9606,Homo sapiens,"ERBB4","","R-HSA-2316434"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",2,145,0.008981665014866204,4.782449323780247E-4,4.782449323780247E-4,1,10,6.301991429291656E-4,9606,Homo sapiens,"ERBB4","","R-HSA-2316434"
R-HSA-9018519,"Estrogen-dependent gene expression",2,153,0.009477205153617442,5.321189619100775E-4,5.321189619100775E-4,5,66,0.004159314343332493,9606,Homo sapiens,"ERBB4","","R-HSA-1254386;R-HSA-8954207;R-HSA-8954208;R-HSA-1254392;R-HSA-8954199"
R-HSA-162582,"Signal Transduction",4,3051,0.18898662041625372,0.0012756285626894792,0.0012756285626894792,72,2584,0.1628434585328964,9606,Homo sapiens,"ERBB4","","R-HSA-1254291;R-HSA-1250195;R-HSA-1254290;R-HSA-8848005;R-HSA-6785636;R-HSA-9612440;R-HSA-1251992;R-HSA-1250463;R-HSA-1251997;R-HSA-9612444;R-HSA-9612445;R-HSA-9612672;R-HSA-6785648;R-HSA-1250315;R-HSA-1254285;R-HSA-1963581;R-HSA-1250353;R-HSA-1963582;R-HSA-9612593;R-HSA-1250486;R-HSA-1250357;R-HSA-1253300;R-HSA-1963578;R-HSA-9612219;R-HSA-1253282;R-HSA-2316434;R-HSA-9612448;R-HSA-1963563;R-HSA-1250346;R-HSA-8863804;R-HSA-1236398;R-HSA-1252013;R-HSA-1250220;R-HSA-1250348;R-HSA-8954185;R-HSA-9612243;R-HSA-9612246;R-HSA-1306969;R-HSA-8954179;R-HSA-1253343;R-HSA-9612255;R-HSA-9612639;R-HSA-8954182;R-HSA-1977296;R-HSA-1306972;R-HSA-1250370;R-HSA-5672965;R-HSA-1253319;R-HSA-8954207;R-HSA-1963589;R-HSA-1253321;R-HSA-1973956;R-HSA-1250383;R-HSA-1253325;R-HSA-1963586;R-HSA-8954199;R-HSA-1250380;R-HSA-1254386;R-HSA-9612278;R-HSA-9612277;R-HSA-8954208;R-HSA-1254392;R-HSA-9612671;R-HSA-1306979;R-HSA-9612257;R-HSA-1977958;R-HSA-1254251;R-HSA-8954224;R-HSA-1977959;R-HSA-1254248;R-HSA-1254376;R-HSA-8847995"
R-HSA-8939211,"ESR-mediated signaling",2,257,0.01591922695738355,0.001488449157794891,0.001488449157794891,5,114,0.007184270229392488,9606,Homo sapiens,"ERBB4","","R-HSA-1254386;R-HSA-8954207;R-HSA-8954208;R-HSA-1254392;R-HSA-8954199"
R-HSA-1257604,"PIP3 activates AKT signaling",2,315,0.01951189296333003,0.002225291030056753,0.002225291030056753,1,88,0.005545752457776657,9606,Homo sapiens,"ERBB4","","R-HSA-2316434"
R-HSA-9006925,"Intracellular signaling by second messengers",2,363,0.022485133795837463,0.002943309793141169,0.002943309793141169,1,116,0.007310310057978321,9606,Homo sapiens,"ERBB4","","R-HSA-2316434"
R-HSA-9006931,"Signaling by Nuclear Receptors",2,383,0.02372398414271556,0.003271094794767948,0.003271094794767948,5,195,0.01228888328711873,9606,Homo sapiens,"ERBB4","","R-HSA-1254386;R-HSA-8954207;R-HSA-8954208;R-HSA-1254392;R-HSA-8954199"
R-HSA-1643685,"Disease",3,3093,0.1915882061446977,0.02408777771636661,0.02408777771636661,13,2167,0.13656415427275018,9606,Homo sapiens,"ERBB4","","R-HSA-9664976;R-HSA-9664567;R-HSA-9664983;R-HSA-9664950;R-HSA-9664991;R-HSA-2400009;R-HSA-9665699;R-HSA-9665697;R-HSA-9665701;R-HSA-9665700;R-HSA-9665705;R-HSA-9665709;R-HSA-9664588"
