Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-70263,"Gluconeogenesis",1,26,0.0021468086863182232,0.0021468086863182245,0.007431260837255427,1,16,0.001033524966087462,9606,Homo sapiens,"GAPDH","P04406","R-HSA-70482"
R-HSA-70171,"Glycolysis",1,79,0.006522995623813062,0.006522995623813088,0.007431260837255427,1,23,0.0014856921387507267,9606,Homo sapiens,"GAPDH","P04406","R-HSA-70449"
R-HSA-70326,"Glucose metabolism",1,90,0.007431260837255388,0.007431260837255427,0.007431260837255427,2,39,0.0025192171048381887,9606,Homo sapiens,"GAPDH","P04406","R-HSA-70449;R-HSA-70482"
R-HSA-71387,"Metabolism of carbohydrates and carbohydrate derivatives",1,304,0.02510114771695153,0.02510114771695149,0.02510114771695149,2,237,0.015309088560170532,9606,Homo sapiens,"GAPDH","P04406","R-HSA-70449;R-HSA-70482"
R-HSA-1430728,"Metabolism",1,2216,0.18297415572619932,0.18297415572619935,0.18297415572619935,2,2135,0.13791098766229573,9606,Homo sapiens,"GAPDH","P04406","R-HSA-70449;R-HSA-70482"
