Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8857538,"PTK6 promotes HIF1A stabilization",1,6,4.936240230357877E-4,4.936240230357658E-4,0.001974496092143063,4,6,3.818494240437854E-4,9606,Homo sapiens,"LRRK2","Q5S007","R-HSA-8857583;R-HSA-8857565;R-HSA-9634702;R-HSA-8857577"
R-HSA-9006927,"Signaling by Non-Receptor Tyrosine Kinases",1,58,0.004771698889345948,0.004771698889345921,0.004771698889345921,4,53,0.0033730032457201043,9606,Homo sapiens,"LRRK2","Q5S007","R-HSA-8857583;R-HSA-8857565;R-HSA-9634702;R-HSA-8857577"
R-HSA-8848021,"Signaling by PTK6",1,58,0.004771698889345948,0.004771698889345921,0.004771698889345921,4,53,0.0033730032457201043,9606,Homo sapiens,"LRRK2","Q5S007","R-HSA-8857583;R-HSA-8857565;R-HSA-9634702;R-HSA-8857577"
R-HSA-162582,"Signal Transduction",1,2616,0.21522007404360347,0.21522007404360344,0.21522007404360344,4,2581,0.16425889390950169,9606,Homo sapiens,"LRRK2","Q5S007","R-HSA-8857583;R-HSA-8857565;R-HSA-9634702;R-HSA-8857577"
