"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GAPDH",0,-0.605956428904771,0.409,0.535,0
"PTGDS",0,-1.00489242277608,0.169,0.286,0
"GLUL",0,-1.50102742816081,0.096,0.201,0
"RASGEF1B",0,-0.886147880114809,0.603,0.661,0
"XIST",0,-7.01648918073762,0.001,0.057,0
"LINGO1",0,-0.760482409499369,0.747,0.786,0
"SLC26A3",1.43190994795873e-317,-0.898874823042386,0.533,0.606,2.19164045484457e-314
"ACTB",2.95389418385395e-303,-0.537565522194219,0.507,0.607,3.9560027857264e-300
"AC016831.7",1.17290637900385e-302,0.52505785874282,0.535,0.425,1.39627988273859e-299
"RBFOX1",4.55660853623972e-291,0.278256904469352,0.839,0.781,4.88195038572724e-288
"APOE",2.57272216592215e-290,-1.86989021499769,0.043,0.111,2.50583138960817e-287
"CTD-2537O9.1",2.58481237281242e-280,0.527759373017386,0.566,0.468,2.30780664685936e-277
"MEG3",2.5809216287768e-279,0.336191185672483,0.864,0.824,2.12707648697805e-276
"CST3",5.21183911469935e-264,-1.37297578651145,0.097,0.18,3.98854601963491e-261
"PHF11",4.53734354576313e-259,0.700211747543664,0.306,0.207,3.24087324995374e-256
"TUBB4A",2.49615728478822e-254,-1.01235491328599,0.136,0.226,1.67148932182631e-251
"KCNIP4",2.67319099216051e-253,0.359914970130127,0.804,0.748,1.68473931117693e-250
"RGS7",6.22041499633134e-241,0.329986536197964,0.726,0.642,3.70252923726078e-238
"CKB",4.93984982954832e-236,-0.499062198606634,0.52,0.602,2.78555531967267e-233
"DLGAP1",6.55947056998797e-231,0.260395507925457,0.804,0.729,3.51390838434256e-228
"CLU",9.50588572407664e-229,-0.793835472065988,0.357,0.454,4.84981236417891e-226
"ANKS1B",1.69731416076856e-224,0.269606256820782,0.784,0.714,8.2659199629429e-222
"FGF14",6.34181332096477e-220,0.256627025193941,0.787,0.713,2.95418208351376e-217
"NRG3",3.04319972230962e-219,0.238578185266284,0.812,0.762,1.35853507603439e-216
"FRMD4A",3.31677713148945e-216,0.260387973790089,0.755,0.678,1.42143800747112e-213
"IQCJ-SCHIP1",3.31429291411652e-214,0.420030581026674,0.621,0.544,1.36574362622478e-211
"LINGO2",1.01194651282574e-208,0.37144859670269,0.606,0.514,4.01555368089442e-206
"SLC1A3",5.00928671570601e-207,-1.00513622681836,0.066,0.13,1.91676778114551e-204
"RGS6",1.34368672692331e-204,0.39791505657006,0.531,0.438,4.96422744560563e-202
"TENM2",5.09657492048614e-203,0.332070334326636,0.712,0.636,1.82015678993628e-200
"FGFR3",4.86775661175588e-201,-1.48566681794704,0.035,0.086,1.68235949478557e-198
"PDXDC1",3.23666826562131e-199,0.368654777512462,0.524,0.434,1.08367699368334e-196
"TMEM178B",9.92392156889131e-198,0.3334289628471,0.577,0.488,3.22196653603338e-195
"SLC1A2",2.70547965338991e-197,-0.998985443428749,0.253,0.341,8.5254438254175e-195
"FAM19A1",4.46416314355239e-197,0.475847258326967,0.499,0.414,1.36654411200058e-194
"R3HDM1",3.75108043926537e-196,0.337548532931175,0.676,0.595,1.11636321739692e-193
"KALRN",3.82485425555641e-194,0.295731239527597,0.684,0.6,1.10755374308193e-191
"PHACTR1",1.61626850850972e-191,0.281843907963006,0.715,0.629,4.55702652636136e-189
"DLG2",1.24852271630931e-190,0.209464309059215,0.849,0.808,3.42991599552254e-188
"LRRTM4",4.6680974584289e-189,0.303400032287341,0.768,0.7,1.25034990424018e-186
"NRXN3",1.26689740032828e-188,0.226506262750529,0.836,0.78,3.31061920661395e-186
"HS6ST3",2.9926729359276e-183,0.362815270917555,0.627,0.545,7.63416615131628e-181
"FAM155A",4.26473961635449e-183,0.228688294348105,0.804,0.746,1.06261442440981e-180
"MSRA",1.82276897623989e-182,0.333536998162787,0.575,0.49,4.43844245714412e-180
"TUBB",4.2182945381547e-182,-0.63079194079441,0.158,0.237,1.00432905959532e-179
"DGKI",1.40277592738914e-181,0.321728385235182,0.593,0.503,3.26724810566245e-179
"PHYHIP",6.05460417944044e-181,-0.743637192436138,0.313,0.395,1.38019211018138e-178
"ERICH1-AS1",9.6641735406757e-180,0.405034159372645,0.448,0.362,2.15712406905832e-177
"KIRREL3",1.56990266859067e-179,0.3527083425245,0.474,0.385,3.43264024311846e-177
"DGKB",4.56726714219615e-179,0.356828542750801,0.595,0.509,9.78674003229792e-177
"CSMD1",3.47896202438865e-177,0.227517186907774,0.803,0.742,7.30854884888235e-175
"RPL7",1.1012769644004e-176,0.701721614812422,0.355,0.272,2.26905411472805e-174
"OPCML",1.1322047222809e-176,0.235777093112747,0.786,0.715,2.28876252726747e-174
"CRLF3",9.99494016258681e-176,0.399476890585428,0.432,0.344,1.98307016485102e-173
"TRIM9",2.53381994385251e-173,0.280082332218846,0.645,0.569,4.93588125062469e-171
"ST6GALNAC5",9.24983201912443e-172,0.387977889659111,0.502,0.417,1.76969107594463e-169
"PDE4D",3.3061586691532e-171,0.267626505664896,0.765,0.703,6.21441824233462e-169
"KANSL1",8.54382731607321e-171,0.343505649848392,0.493,0.406,1.57825113559325e-168
"TDG",1.84309399530447e-170,0.55721164090332,0.34,0.258,3.34693373994782e-168
"RPL21",7.50639608762176e-170,0.639874184500567,0.282,0.204,1.34039212804633e-167
"SNAP25-AS1",2.21887148348037e-167,0.382523377730072,0.506,0.42,3.89721132360798e-165
"STXBP5L",3.17920173347476e-164,0.270339047235112,0.68,0.6,5.49386570523365e-162
"FTX",6.22685168681276e-164,0.222245836826423,0.75,0.68,1.05896014242082e-161
"FAIM2",5.07862298723688e-162,-0.522473053972951,0.378,0.456,8.50193229457125e-160
"NDRG2",2.99976138478963e-161,-0.933774586952501,0.097,0.161,4.94452976563632e-159
"SNCB",1.2295140610076e-160,-0.57582874933592,0.307,0.387,1.99591115903567e-158
"PDE5A",2.51569952783625e-158,0.426635511880691,0.459,0.378,4.02286637928919e-156
"ADGRB3",7.09493478664435e-158,0.203141888955419,0.829,0.791,1.11786957800158e-155
"LRFN5",3.38912238828019e-156,0.311327437270762,0.604,0.525,5.262472067831e-154
"DCLK1",1.27141083899239e-154,0.243026106941869,0.702,0.622,1.94598510413779e-152
"ALDOA",1.03338113626198e-152,-0.415871637992627,0.315,0.399,1.55938668928322e-150
"SYN3",2.40514048152488e-152,0.435083159957524,0.399,0.32,3.57898265542466e-150
"LY86-AS1",2.50801028264095e-152,0.584257033540903,0.3,0.224,3.68093454359112e-150
"TOM1L1",6.71773137749086e-152,0.507894458661977,0.31,0.233,9.72618567276177e-150
"TUBA4A",1.05142506932019e-151,-0.550280919830076,0.169,0.243,1.5019957590262e-149
"EIF5A",1.84045278520055e-151,-0.840097472615477,0.102,0.164,2.59455409745246e-149
"KCNQ3",1.92657512032872e-149,0.278519417565572,0.573,0.491,2.68069166742881e-147
"LARGE",3.50478168588607e-149,0.27972705932778,0.555,0.47,4.81413217725427e-147
"UBC",3.09758379717833e-148,-0.547574690945976,0.223,0.302,4.20095098771755e-146
"PEBP1",3.46486954512639e-148,-0.37840356723001,0.408,0.485,4.64032653831052e-146
"RYR2",5.7545388322842e-148,0.270649155897932,0.676,0.599,7.61162087025838e-146
"PDZD2",3.17165665207849e-146,0.388493765937685,0.474,0.395,4.14404016711817e-144
"LDB2",3.74446880633312e-146,0.288158926315918,0.612,0.533,4.83352274591001e-144
"TUBB4B",3.02561680704131e-145,-0.619169798592653,0.124,0.189,3.85910219888579e-143
"LINC01250",1.7236383297977e-144,0.457666592952967,0.351,0.274,2.172595419465e-142
"DSCAM",2.04093923232309e-144,0.192346123709132,0.642,0.561,2.54263057384995e-142
"CHRM3",5.84816986872498e-144,0.267063803264442,0.611,0.53,7.20198758316315e-142
"GRIN2A",8.96929222394793e-143,0.248881161536225,0.662,0.581,1.09201132826566e-140
"MAP2K1",1.88664618191805e-141,0.335963405477434,0.464,0.387,2.27118283068202e-139
"TMEM132D",1.02510377859925e-140,0.296265113241686,0.545,0.469,1.22032909821249e-138
"PTMA",1.27020307138339e-140,-0.504996930437691,0.329,0.406,1.49548963811007e-138
"AC016716.2",7.31537551328822e-140,0.434525933589631,0.301,0.227,8.51923187493152e-138
"KCNQ5",1.02670808397019e-139,0.252648636631059,0.711,0.632,1.17665451206224e-137
"PLEKHA5",1.03234575446939e-139,0.266353927786535,0.614,0.537,1.17665451206224e-137
"PDE4DIP",4.94406221097047e-139,0.23495432262922,0.632,0.557,5.57586131877239e-137
"AGBL4",5.73109544085215e-139,0.24410531516859,0.657,0.58,6.39614130763437e-137
"LINC-PINT",1.86453951178564e-138,0.267890748340325,0.571,0.496,2.05945116796612e-136
"RALYL",3.14221456621765e-138,0.275410005097874,0.668,0.593,3.43527416963835e-136
"CACNA2D3",4.23267297692307e-138,0.283394611410802,0.558,0.483,4.58069275502564e-136
"HECW1",5.18572335836184e-138,0.312063885770371,0.498,0.418,5.55598400614887e-136
"MTUS2",6.95499599322745e-138,0.304368851782809,0.534,0.455,7.37780466053851e-136
"KCNB2",1.71874569058363e-137,0.384762799434977,0.448,0.37,1.80535699303069e-135
"ERC2",2.62458529388283e-137,0.242396597840805,0.655,0.579,2.73007833385055e-135
"GABRB3",1.26643356833719e-136,0.282649708822796,0.569,0.491,1.30467012030429e-134
"MIAT",5.30034668567929e-136,0.427366763597978,0.387,0.311,5.40837279908265e-134
"ARL15",2.52538595486922e-135,0.306088910488201,0.505,0.427,2.55254576608196e-133
"SLC4A10",3.38093218539575e-135,0.259007221664999,0.635,0.555,3.38535583498412e-133
"OXR1",9.72042892870116e-135,0.226352117403665,0.742,0.665,9.6430255131578e-133
"TMEM108",1.38593429595394e-134,0.280903399309127,0.526,0.447,1.36228440796793e-132
