 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3594	 Carbonic anhydrase IX 
 2 	 CHEMBL2635	 Dual specificity protein phosphatase 3 
 3 	 CHEMBL3864	 Protein-tyrosine phosphatase 2C 
 4 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 5 	 CHEMBL205	 Carbonic anhydrase II 
 6 	 CHEMBL261	 Carbonic anhydrase I 
 7 	 CHEMBL3242	 Carbonic anhydrase XII 
 8 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 9 	 CHEMBL2745	 ATP-citrate synthase 
 10 	 CHEMBL3720	 ATP-citrate synthase 
 11 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 12 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 13 	 CHEMBL2219	 Protein-tyrosine phosphatase LC-PTP 
 14 	 CHEMBL242	 Estrogen receptor beta 
 15 	 CHEMBL5511	 Dual specificity protein phosphatase 6 
 16 	 CHEMBL2721	 Excitatory amino acid transporter 3 
 17 	 CHEMBL2145	 Kynurenine 3-monooxygenase 
 18 	 CHEMBL3457	 Kynurenine 3-monooxygenase 
 19 	 CHEMBL3965	 Leucine aminopeptidase 
 20 	 CHEMBL2718	 Metabotropic glutamate receptor 8 
