 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL261	 Carbonic anhydrase I 
 2 	 CHEMBL3510	 Carbonic anhydrase XIV 
 3 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 4 	 CHEMBL1835	 Thromboxane-A synthase 
 5 	 CHEMBL205	 Carbonic anhydrase II 
 6 	 CHEMBL3594	 Carbonic anhydrase IX 
 7 	 CHEMBL3242	 Carbonic anhydrase XII 
 8 	 CHEMBL2326	 Carbonic anhydrase VII 
 9 	 CHEMBL325	 Histone deacetylase 1 
 10 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 11 	 CHEMBL2622	 Aldose reductase 
 12 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 13 	 CHEMBL2372	 Catechol O-methyltransferase 
 14 	 CHEMBL1865	 Histone deacetylase 6 
 15 	 CHEMBL4789	 Carbonic anhydrase VA 
 16 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 17 	 CHEMBL3229	 Anandamide amidohydrolase 
 18 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 19 	 CHEMBL5857	 Trace amine-associated receptor 1 
 20 	 CHEMBL3402	 Alkaline phosphatase placental-like 
