 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2622	 Aldose reductase 
 2 	 CHEMBL3242	 Carbonic anhydrase XII 
 3 	 CHEMBL2326	 Carbonic anhydrase VII 
 4 	 CHEMBL1900	 Aldose reductase 
 5 	 CHEMBL2345	 Ribosomal protein S6 kinase alpha 3 
 6 	 CHEMBL205	 Carbonic anhydrase II 
 7 	 CHEMBL3729	 Carbonic anhydrase IV 
 8 	 CHEMBL1929	 Xanthine dehydrogenase 
 9 	 CHEMBL3594	 Carbonic anhydrase IX 
 10 	 CHEMBL261	 Carbonic anhydrase I 
 11 	 CHEMBL318	 Adenosine A1 receptor 
 12 	 CHEMBL220	 Acetylcholinesterase 
 13 	 CHEMBL267	 Tyrosine-protein kinase SRC 
 14 	 CHEMBL230	 Cyclooxygenase-2 
 15 	 CHEMBL1978	 Cytochrome P450 19A1 
 16 	 CHEMBL1250375	 NADPH oxidase 4 
 17 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 18 	 CHEMBL1827	 Phosphodiesterase 5A 
 19 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 20 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
