 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL5102	 Vanilloid receptor 
 2 	 CHEMBL4794	 Vanilloid receptor 
 3 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 4 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 5 	 CHEMBL210	 Beta-2 adrenergic receptor 
 6 	 CHEMBL206	 Estrogen receptor alpha 
 7 	 CHEMBL205	 Carbonic anhydrase II 
 8 	 CHEMBL242	 Estrogen receptor beta 
 9 	 CHEMBL4630	 Serine/threonine-protein kinase Chk1 
 10 	 CHEMBL246	 Beta-3 adrenergic receptor 
 11 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 12 	 CHEMBL261	 Carbonic anhydrase I 
 13 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 14 	 CHEMBL213	 Beta-1 adrenergic receptor 
 15 	 CHEMBL323	 Serotonin 2b (5-HT2b) receptor 
 16 	 CHEMBL3594	 Carbonic anhydrase IX 
 17 	 CHEMBL3242	 Carbonic anhydrase XII 
 18 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 19 	 CHEMBL253	 Cannabinoid CB2 receptor 
 20 	 CHEMBL4822	 Beta-secretase 1 
