Rank,ChEMBL ID,Common name,CHEMBL3687,CHEMBL229,B0ZBD8
17,CHEMBL3145,PI3-kinase p110-beta subunit,NA,NA,NA
18,CHEMBL4005,PI3-kinase p110-alpha subunit,NA,NA,NA
19,CHEMBL3142,DNA-dependent protein kinase,NA,NA,NA
20,CHEMBL217,Dopamine D2 receptor,NA,NA,NA
1,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
2,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
3,CHEMBL5287,Bile acid transporter,NA,NA,NA
4,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
5,CHEMBL6020,Bile salt export pump,NA,NA,NA
6,CHEMBL1795098,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,NA,NA,NA
7,CHEMBL1977,Vitamin D receptor,NA,NA,NA
8,CHEMBL4343,DNA polymerase beta,NA,NA,NA
9,CHEMBL5983,Aldo-keto reductase family 1 member B10,NA,NA,NA
10,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
11,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
12,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
13,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
14,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
15,CHEMBL2808,LXR-alpha,NA,NA,NA
16,CHEMBL2068,Ephrin type-A receptor 2,NA,NA,NA
17,CHEMBL3290,Ephrin type-B receptor 2,NA,NA,NA
18,CHEMBL3987,Ephrin type-A receptor 5,NA,NA,NA
19,CHEMBL3988,Ephrin type-A receptor 4,NA,NA,NA
20,CHEMBL4134,Ephrin type-A receptor 8,NA,NA,NA
1,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
2,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
3,CHEMBL5287,Bile acid transporter,NA,NA,NA
4,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
5,CHEMBL3746,11-beta-hydroxysteroid dehydrogenase 2,NA,NA,NA
6,CHEMBL1795098,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,NA,NA,NA
7,CHEMBL1977,Vitamin D receptor,NA,NA,NA
8,CHEMBL4343,DNA polymerase beta,NA,NA,NA
9,CHEMBL5983,Aldo-keto reductase family 1 member B10,NA,NA,NA
10,CHEMBL3072,Androgen Receptor,NA,NA,NA
11,CHEMBL2808,LXR-alpha,NA,NA,NA
12,CHEMBL5347,Glucose-6-phosphate 1-dehydrogenase,NA,NA,NA
13,CHEMBL2421,Corticosteroid binding globulin,NA,NA,NA
14,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
15,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
16,CHEMBL1994,Mineralocorticoid receptor,NA,NA,NA
17,CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,NA,NA,NA
18,CHEMBL1787,Steroid 5-alpha-reductase 1,NA,NA,NA
19,CHEMBL1856,Steroid 5-alpha-reductase 2,NA,NA,NA
20,CHEMBL1871,Androgen Receptor,NA,NA,NA
1,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
2,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
3,CHEMBL5287,Bile acid transporter,NA,NA,NA
4,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
5,CHEMBL4234,Estradiol 17-beta-dehydrogenase 3,NA,NA,NA
6,CHEMBL208,Progesterone receptor,NA,NA,NA
7,CHEMBL3305,Testis-specific androgen-binding protein,NA,NA,NA
8,CHEMBL1795098,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,NA,NA,NA
9,CHEMBL1977,Vitamin D receptor,NA,NA,NA
10,CHEMBL4343,DNA polymerase beta,NA,NA,NA
11,CHEMBL5983,Aldo-keto reductase family 1 member B10,NA,NA,NA
12,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
13,CHEMBL1741186,Nuclear receptor ROR-gamma,NA,NA,NA
14,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
15,CHEMBL5868,Nuclear receptor ROR-alpha,NA,NA,NA
16,CHEMBL1871,Androgen Receptor,NA,NA,NA
17,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
18,CHEMBL242,Estrogen receptor beta,NA,NA,NA
19,CHEMBL3072,Androgen Receptor,NA,NA,NA
20,CHEMBL228,Serotonin transporter,NA,NA,NA
1,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
2,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
3,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
4,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
5,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
6,CHEMBL5287,Bile acid transporter,NA,NA,NA
7,CHEMBL3775,Dual specificity phosphatase Cdc25A,NA,NA,NA
8,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
9,CHEMBL2808,LXR-alpha,NA,NA,NA
10,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
11,CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,NA,NA,NA
12,CHEMBL335,Protein-tyrosine phosphatase 1B,NA,NA,NA
13,CHEMBL1856,Steroid 5-alpha-reductase 2,NA,NA,NA
14,CHEMBL1871,Androgen Receptor,NA,NA,NA
15,CHEMBL1892,Glutamate carboxypeptidase II,NA,NA,NA
16,CHEMBL4804,Dual specificity phosphatase Cdc25B,NA,NA,NA
17,CHEMBL1787,Steroid 5-alpha-reductase 1,NA,NA,NA
18,CHEMBL3305,Testis-specific androgen-binding protein,NA,NA,NA
19,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
20,CHEMBL242,Estrogen receptor beta,NA,NA,NA
1,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
2,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
3,CHEMBL2808,LXR-alpha,NA,NA,NA
4,CHEMBL335,Protein-tyrosine phosphatase 1B,NA,NA,NA
5,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
6,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
7,CHEMBL1856,Steroid 5-alpha-reductase 2,NA,NA,NA
8,CHEMBL1787,Steroid 5-alpha-reductase 1,NA,NA,NA
9,CHEMBL5287,Bile acid transporter,NA,NA,NA
10,CHEMBL1977,Vitamin D receptor,NA,NA,NA
11,CHEMBL5347,Glucose-6-phosphate 1-dehydrogenase,NA,NA,NA
12,CHEMBL1871,Androgen Receptor,NA,NA,NA
13,CHEMBL3305,Testis-specific androgen-binding protein,NA,NA,NA
14,CHEMBL1741186,Nuclear receptor ROR-gamma,NA,NA,NA
15,CHEMBL3522,Cytochrome P450 17A1,NA,NA,NA
16,CHEMBL2933,Potassium-transporting ATPase alpha chain 2,NA,NA,NA
17,CHEMBL242,Estrogen receptor beta,NA,NA,NA
18,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
19,CHEMBL3072,Androgen Receptor,NA,NA,NA
20,CHEMBL1914,Butyrylcholinesterase,NA,NA,NA
1,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
2,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
3,CHEMBL5287,Bile acid transporter,NA,NA,NA
4,CHEMBL3775,Dual specificity phosphatase Cdc25A,NA,NA,NA
5,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
6,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
7,CHEMBL1856,Steroid 5-alpha-reductase 2,NA,NA,NA
8,CHEMBL335,Protein-tyrosine phosphatase 1B,NA,NA,NA
9,CHEMBL2808,LXR-alpha,NA,NA,NA
10,CHEMBL1787,Steroid 5-alpha-reductase 1,NA,NA,NA
11,CHEMBL5347,Glucose-6-phosphate 1-dehydrogenase,NA,NA,NA
12,CHEMBL4804,Dual specificity phosphatase Cdc25B,NA,NA,NA
13,CHEMBL1741186,Nuclear receptor ROR-gamma,NA,NA,NA
14,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
15,CHEMBL4343,DNA polymerase beta,NA,NA,NA
16,CHEMBL3522,Cytochrome P450 17A1,NA,NA,NA
17,CHEMBL5983,Aldo-keto reductase family 1 member B10,NA,NA,NA
18,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
19,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
20,CHEMBL3305,Testis-specific androgen-binding protein,NA,NA,NA
1,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
2,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
3,CHEMBL6020,Bile salt export pump,NA,NA,NA
4,CHEMBL5287,Bile acid transporter,NA,NA,NA
5,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
6,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
7,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
8,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
9,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
10,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
11,CHEMBL1795098,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,NA,NA,NA
12,CHEMBL1977,Vitamin D receptor,NA,NA,NA
13,CHEMBL4343,DNA polymerase beta,NA,NA,NA
14,CHEMBL5983,Aldo-keto reductase family 1 member B10,NA,NA,NA
15,CHEMBL3004,Multidrug resistance-associated protein 1,NA,NA,NA
16,CHEMBL2068,Ephrin type-A receptor 2,NA,NA,NA
17,CHEMBL3290,Ephrin type-B receptor 2,NA,NA,NA
18,CHEMBL3987,Ephrin type-A receptor 5,NA,NA,NA
19,CHEMBL3988,Ephrin type-A receptor 4,NA,NA,NA
20,CHEMBL4134,Ephrin type-A receptor 8,NA,NA,NA
1,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
2,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
3,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
4,CHEMBL6020,Bile salt export pump,NA,NA,NA
5,CHEMBL5287,Bile acid transporter,NA,NA,NA
6,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
7,CHEMBL208,Progesterone receptor,NA,NA,NA
8,CHEMBL332,Matrix metalloproteinase-1,NA,NA,NA
9,CHEMBL2808,LXR-alpha,NA,NA,NA
10,CHEMBL3004,Multidrug resistance-associated protein 1,NA,NA,NA
11,CHEMBL4005,PI3-kinase p110-alpha subunit,NA,NA,NA
12,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
13,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
14,CHEMBL3746,11-beta-hydroxysteroid dehydrogenase 2,NA,NA,NA
15,CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,NA,NA,NA
16,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
17,CHEMBL5549,Tubulin--tyrosine ligase,NA,NA,NA
18,CHEMBL2073676,Canalicular multispecific organic anion transporter 1,NA,NA,NA
19,CHEMBL1914,Butyrylcholinesterase,NA,NA,NA
20,CHEMBL2899,Brain adenylate cyclase 1,NA,NA,NA
1,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
2,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
3,CHEMBL6020,Bile salt export pump,NA,NA,NA
4,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
5,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
6,CHEMBL5287,Bile acid transporter,NA,NA,NA
7,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
8,CHEMBL1741186,Nuclear receptor ROR-gamma,NA,NA,NA
9,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
10,CHEMBL5868,Nuclear receptor ROR-alpha,NA,NA,NA
11,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
12,CHEMBL3815,Squalene synthetase,NA,NA,NA
13,CHEMBL5549,Tubulin--tyrosine ligase,NA,NA,NA
14,CHEMBL1914,Butyrylcholinesterase,NA,NA,NA
15,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
16,CHEMBL242,Estrogen receptor beta,NA,NA,NA
17,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
18,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
19,CHEMBL5971,Smoothened homolog,NA,NA,NA
20,CHEMBL296,GABA receptor gamma-1 subunit,NA,NA,NA
1,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
2,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
3,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
4,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
5,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
6,CHEMBL5287,Bile acid transporter,NA,NA,NA
7,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
8,CHEMBL3775,Dual specificity phosphatase Cdc25A,NA,NA,NA
9,CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,NA,NA,NA
10,CHEMBL2808,LXR-alpha,NA,NA,NA
11,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
12,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
13,CHEMBL204,Thrombin,NA,NA,NA
14,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
15,CHEMBL332,Matrix metalloproteinase-1,NA,NA,NA
16,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
17,CHEMBL3247,HMG-CoA reductase,NA,NA,NA
18,CHEMBL335,Protein-tyrosine phosphatase 1B,NA,NA,NA
19,CHEMBL402,HMG-CoA reductase,NA,NA,NA
20,CHEMBL3522,Cytochrome P450 17A1,NA,NA,NA
1,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
2,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
3,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
4,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
5,CHEMBL5287,Bile acid transporter,NA,NA,NA
6,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
7,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
8,CHEMBL2808,LXR-alpha,NA,NA,NA
9,CHEMBL335,Protein-tyrosine phosphatase 1B,NA,NA,NA
10,CHEMBL1871,Androgen Receptor,NA,NA,NA
11,CHEMBL1856,Steroid 5-alpha-reductase 2,NA,NA,NA
12,CHEMBL3775,Dual specificity phosphatase Cdc25A,NA,NA,NA
13,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
14,CHEMBL1787,Steroid 5-alpha-reductase 1,NA,NA,NA
15,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
16,CHEMBL6020,Bile salt export pump,NA,NA,NA
17,CHEMBL1741186,Nuclear receptor ROR-gamma,NA,NA,NA
18,CHEMBL3247,HMG-CoA reductase,NA,NA,NA
19,CHEMBL3746,11-beta-hydroxysteroid dehydrogenase 2,NA,NA,NA
20,CHEMBL1865,Histone deacetylase 6,NA,NA,NA
1,CHEMBL205,Carbonic anhydrase II,NA,NA,NA
2,CHEMBL5409,G-protein coupled bile acid receptor 1,NA,NA,NA
3,CHEMBL261,Carbonic anhydrase I,NA,NA,NA
4,CHEMBL2778,Ileal bile acid transporter,NA,NA,NA
5,CHEMBL2047,Bile acid receptor FXR,NA,NA,NA
6,CHEMBL5287,Bile acid transporter,NA,NA,NA
7,CHEMBL335,Protein-tyrosine phosphatase 1B,NA,NA,NA
8,CHEMBL2027,Niemann-Pick C1-like protein 1,NA,NA,NA
9,CHEMBL2808,LXR-alpha,NA,NA,NA
10,CHEMBL1856,Steroid 5-alpha-reductase 2,NA,NA,NA
11,CHEMBL3775,Dual specificity phosphatase Cdc25A,NA,NA,NA
12,CHEMBL4343,DNA polymerase beta,NA,NA,NA
13,CHEMBL2034,Glucocorticoid receptor,NA,NA,NA
14,CHEMBL5983,Aldo-keto reductase family 1 member B10,NA,NA,NA
15,CHEMBL2933,Potassium-transporting ATPase alpha chain 2,NA,NA,NA
16,CHEMBL5347,Glucose-6-phosphate 1-dehydrogenase,NA,NA,NA
17,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,NA,NA,NA
18,CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,NA,NA,NA
19,CHEMBL1741186,Nuclear receptor ROR-gamma,NA,NA,NA
20,CHEMBL1787,Steroid 5-alpha-reductase 1,NA,NA,NA
1,CHEMBL3959,Quinone reductase 2,NA,NA,NA
2,CHEMBL1075104,Leucine-rich repeat serine/threonine-protein kinase 2,NA,NA,NA
3,CHEMBL1868,Vascular endothelial growth factor receptor 1,NA,NA,NA
4,CHEMBL2007,Platelet-derived growth factor receptor alpha,NA,NA,NA
5,CHEMBL2041,Tyrosine-protein kinase receptor RET,NA,NA,NA
6,CHEMBL2147,Serine/threonine-protein kinase PIM1,NA,NA,NA
7,CHEMBL2148,Tyrosine-protein kinase JAK3,NA,NA,NA
8,CHEMBL2292,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,NA,NA,NA
9,CHEMBL2345,Ribosomal protein S6 kinase alpha 3,NA,NA,NA
10,CHEMBL258,Tyrosine-protein kinase LCK,NA,NA,NA
11,CHEMBL2599,Tyrosine-protein kinase SYK,NA,NA,NA
12,CHEMBL262,Glycogen synthase kinase-3 beta,NA,NA,NA
13,CHEMBL2637,c-Jun N-terminal kinase 3,NA,NA,NA
14,CHEMBL2695,Focal adhesion kinase 1,NA,NA,NA
15,CHEMBL2793,Casein kinase I alpha,NA,NA,NA
16,CHEMBL2850,Glycogen synthase kinase-3 alpha,NA,NA,NA
17,CHEMBL2873,Mitogen-activated protein kinase kinase kinase 10,NA,NA,NA
18,CHEMBL2971,Tyrosine-protein kinase JAK2,NA,NA,NA
19,CHEMBL2973,Rho-associated protein kinase 2,NA,NA,NA
20,CHEMBL3231,Rho-associated protein kinase 1,NA,NA,NA
1,CHEMBL206,Estrogen receptor alpha,NA,NA,NA
2,CHEMBL242,Estrogen receptor beta,NA,NA,NA
3,CHEMBL2487,Beta amyloid A4 protein,NA,NA,NA
4,CHEMBL215,Arachidonate 5-lipoxygenase,NA,NA,NA
5,CHEMBL1075322,G-protein coupled receptor 55,NA,NA,NA
6,CHEMBL5485,D-amino-acid oxidase,NA,NA,NA
7,CHEMBL312,Arachidonate 5-lipoxygenase,NA,NA,NA
8,CHEMBL230,Cyclooxygenase-2,NA,NA,NA
9,CHEMBL1293240,Plectin,NA,NA,NA
10,CHEMBL4304,Calcium-activated potassium channel subunit alpha-1,NA,NA,NA
11,CHEMBL3181,Estradiol 17-beta-dehydrogenase 1,NA,NA,NA
12,CHEMBL1741179,Probable DNA dC-&gt;dU-editing enzyme APOBEC-3A,NA,NA,NA
13,CHEMBL325,Histone deacetylase 1,NA,NA,NA
14,CHEMBL1915,Tubulin beta-1 chain,NA,NA,NA
15,CHEMBL5840,Fatty acid desaturase 1,NA,NA,NA
16,CHEMBL1978,Cytochrome P450 19A1,NA,NA,NA
17,CHEMBL3192,Histone deacetylase 8,NA,NA,NA
18,CHEMBL2085,Macrophage migration inhibitory factor,NA,NA,NA
19,CHEMBL1741213,Sentrin-specific protease 7,NA,NA,NA
20,CHEMBL3869,Matrix metalloproteinase 14,NA,NA,NA
1,CHEMBL2265,Acyl coenzyme A:cholesterol acyltransferase,NA,NA,NA
2,CHEMBL3180,Carboxylesterase 2,NA,NA,NA
3,CHEMBL1915,Tubulin beta-1 chain,NA,NA,NA
4,CHEMBL3959,Quinone reductase 2,NA,NA,NA
5,CHEMBL5533,Nuclear factor NF-kappa-B p65 subunit,NA,NA,NA
6,CHEMBL312,Arachidonate 5-lipoxygenase,NA,NA,NA
7,CHEMBL215,Arachidonate 5-lipoxygenase,NA,NA,NA
