 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL261	 Carbonic anhydrase I 
 3 	 CHEMBL3242	 Carbonic anhydrase XII 
 4 	 CHEMBL3594	 Carbonic anhydrase IX 
 5 	 CHEMBL2326	 Carbonic anhydrase VII 
 6 	 CHEMBL3510	 Carbonic anhydrase XIV 
 7 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 8 	 CHEMBL3025	 Carbonic anhydrase VI 
 9 	 CHEMBL3729	 Carbonic anhydrase IV 
 10 	 CHEMBL4789	 Carbonic anhydrase VA 
 11 	 CHEMBL2039	 Monoamine oxidase B 
 12 	 CHEMBL5485	 D-amino-acid oxidase 
 13 	 CHEMBL3969	 Carbonic anhydrase VB 
 14 	 CHEMBL4421	 HM74 nicotinic acid GPCR 
 15 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 16 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 17 	 CHEMBL2885	 Carbonic anhydrase III 
 18 	 CHEMBL262	 Glycogen synthase kinase-3 beta 
 19 	 CHEMBL1865	 Histone deacetylase 6 
 20 	 CHEMBL3192	 Histone deacetylase 8 
