 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL402	 HMG-CoA reductase 
 2 	 CHEMBL2745	 ATP-citrate synthase 
 3 	 CHEMBL3720	 ATP-citrate synthase 
 4 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 5 	 CHEMBL3815	 Squalene synthetase 
 6 	 CHEMBL5697	 Egl nine homolog 1 
 7 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 8 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 9 	 CHEMBL1903	 GABA transporter 1 
 10 	 CHEMBL341	 GABA receptor alpha-2 subunit 
 11 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 12 	 CHEMBL4054	 GABA transporter 1 
 13 	 CHEMBL1641347	 Solute carrier family 22 member 6 
 14 	 CHEMBL3594	 Carbonic anhydrase IX 
 15 	 CHEMBL1293226	 Lysine-specific demethylase 4D-like 
 16 	 CHEMBL1938210	 Lysine-specific demethylase 2A 
 17 	 CHEMBL2163176	 Lysine-specific demethylase 5C 
 18 	 CHEMBL1829	 Histone deacetylase 3 
 19 	 CHEMBL3511	 Ornithine decarboxylase 
 20 	 CHEMBL1892	 Glutamate carboxypeptidase II 
