 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL5921	 Bifunctional protein NCOAT 
 2 	 CHEMBL4502	 Cytidine deaminase 
 3 	 CHEMBL318	 Adenosine A1 receptor 
 4 	 CHEMBL2179	 Beta-glucocerebrosidase 
 5 	 CHEMBL3114	 Sucrase-isomaltase 
 6 	 CHEMBL2883	 Thymidine kinase, cytosolic 
 7 	 CHEMBL4176	 Alpha-L-fucosidase I 
 8 	 CHEMBL302	 Adenosine A2a receptor 
 9 	 CHEMBL3526	 Muscle glycogen phosphorylase 
 10 	 CHEMBL3513	 Acidic alpha-glucosidase 
 11 	 CHEMBL3589	 Adenosine kinase 
 12 	 CHEMBL256	 Adenosine A3 receptor 
 13 	 CHEMBL3242	 Carbonic anhydrase XII 
 14 	 CHEMBL251	 Adenosine A2a receptor 
 15 	 CHEMBL3594	 Carbonic anhydrase IX 
 16 	 CHEMBL2074	 Maltase-glucoamylase 
 17 	 CHEMBL4338	 Purine nucleoside phosphorylase 
 18 	 CHEMBL2748	 Sucrase-isomaltase 
 19 	 CHEMBL2608	 Lysosomal alpha-glucosidase 
 20 	 CHEMBL3360	 Adenosine A3 receptor 
