 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL220	 Acetylcholinesterase 
 3 	 CHEMBL4822	 Beta-secretase 1 
 4 	 CHEMBL261	 Carbonic anhydrase I 
 5 	 CHEMBL3242	 Carbonic anhydrase XII 
 6 	 CHEMBL3594	 Carbonic anhydrase IX 
 7 	 CHEMBL5071	 G protein-coupled receptor 44 
 8 	 CHEMBL3012	 Phosphodiesterase 7A 
 9 	 CHEMBL1908	 Cytochrome P450 11B1 
 10 	 CHEMBL2722	 Cytochrome P450 11B2 
 11 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 12 	 CHEMBL4235	 11-beta-hydroxysteroid dehydrogenase 1 
 13 	 CHEMBL5282	 Cytochrome P450 2A6 
 14 	 CHEMBL2292	 Dual-specificity tyrosine-phosphorylation regulated kinase 1A 
 15 	 CHEMBL4224	 Dual specificty protein kinase CLK1 
 16 	 CHEMBL5543	 Dual specificity tyrosine-phosphorylation-regulated kinase 1B 
 17 	 CHEMBL242	 Estrogen receptor beta 
 18 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 19 	 CHEMBL3227	 Metabotropic glutamate receptor 5 
 20 	 CHEMBL1293229	 Nuclear receptor subfamily 4 group A member 1 
