 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 2 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 3 	 CHEMBL3979	 Peroxisome proliferator-activated receptor delta 
 4 	 CHEMBL2083	 Fatty acid binding protein adipocyte 
 5 	 CHEMBL3344	 Fatty acid binding protein muscle 
 6 	 CHEMBL3674	 Fatty acid binding protein epidermal 
 7 	 CHEMBL4163	 Toll-like receptor 2 
 8 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 9 	 CHEMBL3180	 Carboxylesterase 2 
 10 	 CHEMBL221	 Cyclooxygenase-1 
 11 	 CHEMBL3401	 Pregnane X receptor 
 12 	 CHEMBL4422	 Free fatty acid receptor 1 
 13 	 CHEMBL5339	 G-protein coupled receptor 120 
 14 	 CHEMBL402	 HMG-CoA reductase 
 15 	 CHEMBL2409	 Epoxide hydratase 
 16 	 CHEMBL2243	 Anandamide amidohydrolase 
 17 	 CHEMBL2916	 Telomerase reverse transcriptase 
 18 	 CHEMBL5738	 Fatty acid-binding protein, liver 
 19 	 CHEMBL3250	 Lysophosphatidic acid receptor Edg-7 
 20 	 CHEMBL3724	 Lysophosphatidic acid receptor Edg-4 
