 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3106	 Thymidine phosphorylase 
 2 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 3 	 CHEMBL3105	 Poly [ADP-ribose] polymerase-1 
 4 	 CHEMBL255	 Adenosine A2b receptor 
 5 	 CHEMBL2147	 Serine/threonine-protein kinase PIM1 
 6 	 CHEMBL318	 Adenosine A1 receptor 
 7 	 CHEMBL4203	 Dual specificity protein kinase CLK4 
 8 	 CHEMBL251	 Adenosine A2a receptor 
 9 	 CHEMBL5485	 D-amino-acid oxidase 
 10 	 CHEMBL220	 Acetylcholinesterase 
 11 	 CHEMBL3594	 Carbonic anhydrase IX 
 12 	 CHEMBL4523	 Serine/threonine-protein kinase PIM2 
 13 	 CHEMBL225	 Serotonin 2c (5-HT2c) receptor 
 14 	 CHEMBL224	 Serotonin 2a (5-HT2a) receptor 
 15 	 CHEMBL3242	 Carbonic anhydrase XII 
 16 	 CHEMBL2331070	 Acid ceramidase 
 17 	 CHEMBL261	 Carbonic anhydrase I 
 18 	 CHEMBL2326	 Carbonic anhydrase VII 
 19 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 20 	 CHEMBL5407	 Serine/threonine-protein kinase PIM3 
