 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1903	 GABA transporter 1 
 2 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 3 	 CHEMBL341	 GABA receptor alpha-2 subunit 
 4 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 5 	 CHEMBL4054	 GABA transporter 1 
 6 	 CHEMBL2753	 GABA-B receptor 1 
 7 	 CHEMBL6007	 Transient receptor potential cation channel subfamily A member 1 
 8 	 CHEMBL1919	 Voltage-gated calcium channel alpha2/delta subunit 1 
 9 	 CHEMBL256	 Adenosine A3 receptor 
 10 	 CHEMBL1829	 Histone deacetylase 3 
 11 	 CHEMBL1907	 Aminopeptidase N 
 12 	 CHEMBL3439	 Aminopeptidase A 
 13 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 14 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 15 	 CHEMBL3148	 Gamma-amino-N-butyrate transaminase 
 16 	 CHEMBL4124	 Histamine H3 receptor 
 17 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 18 	 CHEMBL4713	 Carboxypeptidase N, catalytic subunit 
 19 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 20 	 CHEMBL205	 Carbonic anhydrase II 
