 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL4531	 Galectin-3 
 2 	 CHEMBL205	 Carbonic anhydrase II 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL3594	 Carbonic anhydrase IX 
 5 	 CHEMBL3242	 Carbonic anhydrase XII 
 6 	 CHEMBL5474	 Galectin-9 
 7 	 CHEMBL3510	 Carbonic anhydrase XIV 
 8 	 CHEMBL5008	 Galectin-7 
 9 	 CHEMBL4979	 Sodium/glucose cotransporter 1 
 10 	 CHEMBL3880	 Heat shock protein HSP 90-alpha 
 11 	 CHEMBL4915	 Galectin-1 
 12 	 CHEMBL2622	 Aldose reductase 
 13 	 CHEMBL1900	 Aldose reductase 
 14 	 CHEMBL2804	 Inositol 1,4,5-trisphosphate receptor type 1 
 15 	 CHEMBL2284	 Glyceraldehyde-3-phosphate dehydrogenase liver 
 16 	 CHEMBL4518	 Purinergic receptor P2Y14 
 17 	 CHEMBL3114	 Sucrase-isomaltase 
 18 	 CHEMBL299	 Protein kinase C alpha 
 19 	 CHEMBL2409	 Epoxide hydratase 
 20 	 CHEMBL3513	 Acidic alpha-glucosidase 
