 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL5485	 D-amino-acid oxidase 
 2 	 CHEMBL220	 Acetylcholinesterase 
 3 	 CHEMBL205	 Carbonic anhydrase II 
 4 	 CHEMBL261	 Carbonic anhydrase I 
 5 	 CHEMBL3729	 Carbonic anhydrase IV 
 6 	 CHEMBL5282	 Cytochrome P450 2A6 
 7 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 8 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 9 	 CHEMBL2326	 Carbonic anhydrase VII 
 10 	 CHEMBL2885	 Carbonic anhydrase III 
 11 	 CHEMBL3025	 Carbonic anhydrase VI 
 12 	 CHEMBL3242	 Carbonic anhydrase XII 
 13 	 CHEMBL3510	 Carbonic anhydrase XIV 
 14 	 CHEMBL3594	 Carbonic anhydrase IX 
 15 	 CHEMBL3912	 Carbonic anhydrase XIII 
 16 	 CHEMBL3969	 Carbonic anhydrase VB 
 17 	 CHEMBL4789	 Carbonic anhydrase VA 
 18 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 19 	 CHEMBL6007	 Transient receptor potential cation channel subfamily A member 1 
 20 	 CHEMBL262	 Glycogen synthase kinase-3 beta 
