"","x"
"247","CHEMBL2590"
"248","CHEMBL2593"
"249","CHEMBL2599"
"250","CHEMBL260"
"251","CHEMBL2608"
"252","CHEMBL261"
"253","CHEMBL262"
"254","CHEMBL2622"
"255","CHEMBL263"
"256","CHEMBL2637"
"257","CHEMBL264"
"258","CHEMBL265"
"259","CHEMBL2652"
"260","CHEMBL267"
"261","CHEMBL268"
"262","CHEMBL269"
"263","CHEMBL2695"
"264","CHEMBL270"
"265","CHEMBL2716"
"266","CHEMBL2722"
"267","CHEMBL273"
"268","CHEMBL2730"
"269","CHEMBL2736"
"270","CHEMBL274"
"271","CHEMBL2742"
"272","CHEMBL275"
"273","CHEMBL2756"
"274","CHEMBL276"
"275","CHEMBL2781"
"276","CHEMBL2782"
"277","CHEMBL2789"
"278","CHEMBL279"
"279","CHEMBL280"
"280","CHEMBL2808"
"281","CHEMBL2815"
"282","CHEMBL2820"
"283","CHEMBL2821"
"284","CHEMBL2828"
"285","CHEMBL283"
"286","CHEMBL2835"
"287","CHEMBL284"
"288","CHEMBL2842"
"289","CHEMBL285"
"290","CHEMBL2850"
"291","CHEMBL2851"
"292","CHEMBL2854"
"293","CHEMBL2857"
"294","CHEMBL2858"
"295","CHEMBL286"
"296","CHEMBL2868"
"297","CHEMBL287"
"298","CHEMBL2871"
"299","CHEMBL288"
"300","CHEMBL2882"
"301","CHEMBL289"
"302","CHEMBL2902"
"303","CHEMBL2903"
"304","CHEMBL2916"
"305","CHEMBL2949"
"306","CHEMBL2954"
"307","CHEMBL2955"
"308","CHEMBL2959"
"309","CHEMBL2966"
"310","CHEMBL2971"
"311","CHEMBL2973"
"312","CHEMBL298"
"313","CHEMBL299"
"314","CHEMBL2993"
"315","CHEMBL2996"
"316","CHEMBL3004"
"317","CHEMBL3009"
"318","CHEMBL301"
"319","CHEMBL3012"
"320","CHEMBL302"
"321","CHEMBL3023"
"322","CHEMBL3024"
"323","CHEMBL3025"
"324","CHEMBL3028"
"325","CHEMBL3037"
"326","CHEMBL304"
"327","CHEMBL3045"
"328","CHEMBL3048"
"329","CHEMBL3066"
"330","CHEMBL3072"
"331","CHEMBL308"
"332","CHEMBL3081"
"333","CHEMBL309"
"334","CHEMBL3105"
"335","CHEMBL3108640"
"336","CHEMBL3114"
"337","CHEMBL3116"
"338","CHEMBL312"
"339","CHEMBL313"
"340","CHEMBL3130"
"341","CHEMBL3132741"
"342","CHEMBL3138"
"343","CHEMBL3142"
"344","CHEMBL3145"
"345","CHEMBL315"
"346","CHEMBL3155"
"347","CHEMBL3157"
"348","CHEMBL3160"
"349","CHEMBL318"
"350","CHEMBL3180"
"351","CHEMBL3181"
"352","CHEMBL319"
"353","CHEMBL3192"
"354","CHEMBL3198"
"355","CHEMBL3199"
"356","CHEMBL320"
"357","CHEMBL3201"
"358","CHEMBL3202"
"359","CHEMBL321"
"360","CHEMBL322"
"361","CHEMBL3222"
"362","CHEMBL3223"
"363","CHEMBL3227"
"364","CHEMBL3229"
"365","CHEMBL3230"
"366","CHEMBL3231"
"367","CHEMBL3234"
"368","CHEMBL324"
"369","CHEMBL3242"
"370","CHEMBL3247"
"371","CHEMBL325"
"372","CHEMBL3251"
"373","CHEMBL326"
"374","CHEMBL3267"
"375","CHEMBL3268"
"376","CHEMBL3286"
"377","CHEMBL330"
"378","CHEMBL3308"
"379","CHEMBL331"
"380","CHEMBL3310"
"381","CHEMBL3318"
"382","CHEMBL332"
"383","CHEMBL333"
"384","CHEMBL335"
"385","CHEMBL3351"
"386","CHEMBL3356"
"387","CHEMBL3358"
"388","CHEMBL3360"
"389","CHEMBL3371"
"390","CHEMBL3374"
"391","CHEMBL338"
"392","CHEMBL339"
"393","CHEMBL3392948"
"394","CHEMBL3397"
"395","CHEMBL3399910"
"396","CHEMBL340"
"397","CHEMBL3403"
"398","CHEMBL3426"
"399","CHEMBL344"
"400","CHEMBL3464"
"401","CHEMBL3468"
"402","CHEMBL3471"
"403","CHEMBL3473"
"404","CHEMBL3474"
"405","CHEMBL3486"
"406","CHEMBL3492"
"407","CHEMBL3501"
"408","CHEMBL3508"
"409","CHEMBL3510"
"410","CHEMBL3524"
"411","CHEMBL3529"
"412","CHEMBL3540"
"413","CHEMBL3553"
"414","CHEMBL3559"
"415","CHEMBL3563"
"416","CHEMBL3568"
"417","CHEMBL3571"
"418","CHEMBL3572"
"419","CHEMBL3577"
"420","CHEMBL3582"
"421","CHEMBL3587"
"422","CHEMBL3588740"
"423","CHEMBL3589"
"424","CHEMBL3594"
"425","CHEMBL3602"
"426","CHEMBL3614"
"427","CHEMBL3616"
"428","CHEMBL3622"
"429","CHEMBL3629"
"430","CHEMBL3632452"
"431","CHEMBL3638344"
"432","CHEMBL3649"
"433","CHEMBL3650"
"434","CHEMBL3663"
"435","CHEMBL3687"
"436","CHEMBL3691"
"437","CHEMBL3706"
"438","CHEMBL3710"
"439","CHEMBL3713062"
"440","CHEMBL3714079"
"441","CHEMBL3714130"
"442","CHEMBL3714531"
"443","CHEMBL3717"
"444","CHEMBL3719"
"445","CHEMBL3729"
"446","CHEMBL3759"
"447","CHEMBL3764"
"448","CHEMBL3766"
"449","CHEMBL3769"
"450","CHEMBL3772"
"451","CHEMBL3776"
"452","CHEMBL3778"
"453","CHEMBL3779755"
"454","CHEMBL3784"
"455","CHEMBL3785"
"456","CHEMBL3788"
"457","CHEMBL3795"
"458","CHEMBL3797"
"459","CHEMBL3798"
"460","CHEMBL3807"
"461","CHEMBL3815"
"462","CHEMBL3816"
"463","CHEMBL3819"
"464","CHEMBL3820"
"465","CHEMBL3830"
"466","CHEMBL3833"
"467","CHEMBL3837"
"468","CHEMBL3861"
"469","CHEMBL3864"
"470","CHEMBL3869"
"471","CHEMBL3880"
"472","CHEMBL3884"
"473","CHEMBL3891"
"474","CHEMBL3892"
"475","CHEMBL3905"
"476","CHEMBL3906"
"477","CHEMBL3910"
"478","CHEMBL3911"
"479","CHEMBL3920"
"480","CHEMBL3921"
"481","CHEMBL3922"
"482","CHEMBL3943"
"483","CHEMBL3948"
"484","CHEMBL3949"
"485","CHEMBL3952"
"486","CHEMBL3959"
"487","CHEMBL3969"
"488","CHEMBL3973"
"489","CHEMBL3974"
"490","CHEMBL3975"
"491","CHEMBL3976"
"492","CHEMBL3979"
"493","CHEMBL3983"
"494","CHEMBL3988583"
"495","CHEMBL3991"
"496","CHEMBL3994"
"497","CHEMBL3996"
"498","CHEMBL3998"
"499","CHEMBL4005"
"500","CHEMBL4015"
"501","CHEMBL4018"
"502","CHEMBL4026"
