Target ChEMBL ID,Probability
CHEMBL1899,0.9100850820541382
CHEMBL2857,0.8841137290000916
CHEMBL5855,0.8509842157363892
CHEMBL1944,0.8443523645401001
CHEMBL2722,0.8431346416473389
CHEMBL4105864,0.8305737972259521
CHEMBL4980,0.8303844928741455
CHEMBL330,0.8046185970306396
CHEMBL2083,0.7905501127243042
CHEMBL4681,0.7830520868301392
CHEMBL4296,0.7817909717559814
CHEMBL3510,0.7802990674972534
CHEMBL320,0.7752442359924316
CHEMBL1255126,0.7681299448013306
CHEMBL2966,0.764919638633728
CHEMBL2366517,0.7624706625938416
CHEMBL3037,0.7615517377853394
CHEMBL304,0.7560113668441772
CHEMBL6140,0.7468932867050171
CHEMBL270,0.7459621429443359
CHEMBL3994,0.7444611191749573
CHEMBL6009,0.7385655641555786
CHEMBL3713062,0.7378864288330078
CHEMBL3891,0.7366809844970703
CHEMBL4080,0.7282213568687439
CHEMBL5805,0.7197768688201904
CHEMBL6141,0.7157617807388306
CHEMBL2563,0.7146167159080505
CHEMBL5414,0.7095103859901428
CHEMBL2492,0.70826256275177
CHEMBL313,0.7074607610702515
CHEMBL2049,0.7029814124107361
CHEMBL3403,0.6993414163589478
CHEMBL6164,0.6988487839698792
CHEMBL2789,0.6986724138259888
CHEMBL240,0.6889024376869202
CHEMBL4153,0.6888104677200317
CHEMBL1889,0.6836079359054565
CHEMBL3105,0.6822426319122314
CHEMBL3910,0.6782480478286743
CHEMBL1849,0.6667616367340088
CHEMBL4145,0.6647403240203857
CHEMBL3594,0.6638834476470947
CHEMBL5620,0.6613077521324158
CHEMBL4625,0.6605582237243652
CHEMBL3524,0.6604499816894531
CHEMBL4793,0.6586939692497253
CHEMBL3181,0.657198965549469
CHEMBL4657,0.6543140411376953
CHEMBL5462,0.6540690660476685
CHEMBL245,0.6435086131095886
CHEMBL3138,0.6395622491836548
CHEMBL4409,0.638968288898468
CHEMBL3988583,0.637783408164978
CHEMBL205,0.6363083124160767
CHEMBL223,0.635342538356781
CHEMBL4975,0.6343423128128052
CHEMBL4394,0.6304666996002197
CHEMBL1914,0.6285114884376526
CHEMBL3884,0.6264333724975586
CHEMBL3602,0.6220259666442871
CHEMBL5471,0.6186378598213196
CHEMBL1855,0.6151195764541626
CHEMBL3242,0.6120895147323608
CHEMBL202,0.6112523674964905
CHEMBL3764,0.6107043623924255
CHEMBL1744525,0.606191873550415
CHEMBL2954,0.6020538806915283
CHEMBL2858,0.6002998352050781
CHEMBL3114,0.5954904556274414
CHEMBL3837,0.5951363444328308
CHEMBL244,0.5923793315887451
CHEMBL5160,0.5914323329925537
CHEMBL5815,0.5880279541015625
CHEMBL4105907,0.5876837372779846
CHEMBL1908,0.5871294736862183
CHEMBL1836,0.5859664082527161
CHEMBL4235,0.5853085517883301
CHEMBL5393,0.5845592021942139
CHEMBL4829,0.581327497959137
CHEMBL6115,0.5781113505363464
CHEMBL4068,0.577178418636322
CHEMBL5077,0.5731602907180786
CHEMBL344,0.5721282362937927
CHEMBL1978,0.5697879195213318
CHEMBL3371,0.5693000555038452
CHEMBL287,0.5674631595611572
CHEMBL4792,0.5669878721237183
CHEMBL1946,0.5657990574836731
CHEMBL1782,0.5573210716247559
CHEMBL1850,0.5563281178474426
CHEMBL4518,0.5524714589118958
CHEMBL2652,0.5511673092842102
CHEMBL2993,0.5505204200744629
CHEMBL209,0.5498566627502441
CHEMBL3268,0.5490705966949463
CHEMBL4124,0.5467145442962646
CHEMBL3492,0.5460506677627563
CHEMBL210,0.5446472764015198
CHEMBL2581,0.543800950050354
CHEMBL1169598,0.5434719920158386
CHEMBL324,0.5417108535766602
CHEMBL5498,0.5412850975990295
CHEMBL2326,0.5399581789970398
CHEMBL338,0.5393825173377991
CHEMBL309,0.5359039902687073
CHEMBL6184,0.5358523726463318
CHEMBL261,0.5353765487670898
CHEMBL2014,0.5348541736602783
CHEMBL264,0.5328202247619629
CHEMBL4393,0.531702995300293
CHEMBL243,0.5310049653053284
CHEMBL4561,0.5299990177154541
CHEMBL3638344,0.5275586247444153
