Target ChEMBL ID,Probability
CHEMBL4618,0.9893574714660645
CHEMBL4980,0.9882098436355591
CHEMBL5805,0.9767464399337769
CHEMBL284,0.974165678024292
CHEMBL1926,0.9693110585212708
CHEMBL2575,0.966177225112915
CHEMBL2425,0.9631915092468262
CHEMBL1795116,0.9610371589660645
CHEMBL3559,0.9581472873687744
CHEMBL4394,0.9578375816345215
CHEMBL6140,0.9518873691558838
CHEMBL6009,0.9509845972061157
CHEMBL3130,0.9483768343925476
CHEMBL3713062,0.9455395936965942
CHEMBL1921666,0.9453365802764893
CHEMBL2363,0.9433656930923462
CHEMBL4296,0.9429581165313721
CHEMBL2492,0.9399633407592773
CHEMBL4235,0.9389145374298096
CHEMBL3247,0.9372174143791199
CHEMBL2722,0.9361376166343689
CHEMBL209,0.933383047580719
CHEMBL3706,0.9247623085975647
CHEMBL4829,0.9225114583969116
CHEMBL243,0.9197772145271301
CHEMBL2014,0.9193141460418701
CHEMBL4153,0.9178839921951294
CHEMBL3649,0.9163017272949219
CHEMBL4550,0.9142106175422668
CHEMBL4191,0.9126027822494507
CHEMBL2016,0.9113823175430298
CHEMBL5076,0.9107297658920288
CHEMBL4409,0.9104715585708618
CHEMBL1744525,0.9094510078430176
CHEMBL4685,0.9089573621749878
CHEMBL330,0.9088996052742004
CHEMBL4625,0.9086166620254517
CHEMBL3510,0.9072130918502808
CHEMBL6154,0.9063018560409546
CHEMBL252,0.9040442705154419
CHEMBL264,0.9030867218971252
CHEMBL4739695,0.9007272720336914
CHEMBL202,0.8987337350845337
CHEMBL4068,0.8962635397911072
CHEMBL286,0.8901230692863464
CHEMBL4908,0.8894848227500916
CHEMBL4789,0.8887866735458374
CHEMBL1899,0.8887821435928345
CHEMBL3779755,0.8859498500823975
CHEMBL2334,0.8858088254928589
CHEMBL4681,0.8831397294998169
CHEMBL3996,0.8816929459571838
CHEMBL3201,0.8791671991348267
CHEMBL2326,0.8789222240447998
CHEMBL1929,0.878244161605835
CHEMBL3691,0.8773956298828125
CHEMBL4429,0.876944899559021
CHEMBL6141,0.8752939701080322
CHEMBL344,0.8725318908691406
CHEMBL1809,0.8716107606887817
CHEMBL2069156,0.8695852756500244
CHEMBL1169598,0.8694327473640442
CHEMBL5160,0.8646808862686157
CHEMBL268,0.8645076751708984
CHEMBL3242,0.8634886741638184
CHEMBL3351,0.8633202314376831
CHEMBL3105,0.8620003461837769
CHEMBL2487,0.8589519262313843
CHEMBL3943,0.8589400053024292
CHEMBL3714531,0.8564352989196777
CHEMBL244,0.8526447415351868
CHEMBL1907,0.8512661457061768
CHEMBL4979,0.8495175838470459
CHEMBL3910,0.8486484289169312
CHEMBL1946,0.8484357595443726
CHEMBL3769,0.8441309332847595
CHEMBL2857,0.8438233137130737
CHEMBL2954,0.8432767987251282
CHEMBL247,0.8431671261787415
CHEMBL5263,0.8419764637947083
CHEMBL4158,0.8414078950881958
CHEMBL5936,0.8411908149719238
CHEMBL2820,0.8378658294677734
CHEMBL1075317,0.8371517062187195
CHEMBL4508,0.8368771076202393
CHEMBL3589,0.8363645076751709
CHEMBL3969,0.8359235525131226
CHEMBL5645,0.835750162601471
CHEMBL4124,0.8353290557861328
CHEMBL205,0.8344820737838745
CHEMBL325,0.8286926746368408
CHEMBL5462,0.8181710839271545
CHEMBL2311243,0.8169386386871338
CHEMBL3948,0.8154792785644531
CHEMBL2337,0.8154231905937195
CHEMBL3028,0.8153852224349976
CHEMBL6152,0.8137289881706238
CHEMBL4130,0.8135035037994385
CHEMBL1163125,0.8128142356872559
CHEMBL4607,0.8126039505004883
CHEMBL4822,0.8095152378082275
CHEMBL283,0.8080304861068726
CHEMBL4561,0.8074276447296143
CHEMBL3833,0.805607259273529
CHEMBL3267,0.8024617433547974
CHEMBL1997,0.8020418882369995
CHEMBL3602,0.8018465638160706
CHEMBL2157850,0.8009018898010254
CHEMBL1795186,0.7988350987434387
CHEMBL4303,0.7981029748916626
CHEMBL1075126,0.79518723487854
CHEMBL6164,0.791596531867981
CHEMBL1944,0.791583240032196
CHEMBL3145,0.7906917333602905
CHEMBL3138,0.7858468294143677
CHEMBL5697,0.7852441668510437
CHEMBL3181,0.7846056222915649
CHEMBL280,0.7836203575134277
CHEMBL4588,0.7834737300872803
CHEMBL3988583,0.7815566062927246
CHEMBL2007625,0.7811678647994995
CHEMBL4005,0.7801446914672852
CHEMBL4105864,0.7794594168663025
CHEMBL6175,0.7769274711608887
CHEMBL3160,0.7759865522384644
CHEMBL1966,0.7739038467407227
CHEMBL5804,0.7727674841880798
CHEMBL287,0.771696925163269
CHEMBL4333,0.7709411382675171
CHEMBL3004,0.7693775296211243
CHEMBL319,0.7684633731842041
CHEMBL3108640,0.7668644189834595
CHEMBL5136,0.7657800912857056
CHEMBL2146302,0.764169454574585
CHEMBL4616,0.7637916803359985
CHEMBL249,0.7607356905937195
CHEMBL2243,0.7605023384094238
CHEMBL1908,0.7596418857574463
CHEMBL1741186,0.7590245604515076
CHEMBL3571,0.7523991465568542
CHEMBL2902,0.7516171932220459
CHEMBL3023,0.7492480278015137
CHEMBL5023,0.7482312917709351
CHEMBL2003,0.7453883290290833
CHEMBL1983,0.7452788352966309
CHEMBL3638344,0.7450788021087646
CHEMBL1902,0.7445541620254517
CHEMBL2581,0.7439556121826172
CHEMBL3222,0.743804395198822
CHEMBL218,0.7426794171333313
CHEMBL4105907,0.7408456206321716
CHEMBL3880,0.7375008463859558
CHEMBL3426,0.7351155281066895
CHEMBL2742,0.7350467443466187
CHEMBL315,0.7349330186843872
