"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GAPDH",0,-0.605956428904771,0.409,0.535,0
"PTGDS",0,-1.00489242277608,0.169,0.286,0
"GLUL",0,-1.50102742816081,0.096,0.201,0
"RASGEF1B",0,-0.886147880114809,0.603,0.661,0
"XIST",0,-7.01648918073762,0.001,0.057,0
"LINGO1",0,-0.760482409499369,0.747,0.786,0
"SLC26A3",1.43190994795873e-317,-0.898874823042386,0.533,0.606,4.12948509891817e-313
"ACTB",2.95389418385395e-303,-0.537565522194219,0.507,0.607,8.51873543681641e-299
"AC016831.7",1.17290637900385e-302,0.52505785874282,0.535,0.425,3.38254470640921e-298
"RBFOX1",4.55660853623972e-291,0.278256904469352,0.839,0.781,1.31408033576617e-286
"APOE",2.57272216592215e-290,-1.86989021499769,0.043,0.111,7.41947345430288e-286
"CTD-2537O9.1",2.58481237281242e-280,0.527759373017386,0.566,0.468,7.45434040195375e-276
"MEG3",2.5809216287768e-279,0.336191185672483,0.864,0.824,7.44311988522942e-275
"CST3",5.21183911469935e-264,-1.37297578651145,0.097,0.18,1.50304228228814e-259
"PHF11",4.53734354576313e-259,0.700211747543663,0.306,0.207,1.30852450516263e-254
"TUBB4A",2.49615728478822e-254,-1.01235491328599,0.136,0.226,7.19866799360075e-250
"KCNIP4",2.67319099216051e-253,0.359914970130127,0.804,0.748,7.70921550229171e-249
"RGS7",6.22041499633134e-241,0.329986536197964,0.726,0.642,1.793905480792e-236
"CKB",4.93984982954832e-236,-0.499062198606634,0.52,0.602,1.42460329234344e-231
"DLGAP1",6.55947056998797e-231,0.260395507925457,0.804,0.729,1.89168571767883e-226
"CLU",9.50588572407664e-229,-0.793835472065988,0.357,0.454,2.74140238396646e-224
"ANKS1B",1.69731416076856e-224,0.269606256820782,0.784,0.714,4.89488430824045e-220
"FGF14",6.34181332096477e-220,0.25662702519394,0.787,0.713,1.82891554363303e-215
"NRG3",3.04319972230962e-219,0.238578185266284,0.812,0.762,8.77628367916871e-215
"FRMD4A",3.31677713148945e-216,0.260387973790089,0.755,0.678,9.56525356950242e-212
"IQCJ-SCHIP1",3.31429291411652e-214,0.420030581026674,0.621,0.544,9.55808933502063e-210
"LINGO2",1.01194651282574e-208,0.37144859670269,0.606,0.514,2.91835254833814e-204
"SLC1A3",5.00928671570601e-207,-1.00513622681836,0.066,0.13,1.44462819594246e-202
"RGS6",1.34368672692331e-204,0.39791505657006,0.531,0.438,3.87505815177413e-200
"TENM2",5.09657492048614e-203,0.332070334326636,0.712,0.636,1.469801241319e-198
"FGFR3",4.86775661175588e-201,-1.48566681794704,0.035,0.086,1.40381232926428e-196
"PDXDC1",3.23666826562131e-199,0.368654777512462,0.524,0.434,9.3342276112253e-195
"TMEM178B",9.92392156889131e-198,0.3334289628471,0.577,0.488,2.86195974125256e-193
"SLC1A2",2.70547965338991e-197,-0.998985443428749,0.253,0.341,7.80233277241116e-193
"FAM19A1",4.46416314355239e-197,0.475847258326967,0.499,0.414,1.28742000896907e-192
"R3HDM1",3.75108043926537e-196,0.337548532931175,0.676,0.595,1.08177408787974e-191
"KALRN",3.82485425555641e-194,0.295731239527597,0.684,0.6,1.10304971875991e-189
"PHACTR1",1.61626850850972e-191,0.281843907963006,0.715,0.629,4.66115675169119e-187
"DLG2",1.24852271630931e-190,0.209464309059215,0.849,0.808,3.60061466156441e-186
"LRRTM4",4.6680974584289e-189,0.303400032287341,0.768,0.7,1.34623262603631e-184
"NRXN3",1.26689740032828e-188,0.226506262750529,0.836,0.78,3.65360541280673e-184
"HS6ST3",2.9926729359276e-183,0.362815270917555,0.627,0.545,8.63056947992162e-179
"FAM155A",4.26473961635449e-183,0.228688294348105,0.804,0.746,1.22990825796047e-178
"MSRA",1.82276897623989e-182,0.333536998162787,0.575,0.49,5.25668345057821e-178
"TUBB",4.2182945381547e-182,-0.63079194079441,0.158,0.237,1.21651396185843e-177
"DGKI",1.40277592738914e-181,0.321728385235182,0.593,0.503,4.04546549699754e-177
"PHYHIP",6.05460417944044e-181,-0.743637192436138,0.313,0.395,1.74608729930883e-176
"ERICH1-AS1",9.6641735406757e-180,0.405034159372645,0.448,0.362,2.78705100739546e-175
"KIRREL3",1.56990266859067e-179,0.3527083425245,0.474,0.385,4.52744230594864e-175
"DGKB",4.56726714219615e-179,0.356828542750801,0.595,0.509,1.31715417113795e-174
"CSMD1",3.47896202438865e-177,0.227517186907774,0.803,0.742,1.00329785821344e-172
"RPL7",1.1012769644004e-176,0.701721614812422,0.355,0.272,3.1759726376343e-172
"OPCML",1.1322047222809e-176,0.235777093112747,0.786,0.715,3.2651651985859e-172
"CRLF3",9.99494016258681e-176,0.399476890585428,0.432,0.344,2.88244079348841e-171
"TRIM9",2.53381994385251e-173,0.280082332218846,0.645,0.569,7.30728333607625e-169
"ST6GALNAC5",9.24983201912443e-172,0.387977889659111,0.502,0.417,2.66755905599529e-167
"PDE4D",3.3061586691532e-171,0.267626505664896,0.765,0.703,9.53463098597091e-167
"KANSL1",8.54382731607321e-171,0.343505649848392,0.493,0.406,2.46395435968235e-166
"TDG",1.84309399530447e-170,0.55721164090332,0.34,0.258,5.31529877305857e-166
"RPL21",7.50639608762176e-170,0.639874184500567,0.282,0.204,2.16476956770924e-165
"SNAP25-AS1",2.21887148348037e-167,0.382523377730072,0.506,0.42,6.39900347120904e-163
"STXBP5L",3.17920173347476e-164,0.270339047235112,0.68,0.6,9.16849987916787e-160
"FTX",6.22685168681276e-164,0.222245836826423,0.75,0.68,1.79576175795993e-159
"FAIM2",5.07862298723688e-162,-0.522473053972951,0.378,0.456,1.46462408328924e-157
"NDRG2",2.99976138478963e-161,-0.933774586952501,0.097,0.161,8.65101185759481e-157
"SNCB",1.2295140610076e-160,-0.57582874933592,0.307,0.387,3.54579560053982e-156
"PDE5A",2.51569952783625e-158,0.426635511880691,0.459,0.378,7.25502586832696e-154
"ADGRB3",7.09493478664435e-158,0.203141888955419,0.829,0.791,2.04610824312036e-153
"LRFN5",3.38912238828019e-156,0.311327437270762,0.604,0.525,9.77389005556123e-152
"DCLK1",1.27141083899239e-154,0.243026106941869,0.702,0.622,3.66662171857016e-150
"ALDOA",1.03338113626198e-152,-0.415871637992627,0.315,0.399,2.98016785886592e-148
"SYN3",2.40514048152488e-152,0.435083159957524,0.399,0.32,6.9361846346696e-148
"LY86-AS1",2.50801028264095e-152,0.584257033540903,0.3,0.224,7.23285085410824e-148
"TOM1L1",6.71773137749086e-152,0.507894458661977,0.31,0.233,1.93732655195459e-147
"TUBA4A",1.05142506932019e-151,-0.550280919830076,0.169,0.243,3.0322047574125e-147
"EIF5A",1.84045278520055e-151,-0.840097472615477,0.102,0.164,5.30768178723988e-147
"KCNQ3",1.92657512032872e-149,0.278519417565573,0.573,0.491,5.55604998951598e-145
"LARGE",3.50478168588607e-149,0.27972705932778,0.555,0.47,1.01074399039268e-144
"UBC",3.09758379717833e-148,-0.547574690945976,0.223,0.302,8.93312191268259e-144
"PEBP1",3.46486954512639e-148,-0.37840356723001,0.408,0.485,9.99233728119e-144
"RYR2",5.7545388322842e-148,0.270649155897932,0.676,0.599,1.65955145384244e-143
"PDZD2",3.17165665207849e-146,0.388493765937685,0.474,0.395,9.14674061892916e-142
"LDB2",3.74446880633312e-146,0.288158926315918,0.612,0.533,1.07986735905841e-141
"TUBB4B",3.02561680704131e-145,-0.619169798592653,0.124,0.189,8.72557630982644e-141
"LINC01250",1.7236383297977e-144,0.457666592952967,0.351,0.274,4.97080057930358e-140
"DSCAM",2.04093923232309e-144,0.192346123709132,0.642,0.561,5.88586465209656e-140
"CHRM3",5.84816986872498e-144,0.267063803264442,0.611,0.53,1.6865537084416e-139
"GRIN2A",8.96929222394793e-143,0.248881161536225,0.662,0.581,2.58665418446434e-138
"MAP2K1",1.88664618191805e-141,0.335963405477434,0.464,0.387,5.44089892403347e-137
"TMEM132D",1.02510377859925e-140,0.296265113241686,0.545,0.469,2.95629678710238e-136
"PTMA",1.27020307138339e-140,-0.504996930437691,0.329,0.406,3.66313863756255e-136
"AC016716.2",7.31537551328822e-140,0.434525933589631,0.301,0.227,2.10968114427719e-135
"KCNQ5",1.02670808397019e-139,0.252648636631059,0.711,0.632,2.96092344336163e-135
"PLEKHA5",1.03234575446939e-139,0.266353927786535,0.614,0.537,2.97718192131429e-135
"PDE4DIP",4.94406221097047e-139,0.23495432262922,0.632,0.557,1.42581810102177e-134
"AGBL4",5.73109544085215e-139,0.24410531516859,0.657,0.58,1.65279061418735e-134
"LINC-PINT",1.86453951178564e-138,0.267890748340325,0.571,0.496,5.37714549803862e-134
"RALYL",3.14221456621765e-138,0.275410005097874,0.668,0.593,9.06183258751507e-134
"CACNA2D3",4.23267297692307e-138,0.283394611410802,0.558,0.483,1.22066055981485e-133
"HECW1",5.18572335836184e-138,0.312063885770371,0.498,0.418,1.49551075931797e-133
"MTUS2",6.95499599322745e-138,0.304368851782809,0.534,0.455,2.00575129448687e-133
"KCNB2",1.71874569058363e-137,0.384762799434977,0.448,0.37,4.95669069707413e-133
"ERC2",2.62458529388283e-137,0.242396597840805,0.655,0.579,7.5690415290287e-133
"GABRB3",1.26643356833719e-136,0.282649708822796,0.569,0.491,3.65226776772762e-132
"MIAT",5.30034668567929e-136,0.427366763597978,0.387,0.311,1.52856698068305e-131
"ARL15",2.52538595486922e-135,0.306088910488201,0.505,0.427,7.28296055524734e-131
"SLC4A10",3.38093218539575e-135,0.259007221664999,0.635,0.555,9.7502703294628e-131
"OXR1",9.72042892870116e-135,0.226352117403665,0.742,0.665,2.80327449874813e-130
"TMEM108",1.38593429595394e-134,0.280903399309127,0.526,0.447,3.99689591610156e-130
