Ancestry_analyses,TWAS,PWAS,PsyOPS,Final
,,,DAAM2,CYP7B1
,,,TFAP2B,ZFHX4
,,,SENP6,RP11-122C21.1
,,,EPHA7,CCDC26
,,,PNISR,CARM1P1
,,,CCNC,PTPRD
,,,SIM1,LINC01235
,,,GRIK2,RP11-536O18.1
,,,NUS1,RP11-132E11.2
,,,NKAIN2,ELAVL2
,,,L3MBTL3,LINGO2
,,,HIVEP2,PAX5
,,,HIVEP2,CKS2
,,,STXBP5,RP11-165J3.5
,,,ESR1,PTCH1
,,,ARID1B,LINC01505
,,,PRKN,ASTN2
,,,ELFN1,RABGAP1
,,,CARD11,NCS1
,,,CARD11,BRD3
,,,GRID2IP,EXD3
,,,GRID2IP,FBH1
,,,NXPH1,SFMBT2
,,,THSD7A,CAMK1D
,,,ETV1,CACNB2
,,,SP4,CTNNA3
,,,SP4,FUT11
,,,PALS2,LRMDA
,,,WIPF3,ZMIZ1
,,,PDE1C,SUFU
,,,ABCA13,CNNM2
,,,AUTS2,SORCS3
,,,CALN1,B4GALNT4
,,,LIMK1,RP11-396O20.1
,,,YWHAG,SOX6
,,,MAGI2,LUZP2
,,,PCLO,LINC02755
,,,KMT2E,ZDHHC5
,,,NRCAM,FADS1
,,,IMMP2L,SHANK2
,,,IMMP2L,DLG2
,,,IMMP2L,GRM5
,,,DOCK4,CNTN5
,,,FOXP2,KIRREL3
,,,CTTNBP2,RP11-168K9.2
,,,CADPS2,AP002856.5
,,,GRM8,NTM
,,,PLXNA4,OPCML
,,,LRGUK,B3GAT1-DT
,,,CNOT4,PAUPAR
,,,BRAF,CACNA1C
,,,DPP6,ETV6
,,,UBE3C,MGST1
,,,CSMD1,LMO3
,,,DLC1,ST8SIA1
,,,SGCZ,SOX5
,,,SGCZ,CPNE8
,,,SGCZ,LRRK2
,,,XPO7,GPR84-AS1
,,,FGFR1,GPR84-AS1
,,,ST18,RP11-644F5.16
,,,CA8,TSFM
,,,CHD7,NAV3
,,,YTHDF3,RP11-328J6.1
,,,BHLHE22,UBE3B
,,,KCNB2,ALDH2
,,,ZFHX4,NOS1
,,,WWP1,SPPL3
,,,RUNX1T1,MPHOSPH9
,,,PDP1,ATP8A2
,,,KCNQ3,ALG5
,,,ADGRB1,DGKH
,,,RFX3,PCDH9
,,,PTPRD,OBI1-AS1
,,,PTPRD,NDFIP2
,,,NFIB,GPC5
,,,NFIB,GPC6
,,,NFIB,STK24
,,,ELAVL2,NPAS3
,,,ELAVL2,LRFN5-DT
,,,TEK,CTD-2307P3.1
,,,C9orf72,DCAF5
,,,DDX58,DLST
,,,PAX5,RP11-61O1.1
,,,PAX5,KLC1
,,,TLE4,RP11-73M18.2
,,,SEMA4D,RP11-73M18.7
,,,PHF2,SEMA6D
,,,PTCH1,CTD-2050N2.1
,,,GABBR2,MEGF11
,,,TGFBR1,LOXL1-AS1
,,,ASTN2,LINGO1
,,,ASTN2,NTRK3
,,,GPR21,FURIN
,,,LHX2,VPS33B-DT
,,,GAPVD1,AGBL1
,,,LMX1B,RBFOX1
,,,TOR1A,SNX29
,,,DBH,SHISA9
,,,OLFM1,RP11-1021N1.1
,,,GRIN1,BMERB1
,,,ADARB2,METTL9
,,,RBM17,CTB-31N19.3
,,,SFMBT2,ZNF423
,,,CAMK1D,FTO
,,,CACNB2,GNAO1
,,,MLLT10,PMFBP1
,,,ARID5B,ZFHX3
,,,KAT6B,CDH13
,,,SLIT1,SLC7A5
,,,GOLGA7B,METTL16
,,,TRIM8,SHISA6
,,,SORCS3,FLOT2
,,,SORCS3,ASIC2
,,,TCF7L2,THRA
,,,PDZD8,HOXB-AS3
,,,PRLHR,BPTF
,,,GPR26,CCDC178
,,,ADGRA1,SETBP1
,,,DEAF1,DCC
,,,SOX6,RAB27B
,,,SOX6,TCF4
,,,NAV2,ZCCHC2
,,,LUZP2,RP11-154H12.3
,,,KCNA4,TSHZ3-AS1
,,,MPPED2,ZHX3
,,,PAX6,CD40
,,,WT1,CDH22
,,,PHF21A,ZMYND8
,,,PHF21A,CSE1L
,,,PHF21A,LINC01524
,,,FNBP4,MIR646HG
,,,SSRP1,CHRNA4
,,,DAGLA,MYT1
,,,DAGLA,CBR3
,,,KCNK4,RSPH14
,,,KCNK4,OSBP2
,,,PPFIA1,MIRLET7BHG
,,,FAM168A,MAPK11
,,,PPME1,
,,,DLG2,
,,,GRM5,
,,,CNTN5,
,,,NCAM1,
,,,NCAM1,
,,,NCAM1,
,,,ZBTB16,
,,,KIRREL3,
,,,NTM,
,,,NTM,
,,,IGSF9B,
,,,IGSF9B,
,,,B3GAT1,
,,,B3GAT1,
,,,CACNA1C,
,,,LMO3,
,,,ABCC9,
,,,ST8SIA1,
,,,SOX5,
,,,SYT10,
,,,LRRK2,
,,,PRICKLE1,
,,,MAP3K12,
,,,HNRNPA1,
,,,SARNP,
,,,KIF5A,
,,,USP15,
,,,NAV3,
,,,PAH,
,,,SVOP,
,,,ATP2A2,
,,,HECTD4,
,,,NOS1,
,,,KSR2,
,,,SPPL3,
,,,SETD1B,
,,,DNAH10,
,,,RIMBP2,
,,,SERTM1,
,,,DGKH,
,,,PCDH17,
,,,PCDH9,
,,,PCDH9,
,,,PCDH9,
,,,PCDH9,
,,,EDNRB,
,,,EDNRB,
,,,POU4F1,
,,,RBM26,
,,,GPC6,
,,,HS6ST3,
,,,DOCK9,
,,,NPAS3,
,,,FBXO33,
,,,LRFN5,
,,,SPTB,
,,,DCAF5,
,,,YLPM1,
,,,RPS6KA5,
,,,CDC42BPB,
,,,PPP1R13B,
,,,APBA2,
,,,MEIS2,
,,,SPRED1,
,,,DLL4,
,,,HERC1,
,,,RAB11A,
,,,HCN4,
,,,NPTN,
,,,LINGO1,
,,,NTRK3,
,,,NTRK3,
,,,FURIN,
,,,NR2F2,
,,,RBFOX1,
,,,RBFOX1,
,,,RBFOX1,
,,,GSPT1,
,,,SHISA9,
,,,MRTFB,
,,,MARF1,
,,,NPIPA8,
,,,CRYM,
,,,HS3ST4,
,,,ZNF423,
,,,ZNF423,
,,,SALL1,
,,,GNAO1,
,,,TERF2,
,,,AP1G1,
,,,ZFHX3,
,,,CNTNAP4,
,,,ADAMTS18,
,,,CDH13,
,,,JPH3,
,,,MNT,
,,,CHD3,
,,,SHISA6,
,,,TAOK1,
,,,ASIC2,
,,,KANSL1,
,,,NPEPPS,
,,,IGF2BP1,
,,,CLTC,
,,,RGS9,
,,,BPTF,
,,,UNK,
,,,RBFOX3,
,,,P4HB,
,,,DLGAP1,
,,,NPC1,
,,,ASXL3,
,,,CELF4,
,,,PIK3C3,
,,,DCC,
,,,TCF4,
,,,TCF4,
,,,TCF4,
,,,PHLPP1,
,,,CDH7,
,,,ZNF236,
,,,KCNG2,
,,,PIAS4,
,,,TSHZ3,
,,,SLC8A2,
,,,IGLON5,
,,,NOL4L,
,,,SRC,
,,,TOP1,
,,,PTPRT,
,,,SLC12A5,
,,,SLC12A5,
,,,ZMYND8,
,,,PREX1,
,,,KCNB1,
,,,SYCP2,
,,,CDH4,
,,,KCNQ2,
,,,ZNF512B,
,,,GNAZ,
,,,MORC2,
,,,MYH9,
,,,EP300,
,,,CELSR1,
,,,TAFA5,
,,,TAFA5,
,,,SHANK3,
