 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2179	 Beta-glucocerebrosidase 
 2 	 CHEMBL2664	 Adenosylhomocysteinase 
 3 	 CHEMBL4794	 Vanilloid receptor 
 4 	 CHEMBL1293224	 Microtubule-associated protein tau 
 5 	 CHEMBL1293229	 Nuclear receptor subfamily 4 group A member 1 
 6 	 CHEMBL214	 Serotonin 1a (5-HT1a) receptor 
 7 	 CHEMBL205	 Carbonic anhydrase II 
 8 	 CHEMBL3729	 Carbonic anhydrase IV 
 9 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 10 	 CHEMBL4338	 Purine nucleoside phosphorylase 
 11 	 CHEMBL1973	 Tyrosinase 
 12 	 CHEMBL1075138	 Tyrosyl-DNA phosphodiesterase 1 
 13 	 CHEMBL299	 Protein kinase C alpha 
 14 	 CHEMBL3161	 Leukocyte adhesion molecule-1 
 15 	 CHEMBL5378	 P-selectin 
 16 	 CHEMBL6152	 Alpha-synuclein 
 17 	 CHEMBL5160	 Transient receptor potential cation channel subfamily A member 1 
 18 	 CHEMBL4176	 Alpha-L-fucosidase I 
 19 	 CHEMBL206	 Estrogen receptor alpha 
 20 	 CHEMBL242	 Estrogen receptor beta 
