 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 2 	 CHEMBL1903	 GABA transporter 1 
 3 	 CHEMBL256	 Adenosine A3 receptor 
 4 	 CHEMBL4054	 GABA transporter 1 
 5 	 CHEMBL338	 Dopamine transporter 
 6 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 7 	 CHEMBL204	 Thrombin 
 8 	 CHEMBL205	 Carbonic anhydrase II 
 9 	 CHEMBL261	 Carbonic anhydrase I 
 10 	 CHEMBL3242	 Carbonic anhydrase XII 
 11 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 12 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 13 	 CHEMBL3238	 Carnitine palmitoyltransferase 2 
 14 	 CHEMBL4037	 Carnitine palmitoyltransferase 2 
 15 	 CHEMBL1865	 Histone deacetylase 6 
 16 	 CHEMBL3192	 Histone deacetylase 8 
 17 	 CHEMBL5847	 Aldo-keto reductase family 1 member C2 
 18 	 CHEMBL5905	 Aldo-keto reductase family 1 member C1 
 19 	 CHEMBL284	 Dipeptidyl peptidase IV 
 20 	 CHEMBL1293267	 G-protein coupled receptor 35 
