 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1970	 Alcohol dehydrogenase alpha chain 
 2 	 CHEMBL205	 Carbonic anhydrase II 
 3 	 CHEMBL261	 Carbonic anhydrase I 
 4 	 CHEMBL3242	 Carbonic anhydrase XII 
 5 	 CHEMBL3594	 Carbonic anhydrase IX 
 6 	 CHEMBL264	 Histamine H3 receptor 
 7 	 CHEMBL3759	 Histamine H4 receptor 
 8 	 CHEMBL4124	 Histamine H3 receptor 
 9 	 CHEMBL1821	 Muscarinic acetylcholine receptor M4 
 10 	 CHEMBL2035	 Muscarinic acetylcholine receptor M5 
 11 	 CHEMBL211	 Muscarinic acetylcholine receptor M2 
 12 	 CHEMBL216	 Muscarinic acetylcholine receptor M1 
 13 	 CHEMBL245	 Muscarinic acetylcholine receptor M3 
 14 	 CHEMBL276	 Muscarinic acetylcholine receptor M1 
 15 	 CHEMBL309	 Muscarinic acetylcholine receptor M2 
 16 	 CHEMBL317	 Muscarinic acetylcholine receptor M4 
 17 	 CHEMBL320	 Muscarinic acetylcholine receptor M3 
 18 	 CHEMBL1941	 Histamine H2 receptor 
 19 	 CHEMBL231	 Histamine H1 receptor 
 20 	 CHEMBL1882	 Neuronal acetylcholine receptor protein alpha-4 subunit 
