 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1827	 Phosphodiesterase 5A 
 2 	 CHEMBL2345	 Ribosomal protein S6 kinase alpha 3 
 3 	 CHEMBL3959	 Quinone reductase 2 
 4 	 CHEMBL2326	 Carbonic anhydrase VII 
 5 	 CHEMBL3242	 Carbonic anhydrase XII 
 6 	 CHEMBL340	 Cytochrome P450 3A4 
 7 	 CHEMBL3729	 Carbonic anhydrase IV 
 8 	 CHEMBL205	 Carbonic anhydrase II 
 9 	 CHEMBL220	 Acetylcholinesterase 
 10 	 CHEMBL2622	 Aldose reductase 
 11 	 CHEMBL1900	 Aldose reductase 
 12 	 CHEMBL302	 Adenosine A2a receptor 
 13 	 CHEMBL318	 Adenosine A1 receptor 
 14 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 15 	 CHEMBL1250375	 NADPH oxidase 4 
 16 	 CHEMBL1916	 Alpha-2c adrenergic receptor 
 17 	 CHEMBL5573	 Intestinal alkaline phosphatase 
 18 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 19 	 CHEMBL3807	 T-cell protein-tyrosine phosphatase 
 20 	 CHEMBL2916	 Telomerase reverse transcriptase 
