 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2372	 Catechol O-methyltransferase 
 2 	 CHEMBL1795098	 Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 
 3 	 CHEMBL3663	 Growth factor receptor-bound protein 2 
 4 	 CHEMBL4421	 HM74 nicotinic acid GPCR 
 5 	 CHEMBL1293226	 Lysine-specific demethylase 4D-like 
 6 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 7 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 8 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 9 	 CHEMBL3402	 Alkaline phosphatase placental-like 
 10 	 CHEMBL2429708	 Poly [ADP-ribose] polymerase 10 
 11 	 CHEMBL3105	 Poly [ADP-ribose] polymerase-1 
 12 	 CHEMBL205	 Carbonic anhydrase II 
 13 	 CHEMBL220	 Acetylcholinesterase 
 14 	 CHEMBL261	 Carbonic anhydrase I 
 15 	 CHEMBL332	 Matrix metalloproteinase-1 
 16 	 CHEMBL4328	 Betaine--homocysteine S-methyltransferase 1 
 17 	 CHEMBL321	 Matrix metalloproteinase 9 
 18 	 CHEMBL333	 Matrix metalloproteinase-2 
 19 	 CHEMBL4588	 Matrix metalloproteinase 8 
 20 	 CHEMBL1892	 Glutamate carboxypeptidase II 
