 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2916	 Telomerase reverse transcriptase 
 2 	 CHEMBL6152	 Alpha-synuclein 
 3 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 4 	 CHEMBL1293224	 Microtubule-associated protein tau 
 5 	 CHEMBL4794	 Vanilloid receptor 
 6 	 CHEMBL2039	 Monoamine oxidase B 
 7 	 CHEMBL3513	 Acidic alpha-glucosidase 
 8 	 CHEMBL3869	 Matrix metalloproteinase 14 
 9 	 CHEMBL3402	 Alkaline phosphatase placental-like 
 10 	 CHEMBL6114	 Phospholipase A-2-activating protein 
 11 	 CHEMBL1825	 TNF-alpha 
 12 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 13 	 CHEMBL2487	 Beta amyloid A4 protein 
 14 	 CHEMBL205	 Carbonic anhydrase II 
 15 	 CHEMBL2326	 Carbonic anhydrase VII 
 16 	 CHEMBL261	 Carbonic anhydrase I 
 17 	 CHEMBL3242	 Carbonic anhydrase XII 
 18 	 CHEMBL3510	 Carbonic anhydrase XIV 
 19 	 CHEMBL3594	 Carbonic anhydrase IX 
 20 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
