 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL240	 HERG 
 2 	 CHEMBL1795098	 Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 
 3 	 CHEMBL289	 Cytochrome P450 2D6 
 4 	 CHEMBL1867	 Alpha-2a adrenergic receptor 
 5 	 CHEMBL1916	 Alpha-2c adrenergic receptor 
 6 	 CHEMBL1942	 Alpha-2b adrenergic receptor 
 7 	 CHEMBL327	 Alpha-2a adrenergic receptor 
 8 	 CHEMBL3762	 Voltage-gated L-type calcium channel alpha-1C subunit 
 9 	 CHEMBL1075322	 G-protein coupled receptor 55 
 10 	 CHEMBL2326	 Carbonic anhydrase VII 
 11 	 CHEMBL3025	 Carbonic anhydrase VI 
 12 	 CHEMBL3510	 Carbonic anhydrase XIV 
 13 	 CHEMBL3594	 Carbonic anhydrase IX 
 14 	 CHEMBL3969	 Carbonic anhydrase VB 
 15 	 CHEMBL2637	 c-Jun N-terminal kinase 3 
 16 	 CHEMBL4176	 Alpha-L-fucosidase I 
 17 	 CHEMBL2384	 Adenosine kinase 
 18 	 CHEMBL5880	 Interleukin-2 
 19 	 CHEMBL1293243	 MCOLN3 protein 
 20 	 CHEMBL1821	 Muscarinic acetylcholine receptor M4 
