 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL321	 Matrix metalloproteinase 9 
 2 	 CHEMBL332	 Matrix metalloproteinase-1 
 3 	 CHEMBL333	 Matrix metalloproteinase-2 
 4 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 5 	 CHEMBL2039	 Monoamine oxidase B 
 6 	 CHEMBL5533	 Nuclear factor NF-kappa-B p65 subunit 
 7 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 8 	 CHEMBL1951	 Monoamine oxidase A 
 9 	 CHEMBL3959	 Quinone reductase 2 
 10 	 CHEMBL2231	 Cytochrome P450 1A1 
 11 	 CHEMBL4878	 Cytochrome P450 1B1 
 12 	 CHEMBL1937	 Histone deacetylase 2 
 13 	 CHEMBL230	 Cyclooxygenase-2 
 14 	 CHEMBL206	 Estrogen receptor alpha 
 15 	 CHEMBL261	 Carbonic anhydrase I 
 16 	 CHEMBL3192	 Histone deacetylase 8 
 17 	 CHEMBL242	 Estrogen receptor beta 
 18 	 CHEMBL205	 Carbonic anhydrase II 
 19 	 CHEMBL5485	 D-amino-acid oxidase 
 20 	 CHEMBL5857	 Trace amine-associated receptor 1 
